nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;300;401;10;0.0455401;13;~401;0.008;0.024
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;1200;1601;20;0.190211;13;~1601;0.032;0.096
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;2700;3601;30;0.471849;14;~3601;0.072;0.216
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;4800;6401;40;0.896657;14;~6401;0.128;0.384
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;7500;10001;50;1.28472;15;~10001;0.2;0.6
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;10800;14401;60;1.89333;15;~14401;0.288;0.864
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;14700;19601;70;2.63965;16;~19601;0.392;1.176
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;19200;25601;80;3.36933;17;~25601;0.512;1.536
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;24300;32401;90;4.2857;17;~32401;0.648;1.944
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;30000;40001;100;5.29369;18;~40001;0.8;2.4
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;36300;48401;110;6.42936;21;~48401;0.968;2.904
ether,ethercash,ethergold;34_matrix_mul;FIELD;semihonest;replicated-field;NA;43200;57601;120;7.58714;19;~57601;1.152;3.456
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;300;401;10;0.140547;19;~408;0.493096;1.47929
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;1200;1601;20;0.41367;19;~1608;0.531496;1.59449
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;2700;3601;30;1.04294;19;~3608;0.595496;1.78649
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;4800;6401;40;1.59451;19;~6408;0.685096;2.05529
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;7500;10001;50;2.69965;22;~10008;0.800296;2.40089
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;10800;14401;60;3.57042;21;~14413;1.42126;4.26379
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;14700;19601;70;6.21931;20;~19613;1.58766;4.76299
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;19200;25601;80;7.61797;24;~25613;1.77966;5.33899
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;24300;32401;90;10.3796;23;~32418;2.47743;7.4323
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;30000;40001;100;9.78731;24;~40018;2.72063;8.1619
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;36300;48401;110;10.9855;26;~48423;3.4696;10.4088
ether,ethercash,ethergold;34_matrix_mul;FIELD;malhonest;malicious-rep-field;NA;43200;57601;120;14.3366;26;~57628;4.24417;12.7325
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;300;401;10;0.0472465;13;~401;0.004;0.012
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;1200;1601;20;0.193583;13;~1601;0.016;0.048
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;2700;3601;30;0.458619;16;~3601;0.036;0.108
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;4800;6401;40;0.81534;14;~6401;0.064;0.192
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;7500;10001;50;1.32468;14;~10001;0.1;0.3
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;10800;14401;60;1.80543;15;~14401;0.144;0.432
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;14700;19601;70;2.4867;17;~19601;0.196;0.588
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;19200;25601;80;3.53905;16;~25601;0.256;0.768
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;24300;32401;90;4.19437;16;~32401;0.324;0.972
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;30000;40001;100;5.35183;15;~40001;0.4;1.2
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;36300;48401;110;9.58765;18;~48401;0.484;1.452
ether,ethercash,ethergold;34_matrix_mul;RING;semihonest;replicated-ring;NA;43200;57601;120;8.02296;18;~57601;0.576;1.728
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;300;401;10;0.13342;18;~412;0.396722;1.19017
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;1200;1601;20;0.222498;19;~1612;0.415922;1.24777
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;2700;3601;30;0.917661;19;~3612;0.447922;1.34377
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;4800;6401;40;2.12705;21;~6412;0.492722;1.47817
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;7500;10001;50;1.7252;20;~10012;0.550322;1.65097
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;10800;14401;60;4.80023;21;~14421;1.01092;3.03275
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;14700;19601;70;6.21067;21;~19621;1.09412;3.28235
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;19200;25601;80;6.38977;20;~25621;1.19012;3.57035
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;24300;32401;90;6.39978;22;~32430;1.68911;5.06733
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;30000;40001;100;12.7184;23;~40030;1.81071;5.43213
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;36300;48401;110;14.8544;24;~48439;2.3353;7.00591
ether,ethercash,ethergold;34_matrix_mul;RING;malhonest;malicious-rep-ring;NA;43200;57601;120;12.8937;25;~57648;2.8727;8.61809
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;1338600;23201;10;2.70431;13;NA;1.34585;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;5354400;92801;20;7.34512;19;NA;5.38325;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;12047400;208801;30;25.1837;30;NA;12.1122;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;21417600;371201;40;42.6914;45;NA;21.5328;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;33465000;580001;50;65.3231;66;NA;33.645;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;48189600;835201;60;101.337;89;NA;48.4488;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;65591400;1136801;70;139.004;117;NA;65.9442;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;85670400;1484801;80;169.186;158;NA;86.1312;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;108426600;1879201;90;206.219;192;NA;109.01;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;133860000;2320001;100;262.912;245;NA;134.58;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;161970600;2807201;110;309.05;309;NA;162.842;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;semihonest;replicated-bin;NA;192758400;3340801;120;389.229;340;NA;193.795;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;1338600;23201;10;3.82931;21;NA;23.9141;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;5354400;92801;20;14.5775;27;NA;93.1668;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;12047400;208801;30;29.4818;38;NA;208.588;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;21417600;371201;40;60.5589;50;NA;370.178;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;33465000;580001;50;94.314;69;NA;577.936;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;48189600;835201;60;135.067;92;NA;831.862;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;65591400;1136801;70;183.763;117;NA;1131.96;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;85670400;1484801;80;234.647;160;NA;1479.05;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;108426600;1879201;90;299.487;194;NA;1871.48;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;133860000;2320001;100;372.861;245;NA;2310.08;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;161970600;2807201;110;433.643;309;NA;2795.68;NA
ether,ethercash,ethergold;34_matrix_mul;BINARY;malhonest;malicious-rep-bin;NA;192758400;3340801;120;545.876;340;NA;3326.62;NA
