nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;5;0.118679;NA;NA;1.06682;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;10;0.418883;NA;NA;1.77782;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;15;0.900415;NA;NA;2.96282;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;20;1.60583;NA;NA;4.62182;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;25;2.53153;NA;NA;6.75482;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;30;3.57951;NA;NA;9.36182;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;35;4.91896;NA;NA;13.2725;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;40;6.25417;NA;NA;16.8275;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;45;8.17103;NA;NA;20.8565;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;50;10.0022;NA;NA;26.1893;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;55;12.1797;NA;NA;31.1663;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;60;14.6909;NA;NA;37.447;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;240;65;16.8703;NA;NA;43.372;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;5;0.117214;NA;NA;1.06682;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;10;0.424196;NA;NA;1.77782;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;15;0.918676;NA;NA;2.96282;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;20;1.56974;NA;NA;4.62182;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;25;2.50642;NA;NA;6.75482;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;30;3.51268;NA;NA;9.36182;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;35;4.78026;NA;NA;13.2725;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;40;6.3781;NA;NA;16.8275;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;45;8.17226;NA;NA;20.8565;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;50;9.85168;NA;NA;26.1893;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;55;12.152;NA;NA;31.1663;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;60;14.3952;NA;NA;37.447;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;180;65;17.0647;NA;NA;43.372;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;140;5;0.119547;NA;NA;1.06682;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;140;10;0.413445;NA;NA;1.77782;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;140;15;0.924313;NA;NA;2.96282;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;140;20;1.61022;NA;NA;4.62182;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;140;25;2.42795;NA;NA;6.75482;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;3;140;30;3.62866;NA;NA;9.36182;NA
