comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.12;235;1;2.5;256;1;0;1;8192;0;0;0.013646;NA;0.098881;0.082511;0.082510;0.17;130;109
3.08;234;1;2.5;256;1;0;1;8192;0;1;.004190;NA;.029317;.028253;.028253;3.08;234;99
2.99;234;1;2.5;256;1;0;2;8192;0;0;0.025876;NA;0.103559;0.111101;0.111100;0.21;147;96
3.03;233;1;2.5;256;1;0;2;8192;0;1;.006555;NA;.024420;.033058;.033058;3.03;233;100
2.96;233;1;2.5;256;1;0;3;8192;0;0;0.023888;NA;0.074949;0.118217;0.118216;0.22;99;79
2.97;232;1;2.5;256;1;0;3;8192;0;1;.006428;NA;.020761;.029141;.029141;2.97;232;100
2.98;233;1;2.5;256;1;0;4;8192;0;0;0.022265;NA;0.073402;0.101018;0.101017;0.20;99;84
2.95;232;1;2.5;256;1;0;4;8192;0;1;.006119;NA;.019694;.024851;.024850;2.95;232;100
2.98;231;1;2.5;256;1;0;5;8192;0;0;0.024075;NA;0.070930;0.107242;0.107241;0.21;117;81
2.98;232;1;2.5;256;1;0;5;8192;0;1;.007339;NA;.017323;.025557;.025557;2.98;232;99
2.95;232;1;2.5;256;1;0;6;8192;0;0;0.011837;NA;0.039999;0.052704;0.052703;0.14;83;88
2.95;232;1;2.5;256;1;0;6;8192;0;1;.003296;NA;.006382;.010563;.010563;2.95;232;99
3.08;235;1;2.3;256;1;0;1;8192;0;0;0.013729;NA;0.103530;0.084057;0.084056;0.17;132;110
3.08;234;1;2.3;256;1;0;1;8192;0;1;.004437;NA;.029292;.027363;.027362;3.08;234;99
3.04;233;1;2.3;256;1;0;2;8192;0;0;0.025443;NA;0.104933;0.111614;0.111613;0.21;147;96
3.03;233;1;2.3;256;1;0;2;8192;0;1;.005727;NA;.028323;.032479;.032479;3.03;233;99
2.96;232;1;2.3;256;1;0;3;8192;0;0;0.023851;NA;0.074956;0.130536;0.130535;0.23;99;74
2.97;233;1;2.3;256;1;0;3;8192;0;1;.006927;NA;.018472;.029351;.029351;2.97;233;99
2.95;232;1;2.3;256;1;0;4;8192;0;0;0.022876;NA;0.072425;0.100681;0.100681;0.20;99;85
2.96;233;1;2.3;256;1;0;4;8192;0;1;.007344;NA;.015674;.023390;.023390;2.96;233;99
2.98;232;1;2.3;256;1;0;5;8192;0;0;0.023967;NA;0.081454;0.110776;0.110775;0.21;115;85
2.98;232;1;2.3;256;1;0;5;8192;0;1;.006479;NA;.026078;.028841;.028841;2.98;232;99
2.94;232;1;2.3;256;1;0;6;8192;0;0;0.011854;NA;0.040462;0.053133;0.053133;0.14;83;90
2.95;231;1;2.3;256;1;0;6;8192;0;1;.003172;NA;.006220;.011791;.011791;2.95;231;99
3.08;235;1;2.1;256;1;0;1;8192;0;0;0.014348;NA;0.105983;0.089305;0.089304;0.18;130;109
3.08;233;1;2.1;256;1;0;1;8192;0;1;.004272;NA;.031681;.030078;.030078;3.08;233;99
3.03;234;1;2.1;256;1;0;2;8192;0;0;0.026322;NA;0.108552;0.116964;0.116963;0.22;147;95
3.03;234;1;2.1;256;1;0;2;8192;0;1;.005549;NA;.029123;.033800;.033800;3.03;234;99
2.96;231;1;2.1;256;1;0;3;8192;0;0;0.024548;NA;0.078765;0.130969;0.130968;0.24;99;77
2.97;232;1;2.1;256;1;0;3;8192;0;1;.007308;NA;.018390;.029628;.029628;2.97;232;99
2.96;232;1;2.1;256;1;0;4;8192;0;0;0.023325;NA;0.060045;0.102121;0.102120;0.20;101;78
2.95;233;1;2.1;256;1;0;4;8192;0;1;.006351;NA;.020888;.025769;.025769;2.95;233;99
2.98;232;1;2.1;256;1;0;5;8192;0;0;0.024923;NA;0.089987;0.116584;0.116583;0.22;115;86
3.00;233;1;2.1;256;1;0;5;8192;0;1;.006602;NA;.021520;.029171;.029171;3.00;233;99
2.96;232;1;2.1;256;1;0;6;8192;0;0;0.012358;NA;0.032956;0.051389;0.051388;0.14;83;85
2.97;234;1;2.1;256;1;0;6;8192;0;1;.003412;NA;.006574;.010338;.010338;2.97;234;100
3.08;235;1;2;256;1;0;1;8192;0;0;0.014446;NA;0.110477;0.090474;0.090473;0.19;132;109
3.07;235;1;2;256;1;0;1;8192;0;1;.004734;NA;.032519;.029938;.029937;3.07;235;99
3.03;233;1;2;256;1;0;2;8192;0;0;0.028148;NA;0.112307;0.118879;0.118878;0.23;147;96
3.05;234;1;2;256;1;0;2;8192;0;1;.005546;NA;.031469;.033896;.033896;3.05;234;100
2.97;233;1;2;256;1;0;3;8192;0;0;0.026018;NA;0.081916;0.129284;0.129283;0.24;99;79
2.97;232;1;2;256;1;0;3;8192;0;1;.007722;NA;.020301;.031656;.031656;2.97;232;99
2.95;231;1;2;256;1;0;4;8192;0;0;0.024121;NA;0.077031;0.110433;0.110432;0.22;99;83
2.95;233;1;2;256;1;0;4;8192;0;1;.007299;NA;.016324;.023596;.023596;2.95;233;100
2.98;233;1;2;256;1;0;5;8192;0;0;0.025672;NA;0.091745;0.120320;0.120319;0.22;115;86
2.99;233;1;2;256;1;0;5;8192;0;1;.006474;NA;.022405;.029678;.029678;2.99;233;99
2.97;236;1;2;256;1;0;6;8192;0;0;0.013013;NA;0.042279;0.057908;0.057907;0.15;83;89
2.95;236;1;2;256;1;0;6;8192;0;1;.003593;NA;.006088;.010532;.010532;2.95;236;99
3.09;234;1;1.9;256;1;0;1;8192;0;0;0.015254;NA;0.114389;0.092872;0.092871;0.19;131;110
3.09;235;1;1.9;256;1;0;1;8192;0;1;.004061;NA;.033900;.031897;.031897;3.09;235;100
3.03;234;1;1.9;256;1;0;2;8192;0;0;0.029184;NA;0.115956;0.123115;0.123114;0.24;147;96
3.05;234;1;1.9;256;1;0;2;8192;0;1;.006238;NA;.031435;.034520;.034520;3.05;234;100
2.97;233;1;1.9;256;1;0;3;8192;0;0;0.024711;NA;0.083113;0.134090;0.134089;0.25;99;78
2.97;235;1;1.9;256;1;0;3;8192;0;1;.007725;NA;.020420;.031843;.031843;2.97;235;99
2.98;232;1;1.9;256;1;0;4;8192;0;0;0.025258;NA;0.080432;0.113013;0.113013;0.22;99;85
2.95;232;1;1.9;256;1;0;4;8192;0;1;.007330;NA;.018801;.023738;.023738;2.95;232;100
2.97;232;1;1.9;256;1;0;5;8192;0;0;0.026602;NA;0.095717;0.121989;0.121988;0.23;115;88
2.99;231;1;1.9;256;1;0;5;8192;0;1;.006844;NA;.021079;.030140;.030140;2.99;231;99
2.96;232;1;1.9;256;1;0;6;8192;0;0;0.013111;NA;0.045243;0.057397;0.057396;0.16;83;90
2.97;232;1;1.9;256;1;0;6;8192;0;1;.003302;NA;.006836;.011265;.011265;2.97;232;99
3.11;235;1;1.8;256;1;0;1;8192;0;0;0.015770;NA;0.122684;0.095856;0.095856;0.20;130;113
3.09;235;1;1.8;256;1;0;1;8192;0;1;.004110;NA;.033491;.033646;.033646;3.09;235;99
3.04;233;1;1.8;256;1;0;2;8192;0;0;0.029603;NA;0.122396;0.126654;0.126653;0.24;147;98
3.03;233;1;1.8;256;1;0;2;8192;0;1;.007172;NA;.029026;.034451;.034451;3.03;233;100
2.99;232;1;1.8;256;1;0;3;8192;0;0;0.027581;NA;0.067839;0.139337;0.139336;0.26;103;71
2.96;231;1;1.8;256;1;0;3;8192;0;1;.008299;NA;.020986;.031888;.031888;2.96;231;99
2.98;231;1;1.8;256;1;0;4;8192;0;0;0.025822;NA;0.066443;0.112500;0.112499;0.23;100;78
2.95;232;1;1.8;256;1;0;4;8192;0;1;.007562;NA;.017912;.024846;.024846;2.95;232;99
2.97;232;1;1.8;256;1;0;5;8192;0;0;0.027818;NA;0.100608;0.127991;0.127990;0.25;115;88
3.00;231;1;1.8;256;1;0;5;8192;0;1;.008243;NA;.019886;.030833;.030833;3.00;231;99
2.97;233;1;1.8;256;1;0;6;8192;0;0;0.013462;NA;0.046315;0.060262;0.060261;0.16;83;90
2.98;233;1;1.8;256;1;0;6;8192;0;1;.003645;NA;.006393;.010841;.010840;2.98;233;100
3.10;234;1;1.7;256;1;0;1;8192;0;0;0.016223;NA;0.120472;0.098590;0.098589;0.21;130;108
3.08;234;1;1.7;256;1;0;1;8192;0;1;.004973;NA;.032984;.030210;.030210;3.08;234;99
3.04;233;1;1.7;256;1;0;2;8192;0;0;0.031354;NA;0.127613;0.132603;0.132602;0.25;147;97
3.03;234;1;1.7;256;1;0;2;8192;0;1;.006273;NA;.030476;.037343;.037342;3.03;234;99
2.97;231;1;1.7;256;1;0;3;8192;0;0;0.028762;NA;0.091765;0.146153;0.146152;0.26;99;79
2.97;233;1;1.7;256;1;0;3;8192;0;1;.008292;NA;.021647;.031225;.031225;2.97;233;99
2.96;232;1;1.7;256;1;0;4;8192;0;0;0.027201;NA;0.087767;0.118043;0.118042;0.24;99;86
