nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;0.79;NA;NA;NA;640;64;NA;NA;NA;630;19;10;0.00334786;0.09;14;56;~10;0.001294;0.002666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;11.62;NA;NA;NA;12800;64;NA;NA;NA;12600;209;200;0.0154109;0.21;20;59;~10;0.025424;0.050736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;23.00;NA;NA;NA;25600;64;NA;NA;NA;25200;409;400;0.0318313;0.34;32;69;~10;0.050824;0.101336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;34.98;NA;NA;NA;38400;64;NA;NA;NA;37800;609;600;0.0393247;0.45;47;71;~10;0.076224;0.151936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;47.07;NA;NA;NA;51200;64;NA;NA;NA;50400;809;800;0.0543182;0.55;45;69;~10;0.101624;0.202536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;57.86;NA;NA;NA;64000;64;NA;NA;NA;63000;1009;1000;0.0743674;0.69;54;72;~10;0.127024;0.253136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;69.58;NA;NA;NA;76800;64;NA;NA;NA;75600;1209;1200;0.0887017;0.81;81;71;~10;0.152424;0.303736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;79.08;NA;NA;NA;89600;64;NA;NA;NA;88200;1409;1400;0.0890797;0.89;80;71;~10;0.177824;0.354336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;93.46;NA;NA;NA;102400;64;NA;NA;NA;100800;1609;1600;0.0885095;1.00;81;69;~10;0.203224;0.404936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;105.46;NA;NA;NA;115200;64;NA;NA;NA;113400;1809;1800;0.116957;1.12;88;70;~10;0.228624;0.455536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;117.67;NA;NA;NA;128000;64;NA;NA;NA;126000;2009;2000;0.123216;1.21;95;71;~10;0.254024;0.506136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;127.10;NA;NA;NA;140800;64;NA;NA;NA;138600;2209;2200;0.135045;1.36;151;72;~10;0.279424;0.556736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;140.02;NA;NA;NA;153600;64;NA;NA;NA;151200;2409;2400;0.147812;1.48;153;72;~10;0.304824;0.607336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;151.31;NA;NA;NA;166400;64;NA;NA;NA;163800;2609;2600;0.154441;1.58;153;70;~10;0.330224;0.657936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;164.37;NA;NA;NA;179200;64;NA;NA;NA;176400;2809;2800;0.166987;1.67;151;70;~10;0.355624;0.708536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;173.14;NA;NA;NA;192000;64;NA;NA;NA;189000;3009;3000;0.170775;1.77;152;70;~10;0.381024;0.759136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;replicated-field;3;189.22;NA;NA;NA;204800;64;NA;NA;NA;201600;3209;3200;0.177442;1.88;154;71;~10;0.406424;0.809736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
