comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.46          215                1                  0    1        256       0         1         0         1         0         0         4096        0           0           0.001478     NA          0.056598          0.042182            0.042181           0.06                 67            114
0.02          3                  1                  0    1        256       0         1         0         1         0         0         4096        0           1           .000235      NA          .010758           .008645             .008645            .013333              67            626
0.02          3                  1                  0    1        256       0         1         0         1         0         0         4096        0           2           .000078      NA          .003887           .003757             .003757            .005555              67            1543
1.61          215                1                  0    1        256       0         1         0         1         0         0         8192        0           0           0.002955     NA          0.116549          0.090865            0.090864           0.12                 130           117
0.01          3                  1                  0    1        256       0         1         0         1         0         0         8192        0           1           .000441      NA          .018059           .015110             .015110            .023333              131           595
0.02          3                  1                  0    1        256       0         1         0         1         0         0         8192        0           2           .000156      NA          .008151           .007577             .007577            .010555              134           1772
1.40          215                1                  0    1        256       0         1         0         1         0         0         12288       0           0           0.004402     NA          0.164996          0.139251            0.139250           0.19                 194           110
0.02          3                  1                  0    1        256       0         1         0         1         0         0         12288       0           1           .000617      NA          .028373           .023162             .023162            .033333              197           658
0.02          3                  1                  0    1        256       0         1         0         1         0         0         12288       0           2           .000236      NA          .012078           .011462             .011462            .015000              198           1784
1.70          216                1                  0    1        256       0         1         0         1         0         0         16384       0           0           0.005872     NA          0.243619          0.189181            0.189180           0.26                 257           116
0.02          3                  1                  0    1        256       0         1         0         1         0         0         16384       0           1           .000897      NA          .037887           .031112             .031112            .043333              257           660
0.02          3                  1                  0    1        256       0         1         0         1         0         0         16384       0           2           .000313      NA          .015352           .015028             .015028            .019444              258           1755
1.51          216                1                  0    1        256       0         1         0         1         0         0         20480       0           0           0.007459     NA          0.251732          0.232781            0.232780           0.31                 321           104
0.02          3                  1                  0    1        256       0         1         0         1         0         0         20480       0           1           .001123      NA          .046298           .037479             .037479            .051666              321           668
0.01          3                  1                  0    1        256       0         1         0         1         0         0         20480       0           2           .000390      NA          .019962           .018784             .018784            .024444              321           1807
1.39          216                1                  0    1        256       0         1         0         1         0         0         24576       0           0           0.008934     NA          0.364461          0.271273            0.271272           0.36                 384           124
0.01          3                  1                  0    1        256       0         1         0         1         0         0         24576       0           1           .001318      NA          .053779           .043169             .043169            .063333              384           634
0.01          3                  1                  0    1        256       0         1         0         1         0         0         24576       0           2           .000483      NA          .023541           .022649             .022649            .029444              384           1763
1.69          216                1                  0    1        256       0         1         0         1         0         0         28672       0           0           0.010467     NA          0.375542          0.315083            0.315082           0.42                 448           112
0.02          3                  1                  0    1        256       0         1         0         1         0         0         28672       0           1           .001557      NA          .064266           .054543             .054543            .075000              448           645
0.01          3                  1                  0    1        256       0         1         0         1         0         0         28672       0           2           .000554      NA          .026433           .026363             .026363            .033888              448           1716
1.66          217                1                  0    1        256       0         1         0         1         0         0         32768       0           0           0.011956     NA          0.414288          0.348955            0.348954           0.46                 511           113
0.02          3                  1                  0    1        256       0         1         0         1         0         0         32768       0           1           .001662      NA          .071762           .055293             .055293            .078333              512           669
0.02          3                  1                  0    1        256       0         1         0         1         0         0         32768       0           2           .000638      NA          .030078           .030209             .030209            .038888              511           1697
1.38          217                1                  0    1        256       0         1         0         1         0         0         36864       0           0           0.008870     NA          0.369240          0.359696            0.359696           0.47                 575           97
0.02          3                  1                  0    1        256       0         1         0         1         0         0         36864       0           1           .001766      NA          .080679           .063837             .063837            .088333              575           671
0.02          3                  1                  0    1        256       0         1         0         1         0         0         36864       0           2           .000699      NA          .034966           .033743             .033743            .043333              577           1772
1.51          215                1                  0    1        256       0         1         0         1         0         0         40960       0           0           0.015079     NA          0.445433          0.414385            0.414384           0.56                 639           103
