comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.49          232                1                  2.5         256       1         0         1         8192        0           0           0.005132     NA          0.037411          0.037113            0.037112           0.08                 130           97
1.41          233                1                  2.5         256       1         0         1         8192        0           1           .000887      NA          .007120           .026795             .026795            1.41                 233           99
1.40          232                1                  2.5         256       1         0         2         8192        0           0           0.007925     NA          0.043539          0.052935            0.052934           0.10                 147           91
1.39          231                1                  2.5         256       1         0         2         8192        0           1           .001018      NA          .006456           .023002             .023001            1.39                 231           99
1.37          230                1                  2.5         256       1         0         3         8192        0           0           0.006927     NA          0.024395          0.048332            0.048331           0.10                 99            71
1.37          230                1                  2.5         256       1         0         3         8192        0           1           .001268      NA          .005044           .017687             .017687            1.37                 230           100
1.36          231                1                  2.5         256       1         0         4         8192        0           0           0.006703     NA          0.021496          0.038888            0.038888           0.09                 99            75
1.36          230                1                  2.5         256       1         0         4         8192        0           1           .001238      NA          .004102           .016774             .016773            1.36                 230           100
1.38          230                1                  2.5         256       1         0         5         8192        0           0           0.006934     NA          0.024003          0.045187            0.045186           0.09                 115           77
1.38          231                1                  2.5         256       1         0         5         8192        0           1           .001300      NA          .005048           .018425             .018425            1.38                 231           99
1.37          231                1                  2.5         256       1         0         6         8192        0           0           0.003847     NA          0.010265          0.017055            0.017054           0.06                 83            75
1.35          229                1                  2.5         256       1         0         6         8192        0           1           .000652      NA          .001685           .004885             .004885            1.35                 229           99
1.41          232                1                  2.3         256       1         0         1         8192        0           0           0.004987     NA          0.040026          0.041411            0.041410           0.09                 130           95
1.41          232                1                  2.3         256       1         0         1         8192        0           1           .000822      NA          .007037           .026636             .026636            1.41                 232           100
1.41          232                1                  2.3         256       1         0         2         8192        0           0           0.008068     NA          0.044610          0.047269            0.047268           0.09                 147           96
1.39          231                1                  2.3         256       1         0         2         8192        0           1           .001020      NA          .006709           .024616             .024615            1.39                 231           99
1.37          229                1                  2.3         256       1         0         3         8192        0           0           0.006770     NA          0.021556          0.048816            0.048815           0.10                 99            68
1.36          231                1                  2.3         256       1         0         3         8192        0           1           .001259      NA          .005025           .017861             .017861            1.36                 231           99
1.37          230                1                  2.3         256       1         0         4         8192        0           0           0.006713     NA          0.018104          0.041170            0.041169           0.09                 99            72
1.37          230                1                  2.3         256       1         0         4         8192        0           1           .001183      NA          .004129           .016965             .016965            1.37                 230           100
1.37          231                1                  2.3         256       1         0         5         8192        0           0           0.006986     NA          0.026871          0.046396            0.046396           0.09                 115           78
