nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;1.8;80;10;1.16608;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;1.8;80;20;1.85482;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;1.8;120;10;0.877305;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;1.8;120;20;1.63722;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;2.1;80;10;1.12301;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;2.1;80;20;1.82399;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;2.1;120;10;0.782853;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;2;2.1;120;20;1.56364;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;1.8;80;10;1.14507;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;1.8;80;20;1.95688;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;1.8;120;10;0.890819;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;1.8;120;20;1.69715;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;2.1;80;10;1.10737;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;2.1;80;20;1.89039;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;2.1;120;10;0.820979;NA;NA;22.7558;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;4;2.1;120;20;1.63994;NA;NA;25.3604;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;2;1.8;80;10;0.0388799;NA;NA;0.97952;NA
