comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.05;232;1;8;1;0;1;4096;0;0;0.003245;NA;0.013993;0.013412;0.013411;0.02;5;100
3.00;231;1;8;1;0;2;4096;0;0;0.005060;NA;0.011631;0.013890;0.013889;0.03;6;80
2.93;231;1;8;1;0;3;4096;0;0;0.003780;NA;0.005780;0.012683;0.012682;0.03;5;61
2.91;231;1;8;1;0;4;4096;0;0;0.002279;NA;0.006108;0.009919;0.009918;0.02;5;59
2.94;232;1;8;1;0;5;4096;0;0;0.003935;NA;0.009924;0.013054;0.013053;0.02;5;87
2.94;231;1;8;1;0;6;4096;0;0;0.001912;NA;0.004521;0.004716;0.004715;0.01;5;83
3.13;233;1;64;1;0;1;4096;0;0;0.004127;NA;0.024658;0.020354;0.020353;0.04;19;111
3.13;232;1;64;1;0;2;4096;0;0;0.006570;NA;0.023647;0.024831;0.024830;0.05;21;94
3.03;232;1;64;1;0;3;4096;0;0;0.006436;NA;0.014930;0.029193;0.029192;0.05;17;70
3.05;230;1;64;1;0;4;4096;0;0;0.004858;NA;0.014677;0.024791;0.024789;0.04;15;70
3.05;232;1;64;1;0;5;4096;0;0;0.006644;NA;0.018312;0.025135;0.025135;0.05;17;86
3.04;232;1;64;1;0;6;4096;0;0;0.003026;NA;0.008715;0.012286;0.012285;0.03;13;88
