program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        10              22.0737              26.78                292           9          NA            0               NA               NA       NA          NA        8.25754  2           21.8058   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        12              31.8511              35.08                290           7          NA            0               NA               NA       NA          NA        8.25754  2           31.55     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        14              69.8111              73.68                290           3          NA            0               NA               NA       NA          NA        8.25754  2           69.4956   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        16              501.024              503.63               290           0          NA            0               NA               NA       NA          NA        8.25754  2           500.744   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        18              834.319              843.68               290           0          NA            0               NA               NA       NA          NA        8.25754  2           834.036   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          242.73        5668               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           4096        2               0.312224             2.53                 290           92         NA            0.520248        NA               4.8e-05  3           0.305086  4.8e-05  3           0.311541  NA             NA                 NA            NA        NA            NA       0.5202       8                0.160982    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        4               0.270774             3.14                 290           76         NA            0.520248        NA               4.8e-05  3           0.260313  4.8e-05  3           0.269889  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0811859   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        6               0.649482             4.36                 290           55         NA            0.520248        NA               4.8e-05  3           0.638777  4.8e-05  3           0.649922  NA             NA                 NA            NA        NA            NA       0.5202       8                0.455394    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        8               1.64111              8.15                 290           30         NA            0.520248        NA               4.8e-05  3           0.984599  4.8e-05  3           2.2865    NA             NA                 NA            NA        NA            NA       0.5202       8                0.79559     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        10              0.698173             8.08                 290           30         NA            0.520248        NA               4.8e-05  3           0.686383  4.8e-05  3           0.698934  NA             NA                 NA            NA        NA            NA       0.5202       8                0.499121    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        12              3.34525              9.26                 290           26         NA            0.520248        NA               4.8e-05  3           3.13904   4.8e-05  3           3.35232   NA             NA                 NA            NA        NA            NA       0.5202       8                2.94005     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        14              18.7038              22.64                290           10         NA            0.520248        NA               4.8e-05  3           18.6935   4.8e-05  3           18.702    NA             NA                 NA            NA        NA            NA       0.5202       8                18.5045     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        16              2.02717              6.76                 290           38         NA            0.520248        NA               4.8e-05  3           2.01686   4.8e-05  3           2.02691   NA             NA                 NA            NA        NA            NA       0.5202       8                1.82471     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        18              4.9847               25.33                290           9          NA            0.520248        NA               4.8e-05  3           4.97467   4.8e-05  3           4.9843    NA             NA                 NA            NA        NA            NA       0.5202       8                4.78721     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
