nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;15;0.43272;82;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;18;0.423684;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;21;0.371955;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;24;0.423207;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;27;0.436463;78;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;30;0.49944;78;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;100;33;0.463353;81;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;3;0.774929;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;6;0.773357;79;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;9;0.76725;79;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;12;0.841515;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;15;0.826445;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;18;0.813297;82;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;21;0.836789;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;24;0.826754;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;27;0.837628;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;30;0.875591;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;3;60;33;0.899765;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;240;3;0.327034;80;~105;10.2923;30.8766
