comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.41;226;1;64;1;0;4;4096;0;0;0.001603;NA;0.005943;0.013444;0.013443;0.02;15;60
1.41;225;1;64;1;0;4;4096;0;1;.000494;NA;.001908;.002542;.002542;1.41;225;99
1.46;227;1;64;1;0;4;4096;1;0;0.003399;0.007699;0.002956;0.010069;0.010068;0.04;17;75
1.45;227;1;64;1;0;4;4096;1;1;.000535;0.008266;.001077;.001445;.001445;1.45;227;99
1.44;226;1;64;1;0;4;8192;0;0;0.006032;NA;0.018084;0.027301;0.027300;0.06;29;73
1.44;225;1;64;1;0;4;8192;0;1;.000937;NA;.003176;.004071;.004071;1.44;225;99
1.45;226;1;64;1;0;4;8192;1;0;0.006027;0.013835;0.004811;0.018050;0.018049;0.06;31;77
1.45;226;1;64;1;0;4;8192;1;1;.001008;0.014263;.002257;.002676;.002676;1.45;226;99
1.44;225;1;64;1;0;4;12288;0;0;0.009353;NA;0.024350;0.031503;0.031502;0.08;39;81
1.43;225;1;64;1;0;4;12288;0;1;.001622;NA;.004594;.005888;.005888;1.43;225;99
1.44;227;1;64;1;0;4;12288;1;0;0.009410;0.019749;0.003465;0.024864;0.024864;0.09;45;71
1.45;227;1;64;1;0;4;12288;1;1;.001292;0.018829;.002714;.003719;.003719;1.45;227;99
1.42;225;1;64;1;0;4;16384;0;0;0.011311;NA;0.016814;0.033282;0.033281;0.08;51;81
1.43;226;1;64;1;0;4;16384;0;1;.001678;NA;.005385;.005801;.005800;1.43;226;99
1.41;226;1;64;1;0;4;16384;1;0;0.011277;0.011220;0.005005;0.020142;0.020141;0.09;59;77
1.46;226;1;64;1;0;4;16384;1;1;.001593;0.025858;.003804;.004284;.004284;1.46;226;100
1.44;226;1;64;1;0;4;20480;0;0;0.009426;NA;0.021597;0.036843;0.036843;0.09;63;84
1.42;226;1;64;1;0;4;20480;0;1;.001448;NA;.006524;.007518;.007518;1.42;226;99
1.47;227;1;64;1;0;4;20480;1;0;0.007686;0.014209;0.004496;0.021704;0.021703;0.10;73;79
1.45;227;1;64;1;0;4;20480;1;1;.001408;0.031475;.004496;.005907;.005907;1.45;227;99
1.39;226;1;64;1;0;4;24576;0;0;0.008071;NA;0.024395;0.042291;0.042290;0.11;75;79
1.43;225;1;64;1;0;4;24576;0;1;.001450;NA;.005677;.007701;.007701;1.43;225;99
1.45;227;1;64;1;0;4;24576;1;0;0.007826;0.017017;0.005499;0.026844;0.026844;0.11;87;77
1.46;226;1;64;1;0;4;24576;1;1;.001466;0.020816;.004623;.006223;.006223;1.46;226;99
1.42;226;1;64;1;0;4;28672;0;0;0.009377;NA;0.028464;0.046598;0.046597;0.11;87;66
1.43;229;1;64;1;0;4;28672;0;1;.001585;NA;.007532;.009637;.009637;1.43;229;100
1.41;226;1;64;1;0;4;28672;1;0;0.009145;0.019155;0.006148;0.048004;0.048004;0.14;101;66
1.43;226;1;64;1;0;4;28672;1;1;.001697;0.045159;.006023;.007554;.007554;1.43;226;99
1.44;225;1;64;1;0;4;32768;0;0;0.010757;NA;0.030286;0.054226;0.054225;0.12;99;81
1.43;225;1;64;1;0;4;32768;0;1;.001885;NA;.007754;.010365;.010365;1.43;225;99
1.46;226;1;64;1;0;4;32768;1;0;0.009432;0.021440;0.007030;0.045187;0.045186;0.15;115;68
1.45;227;1;64;1;0;4;32768;1;1;.001926;0.023919;.006502;.008393;.008393;1.45;227;99
1.43;226;1;64;1;0;4;36864;0;0;0.011294;NA;0.034578;0.061202;0.061201;0.15;111;76
1.42;225;1;64;1;0;4;36864;0;1;.002166;NA;.006861;.010851;.010851;1.42;225;99
1.45;225;1;64;1;0;4;36864;1;0;0.010727;0.024912;0.008106;0.046757;0.046757;0.17;129;70
1.45;226;1;64;1;0;4;36864;1;1;.002531;0.027419;.006205;.009172;.009172;1.45;226;99
1.40;225;1;64;1;0;4;40960;0;0;0.012902;NA;0.039036;0.063459;0.063458;0.14;123;83
1.43;224;1;64;1;0;4;40960;0;1;.002713;NA;.010667;.014096;.014096;1.43;224;99
1.43;226;1;64;1;0;4;40960;1;0;0.014505;0.027129;0.009128;0.043484;0.043484;0.17;143;73
1.47;225;1;64;1;0;4;40960;1;1;.002426;0.036403;.008372;.010676;.010676;1.47;225;100
1.45;230;1;128;1;0;4;4096;0;0;0.004923;NA;0.014784;0.024343;0.024342;0.05;27;83
1.45;232;1;128;1;0;4;4096;0;1;.000616;NA;.002723;.003695;.003694;1.45;232;99
1.46;231;1;128;1;0;4;4096;1;0;0.003146;0.010075;0.003619;0.013950;0.013950;0.06;31;77
1.50;230;1;128;1;0;4;4096;1;1;.000692;0.020121;.001464;.002030;.002030;1.50;230;99
1.42;230;1;128;1;0;4;8192;0;0;0.004428;NA;0.013420;0.026231;0.026230;0.09;51;57
1.47;230;1;128;1;0;4;8192;0;1;.000829;NA;.004427;.005414;.005414;1.47;230;99
1.50;230;1;128;1;0;4;8192;1;0;0.004837;0.007770;0.003138;0.019481;0.019480;0.09;59;76
1.48;231;1;128;1;0;4;8192;1;1;.000815;0.015758;.002979;.003659;.003658;1.48;231;100
1.46;230;1;128;1;0;4;12288;0;0;0.006061;NA;0.017652;0.037285;0.037284;0.11;75;74
1.45;229;1;128;1;0;4;12288;0;1;.001066;NA;.005505;.006894;.006894;1.45;229;100
1.48;231;1;128;1;0;4;12288;1;0;0.006078;0.011678;0.003986;0.023910;0.023909;0.11;87;78
1.47;230;1;128;1;0;4;12288;1;1;.001056;0.027154;.002774;.004362;.004362;1.47;230;99
1.47;230;1;128;1;0;4;16384;0;0;0.007839;NA;0.026369;0.048801;0.048801;0.13;99;80
1.46;229;1;128;1;0;4;16384;0;1;.001535;NA;.006290;.008725;.008725;1.46;229;100
1.46;231;1;128;1;0;4;16384;1;0;0.007475;0.015358;0.005924;0.029817;0.029816;0.15;115;72
1.47;231;1;128;1;0;4;16384;1;1;.001445;0.019963;.004416;.005816;.005816;1.47;231;99
1.45;231;1;128;1;0;4;20480;0;0;0.009682;NA;0.030798;0.055098;0.055098;0.15;123;83
1.46;229;1;128;1;0;4;20480;0;1;.001933;NA;.006486;.010523;.010523;1.46;229;99
1.47;231;1;128;1;0;4;20480;1;0;0.011174;0.019533;0.006804;0.038898;0.038897;0.15;143;67
1.48;231;1;128;1;0;4;20480;1;1;.001933;0.022006;.004801;.035654;.035654;1.48;231;99
1.43;230;1;128;1;0;4;24576;0;0;0.013076;NA;0.037075;0.064870;0.064870;0.17;147;81
1.45;230;1;128;1;0;4;24576;0;1;.002483;NA;.007514;.011911;.011911;1.45;230;99
1.50;230;1;128;1;0;4;24576;1;0;0.012667;0.025205;0.008161;0.044036;0.044035;0.20;171;72
1.48;232;1;128;1;0;4;24576;1;1;.002305;0.026528;.006511;.008683;.008683;1.48;232;100
1.45;230;1;128;1;0;4;28672;0;0;0.015074;NA;0.043447;0.074722;0.074722;0.19;171;83
1.46;229;1;128;1;0;4;28672;0;1;.002773;NA;.011526;.015256;.015256;1.46;229;99
1.48;230;1;128;1;0;4;28672;1;0;0.014933;0.029933;0.009647;0.050033;0.050033;0.21;199;77
1.47;231;1;128;1;0;4;28672;1;1;.002743;0.031618;.008539;.011606;.011605;1.47;231;100
1.46;229;1;128;1;0;4;32768;0;0;0.017778;NA;0.050727;0.088333;0.088332;0.22;194;81
1.47;230;1;128;1;0;4;32768;0;1;.003268;NA;.010827;.016330;.016330;1.47;230;100
1.49;230;1;128;1;0;4;32768;1;0;0.016609;0.035841;0.011273;0.067629;0.067628;0.25;226;71
1.48;230;1;128;1;0;4;32768;1;1;.003219;0.067166;.010251;.040234;.040234;1.48;230;99
1.44;230;1;128;1;0;4;36864;0;0;0.020281;NA;0.058853;0.095174;0.095173;0.24;218;85
1.44;229;1;128;1;0;4;36864;0;1;.003878;NA;.012032;.019659;.019659;1.44;229;99
1.45;230;1;128;1;0;4;36864;1;0;0.019401;0.044173;0.013380;0.092277;0.092277;0.31;254;69
1.49;231;1;128;1;0;4;36864;1;1;.003775;0.073548;.009660;.013762;.013762;1.49;231;99
1.47;230;1;128;1;0;4;40960;0;0;0.022007;NA;0.062281;0.106223;0.106223;0.26;242;81
1.42;230;1;128;1;0;4;40960;0;1;.004234;NA;.014371;.020627;.020627;1.42;230;99
1.49;231;1;128;1;0;4;40960;1;0;0.021010;0.048156;0.014397;0.086581;0.086580;0.33;282;70
1.49;231;1;128;1;0;4;40960;1;1;.004001;0.059322;.013664;.016493;.016493;1.49;231;100
1.42;230;1;256;1;0;4;4096;0;0;0.006567;NA;0.011525;0.022728;0.022727;0.08;51;78
1.41;229;1;256;1;0;4;4096;0;1;.000940;NA;.002667;.004443;.004443;1.41;229;99
1.47;232;1;256;1;0;4;4096;1;0;0.006326;0.005918;0.002373;0.016414;0.016413;0.08;59;77
1.45;232;1;256;1;0;4;4096;1;1;.000892;0.012405;.002440;.003086;.003085;1.45;232;100
1.43;229;1;256;1;0;4;8192;0;0;0.006529;NA;0.019435;0.038438;0.038438;0.11;99;83
1.43;229;1;256;1;0;4;8192;0;1;.001232;NA;.005178;.007438;.007438;1.43;229;99
