comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.62;212;1;0;8;1;0;1;1024;0;0;0.000371;NA;0.006184;0.004888;0.004887;0.01;4;76
0.01;3;1;0;8;1;0;1;1024;0;1;.000056;NA;.001008;.000655;.000654;0.01;4;405
0.01;3;1;0;8;1;0;1;1024;0;2;.000023;NA;.000193;.000206;.000206;0.01;4;784
1.57;213;1;0;8;1;0;1;10240;0;0;0.003788;NA;0.016482;0.022495;0.022494;0.03;8;70
0.01;3;1;0;8;1;0;1;10240;0;1;.000742;NA;.003468;.003065;.003065;0.03;8;510
0.01;3;1;0;8;1;0;1;10240;0;2;.000212;NA;.001066;.001251;.001251;0.04;8;1034
1.45;214;1;0;8;1;0;1;102400;0;0;0.037676;NA;0.171105;0.158687;0.158686;0.21;53;103
0.01;3;1;0;8;1;0;1;102400;0;1;.005305;NA;.036219;.036487;.036487;0.28;53;556
0.01;3;1;0;8;1;0;1;102400;0;2;.001965;NA;.018537;.018959;.018959;0.44;53;1571
1.42;213;1;0;8;1;0;2;1024;0;0;0.000636;NA;0.004485;0.006305;0.006304;0.02;4;50
0.01;3;1;0;8;1;0;2;1024;0;1;.000190;NA;.000803;.000641;.000641;0.02;4;328
0.01;3;1;0;8;1;0;2;1024;0;2;.000040;NA;.000148;.000164;.000164;0.02;4;715
1.33;212;1;0;8;1;0;2;10240;0;0;0.006238;NA;0.021758;0.022678;0.022677;0.03;8;86
0.01;3;1;0;8;1;0;2;10240;0;1;.000991;NA;.002391;.003278;.003278;0.04;8;334
0.01;3;1;0;8;1;0;2;10240;0;2;.000329;NA;.000837;.001184;.001184;0.05;8;950
1.61;213;1;0;8;1;0;2;102400;0;0;0.060845;NA;0.155335;0.180787;0.180786;0.26;53;88
0.01;3;1;0;8;1;0;2;102400;0;1;.008676;NA;.033317;.041186;.041186;0.33;53;477
0.01;3;1;0;8;1;0;2;102400;0;2;.003081;NA;.015494;.019705;.019705;0.47;53;1334
1.30;211;1;0;8;1;0;3;1024;0;0;0.000447;NA;0.002247;0.003645;0.003644;0.01;4;53
0.01;3;1;0;8;1;0;3;1024;0;1;.000104;NA;.000466;.000837;.000836;0.02;4;247
0.01;3;1;0;8;1;0;3;1024;0;2;.000026;NA;.000145;.000203;.000203;0.01;4;750
1.38;211;1;0;8;1;0;3;10240;0;0;0.004304;NA;0.008029;0.019455;0.019454;0.04;6;47
0.01;3;1;0;8;1;0;3;10240;0;1;.000752;NA;.001601;.002449;.002449;0.03;8;325
0.01;3;1;0;8;1;0;3;10240;0;2;.000251;NA;.000595;.000913;.000913;0.04;12;831
1.43;212;1;0;8;1;0;3;102400;0;0;0.040110;NA;0.076903;0.175629;0.175628;0.25;35;52
0.01;3;1;0;8;1;0;3;102400;0;1;.005561;NA;.017026;.026649;.026649;0.24;53;372
0.01;3;1;0;8;1;0;3;102400;0;2;.002227;NA;.009743;.014549;.014549;0.38;55;1087
1.64;211;1;0;8;1;0;4;1024;0;0;0.000386;NA;0.002233;0.003938;0.003937;0.01;4;33
0.01;3;1;0;8;1;0;4;1024;0;1;.000086;NA;.000645;.000570;.000570;0.01;4;300
0.01;3;1;0;8;1;0;4;1024;0;2;.000032;NA;.000074;.000137;.000136;0.01;4;676
1.41;212;1;0;8;1;0;4;10240;0;0;0.004086;NA;0.009728;0.015005;0.015004;0.03;7;66
0.01;3;1;0;8;1;0;4;10240;0;1;.000722;NA;.001283;.001585;.001585;0.03;8;321
0.01;3;1;0;8;1;0;4;10240;0;2;.000252;NA;.000424;.000689;.000689;0.04;8;772
1.55;211;1;0;8;1;0;4;102400;0;0;0.036663;NA;0.075862;0.116780;0.116779;0.18;34;67
