nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;3;0.0181315;NA;NA;0.079767;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;6;0.0252561;NA;NA;0.319068;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;9;0.038621;NA;NA;0.717903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;12;0.0556604;NA;NA;1.27627;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;15;0.0777953;NA;NA;1.99417;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;18;0.102885;NA;NA;2.87161;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;21;0.140136;NA;NA;3.90858;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;24;0.179197;NA;NA;5.10509;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;27;0.225339;NA;NA;6.46113;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;30;0.27179;NA;NA;7.9767;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;33;0.327644;NA;NA;9.65181;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;3;0.0178543;NA;NA;0.079767;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;6;0.0256572;NA;NA;0.319068;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;9;0.0376944;NA;NA;0.717903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;12;0.0563566;NA;NA;1.27627;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;15;0.0761529;NA;NA;1.99417;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;18;0.102048;NA;NA;2.87161;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;21;0.137548;NA;NA;3.90858;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;24;0.17632;NA;NA;5.10509;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;27;0.224533;NA;NA;6.46113;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;30;0.276149;NA;NA;7.9767;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;33;0.336635;NA;NA;9.65181;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;3;0.0171141;NA;NA;0.079767;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;6;0.0247166;NA;NA;0.319068;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;9;0.0358653;NA;NA;0.717903;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;12;0.0574132;NA;NA;1.27627;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;15;0.0794884;NA;NA;1.99417;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;18;0.10619;NA;NA;2.87161;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;21;0.133552;NA;NA;3.90858;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;24;0.175078;NA;NA;5.10509;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;140;27;0.218182;NA;NA;6.46113;NA
