program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
43;FIELD;semihonest;atlas;3;45.54;1064;9;NA;NA;NA;1920;1920;NA;NA;NA;56700;39;4;1.7;80;30;0.0992561;0.60;55;74;~26;0.159486;0.474618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;81.63;1930;15;NA;NA;NA;2560;2560;NA;NA;NA;100800;49;4;1.7;80;40;0.1495;0.97;88;73;~36;0.286256;0.853648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;5.19;137;1;NA;NA;NA;640;640;NA;NA;NA;6300;19;4;1.7;120;10;0.0157037;0.15;17;63;~16;0.023026;0.067798;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;20.80;500;4;NA;NA;NA;1280;1280;NA;NA;NA;25200;29;4;1.7;120;20;0.0484645;0.34;32;67;~20;0.076188;0.226004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;46.67;1064;9;NA;NA;NA;1920;1920;NA;NA;NA;56700;39;4;1.7;120;30;0.0968126;0.59;53;75;~26;0.159486;0.474618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;81.73;1930;15;NA;NA;NA;2560;2560;NA;NA;NA;100800;49;4;1.7;120;40;0.152526;0.96;88;73;~36;0.286256;0.853648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;5.20;137;1;NA;NA;NA;640;640;NA;NA;NA;6300;19;4;2.3;80;10;0.0127272;0.15;18;67;~16;0.023026;0.067798;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;20.83;499;4;NA;NA;NA;1280;1280;NA;NA;NA;25200;29;4;2.3;80;20;0.0500764;0.33;31;72;~20;0.076188;0.226004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;46.37;1064;9;NA;NA;NA;1920;1920;NA;NA;NA;56700;39;4;2.3;80;30;0.107627;0.61;55;73;~26;0.159486;0.474618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;81.99;1930;15;NA;NA;NA;2560;2560;NA;NA;NA;100800;49;4;2.3;80;40;0.153549;0.98;90;75;~36;0.286256;0.853648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;FIELD;semihonest;atlas;3;5.23;137;1;NA;NA;NA;640;640;NA;NA;NA;6300;19;4;2.3;120;10;0.0168629;0.15;19;65;~16;0.023026;0.067798;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
