program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          239.02        5652               44                 2.5         1000             4096        0.134767             1.76                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         900              4096        0.143089             1.73                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         800              4096        0.144545             1.73                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         700              4096        0.147915             1.74                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         600              4096        0.138876             1.74                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         500              4096        0.144722             1.73                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         400              4096        0.22915              1.82                 290           94         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         300              4096        0.148654             1.74                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         200              4096        0.147184             1.73                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         100              4096        0.165034             1.75                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         50               4096        0.200843             1.79                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         30               4096        0.257506             1.91                 290           93         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         1000             4096        0.138704             1.73                 292           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         900              4096        0.135706             1.72                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         800              4096        0.137474             1.84                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         700              4096        0.139798             1.73                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         600              4096        0.138615             1.76                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         500              4096        0.145676             1.73                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         400              4096        0.138394             1.75                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         300              4096        0.139885             1.72                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         200              4096        0.159681             1.74                 290           97         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         100              4096        0.193626             1.77                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         50               4096        0.197511             1.80                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         30               4096        0.277105             1.87                 290           92         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         1000             4096        0.148219             1.81                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         900              4096        0.149044             1.84                 292           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         800              4096        0.147024             1.82                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         700              4096        0.145237             1.81                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         600              4096        0.141201             1.81                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         500              4096        0.15169              1.81                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         400              4096        0.146419             1.83                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         300              4096        0.14938              1.81                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         200              4096        0.151122             1.88                 292           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         100              4096        0.16683              1.83                 290           97         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         50               4096        0.196995             1.86                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         30               4096        0.260314             1.92                 290           93         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           1000             4096        0.147497             1.90                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           900              4096        0.150137             1.96                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           800              4096        0.155746             1.91                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           700              4096        0.156464             1.90                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           600              4096        0.154024             1.90                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           500              4096        0.162301             1.91                 292           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           400              4096        0.178767             1.92                 290           97         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           300              4096        0.153313             1.91                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           200              4096        0.160975             1.91                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           100              4096        0.174557             1.91                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           50               4096        0.212247             1.96                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           30               4096        0.264249             2.02                 292           94         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         1000             4096        0.178021             2.01                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         900              4096        0.15695              1.99                 292           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         800              4096        0.165703             2.00                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         700              4096        0.175634             2.01                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         600              4096        0.213093             2.05                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         500              4096        0.158493             1.99                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         400              4096        0.155678             1.98                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         300              4096        0.159212             2.02                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         200              4096        0.172649             2.03                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         100              4096        0.180805             2.02                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         50               4096        0.308493             2.14                 292           92         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         30               4096        0.290038             2.12                 290           93         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         1000             4096        0.169723             2.11                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         900              4096        0.169701             2.10                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         800              4096        0.16704              2.10                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         700              4096        0.170811             2.15                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         600              4096        0.162232             2.09                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         500              4096        0.167178             2.10                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         400              4096        0.16351              2.09                 290           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         300              4096        0.169362             2.10                 292           99         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         200              4096        0.189266             2.11                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         100              4096        0.192922             2.12                 290           98         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         50               4096        0.224624             2.16                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         30               4096        0.282811             2.22                 292           94         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         1000             4096        0.187562             2.22                 290           99         NA            0.520248        NA
