comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.56          217                1                  128       1         0         1         500            4096        0           0           0.003510     NA          0.043866          13.013930           13.013929          14.54                35            0
1.60          218                1                  128       1         0         1         500            4096        0           1           .000619      NA          .006994           2.163564            2.163563           1.60                 218           99
1.87          218                1                  128       1         0         1         500            8192        0           0           0.007171     NA          0.073133          14.037614           14.037613          15.58                67            0
1.91          218                1                  128       1         0         1         500            8192        0           1           .001122      NA          .013169           2.398914            2.398914           1.91                 218           99
1.73          218                1                  128       1         0         1         500            40960       0           0           0.051057     NA          0.331788          24.201018           24.201017          25.90                321           2
2.32          218                1                  128       1         0         1         500            40960       0           1           .007282      NA          .054371           4.294931            4.294931           2.32                 218           99
1.74          217                1                  128       1         0         1         1000           4096        0           0           0.003523     NA          0.043277          26.013869           26.013868          29.04                35            0
1.84          218                1                  128       1         0         1         1000           4096        0           1           .000440      NA          .005981           3.603814            3.603814           1.84                 218           99
1.95          218                1                  128       1         0         1         1000           8192        0           0           0.007047     NA          0.072731          28.019747           28.019745          31.06                67            0
1.87          218                1                  128       1         0         1         1000           8192        0           1           .001058      NA          .013049           4.729924            4.729924           1.87                 218           99
1.59          218                1                  128       1         0         1         1000           40960       0           0           0.052670     NA          0.348719          50.293940           50.293939          53.47                321           1
1.74          219                1                  128       1         0         1         1000           40960       0           1           0.046290     NA          0.346922          54.948189           54.948187          1.74                 219           99
1.69          217                1                  128       1         0         2         1              4096        0           0           0.007485     NA          0.030963          0.072177            0.072176           0.10                 39            57
1.86          220                1                  128       1         0         2         1              4096        0           1           .000855      NA          .006103           .016943             .016943            1.86                 220           99
1.72          217                1                  128       1         0         2         1              8192        0           0           0.009808     NA          0.048405          0.134828            0.134827           0.18                 75            46
1.71          218                1                  128       1         0         2         1              8192        0           1           .001648      NA          .009778           .025905             .025905            1.71                 218           99
1.75          217                1                  128       1         0         2         1              40960       0           0           0.079363     NA          0.296064          0.461108            0.461107           0.68                 362           74
1.58          217                1                  128       1         0         2         1              40960       0           1           .010176      NA          .040276           .078628             .078627            1.58                 217           99
1.91          216                1                  128       1         0         2         5              4096        0           0           0.005699     NA          0.029453          0.225612            0.225611           0.27                 39            19
