comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.93          216                1                  512       1         0         1         5              18000            40960       0           1           .011503      NA          .149165           .110029             .110029            1.93                 216           99
1.71          216                1                  512       1         0         1         5              17000            40960       0           0           0.058231     NA          0.715486          0.432961            0.432960           1.14                 1273          111
1.52          216                1                  512       1         0         1         5              17000            40960       0           1           .012945      NA          .149074           .113490             .113490            1.52                 216           99
1.73          216                1                  512       1         0         1         5              16000            40960       0           0           0.089743     NA          0.742219          0.459328            0.459327           1.15                 1273          124
1.65          215                1                  512       1         0         1         5              16000            40960       0           1           .011829      NA          .143588           .115894             .115894            1.65                 215           99
1.54          215                1                  512       1         0         1         5              15000            40960       0           0           0.089162     NA          0.757600          0.474908            0.474907           1.17                 1273          124
1.72          216                1                  512       1         0         1         5              15000            40960       0           1           .011145      NA          .145485           .115897             .115897            1.72                 216           99
1.80          216                1                  512       1         0         1         5              14000            40960       0           0           0.055179     NA          0.718167          0.419344            0.419343           0.98                 1274          126
1.43          216                1                  512       1         0         1         5              14000            40960       0           1           .011248      NA          .142809           .117034             .117034            1.43                 216           99
1.70          216                1                  512       1         0         1         5              13000            40960       0           0           0.055596     NA          0.721409          0.427605            0.427604           1.00                 1274          123
1.50          216                1                  512       1         0         1         5              13000            40960       0           1           .011496      NA          .146088           .131027             .131027            1.50                 216           100
1.70          216                1                  512       1         0         1         5              12000            40960       0           0           0.057135     NA          0.767874          0.487556            0.487555           1.18                 1273          107
1.69          215                1                  512       1         0         1         5              12000            40960       0           1           .011813      NA          .140291           .129907             .129906            1.69                 215           99
1.50          216                1                  512       1         0         1         5              11000            40960       0           0           0.088819     NA          0.786743          0.490516            0.490515           1.19                 1273          124
1.72          217                1                  512       1         0         1         5              11000            40960       0           1           .012209      NA          .144996           .145946             .145946            1.72                 217           99
1.56          216                1                  512       1         0         1         5              10000            40960       0           0           0.055593     NA          0.794101          0.532953            0.532952           1.24                 1274          107
1.52          216                1                  512       1         0         1         5              10000            40960       0           1           .011213      NA          .141003           .155368             .155368            1.52                 216           100
1.68          215                1                  512       1         0         1         5              9000             40960       0           0           0.089852     NA          0.765134          0.521514            0.521513           1.22                 1273          119
1.53          216                1                  512       1         0         1         5              9000             40960       0           1           .011682      NA          .141925           .170735             .170734            1.53                 216           100
1.67          216                1                  512       1         0         1         5              8000             40960       0           0           0.059313     NA          0.802558          0.513752            0.513751           1.21                 1273          114
1.55          216                1                  512       1         0         1         5              8000             40960       0           1           .012689      NA          .139707           .177365             .177365            1.55                 216           100
1.55          217                1                  512       1         0         1         10             25000            40960       0           0           0.054878     NA          0.736662          0.424014            0.424013           1.12                 1273          114
1.43          216                1                  512       1         0         1         10             25000            40960       0           1           .012598      NA          .147539           .099479             .099479            1.43                 216           99
1.68          216                1                  512       1         0         1         10             24000            40960       0           0           0.055309     NA          0.707429          0.413786            0.413785           0.96                 1273          122
1.71          215                1                  512       1         0         1         10             24000            40960       0           1           .011292      NA          .148349           .101851             .101851            1.71                 215           99
1.53          215                1                  512       1         0         1         10             23000            40960       0           0           0.057657     NA          0.714920          0.431351            0.431350           1.13                 1273          119
1.69          216                1                  512       1         0         1         10             23000            40960       0           1           .012931      NA          .143622           .102771             .102771            1.69                 216           99
1.69          216                1                  512       1         0         1         10             22000            40960       0           0           0.056595     NA          0.730117          0.424718            0.424716           1.13                 1273          112
1.74          215                1                  512       1         0         1         10             22000            40960       0           1           .011478      NA          .144773           .102776             .102776            1.74                 215           99
1.52          216                1                  512       1         0         1         10             21000            40960       0           0           0.055172     NA          0.698740          0.415232            0.415231           1.06                 1273          119
1.48          217                1                  512       1         0         1         10             21000            40960       0           1           .010948      NA          .143507           .101828             .101828            1.48                 217           99
1.50          216                1                  512       1         0         1         10             20000            40960       0           0           0.090050     NA          0.711893          0.441952            0.441951           1.13                 1273          123
1.41          216                1                  512       1         0         1         10             20000            40960       0           1           .012605      NA          .145323           .104094             .104094            1.41                 216           100
1.51          217                1                  512       1         0         1         10             19000            40960       0           0           0.055427     NA          0.707236          0.434856            0.434855           0.98                 1274          120
1.50          219                1                  512       1         0         1         10             19000            40960       0           1           .011397      NA          .146907           .102568             .102568            1.50                 219           99
1.51          217                1                  512       1         0         1         10             18000            40960       0           0           0.088533     NA          0.753326          0.456513            0.456512           1.16                 1273          124
1.51          217                1                  512       1         0         1         10             18000            40960       0           1           .011463      NA          .140841           .112029             .112029            1.51                 217           99
1.52          215                1                  512       1         0         1         10             17000            40960       0           0           0.056374     NA          0.721681          0.421490            0.421489           0.96                 1274          125
1.53          216                1                  512       1         0         1         10             17000            40960       0           1           .012402      NA          .139128           .108815             .108815            1.53                 216           100
1.65          216                1                  512       1         0         1         10             16000            40960       0           0           0.055091     NA          0.753278          0.498878            0.498877           1.18                 1274          109
1.51          216                1                  512       1         0         1         10             16000            40960       0           1           .012204      NA          .148171           .110570             .110569            1.51                 216           99
1.67          217                1                  512       1         0         1         10             15000            40960       0           0           0.059112     NA          0.730987          0.420189            0.420188           1.04                 1274          122
1.68          215                1                  512       1         0         1         10             15000            40960       0           1           .011773      NA          .143229           .116428             .116427            1.68                 215           100
1.65          215                1                  512       1         0         1         10             14000            40960       0           0           0.056442     NA          0.767436          0.481343            0.481342           1.18                 1273          109
1.51          215                1                  512       1         0         1         10             14000            40960       0           1           .011166      NA          .144667           .121801             .121801            1.51                 215           99
1.68          216                1                  512       1         0         1         10             13000            40960       0           0           0.056518     NA          0.723293          0.433418            0.433417           1.08                 1273          119
1.57          217                1                  512       1         0         1         10             13000            40960       0           1           .011412      NA          .147875           .127893             .127893            1.57                 217           100
1.52          215                1                  512       1         0         1         10             12000            40960       0           0           0.092321     NA          0.754235          0.488614            0.488613           1.18                 1274          122
1.67          216                1                  512       1         0         1         10             12000            40960       0           1           .011139      NA          .142138           .137090             .137090            1.67                 216           99
1.49          215                1                  512       1         0         1         10             11000            40960       0           0           0.058482     NA          0.742768          0.435947            0.435946           0.99                 1275          130
1.69          215                1                  512       1         0         1         10             11000            40960       0           1           .011622      NA          .147046           .149817             .149817            1.69                 215           99
