program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;BINARY;semidishonest;yao;2;11.79;266;2;2.5;4096;0.587127;0.71;55;83;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;2.3;4096;0.588981;0.71;55;83;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;2.1;4096;0.593013;0.71;54;84;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;2;4096;0.597567;0.72;56;85;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1.9;4096;0.61338;0.75;59;84;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1.8;4096;0.614705;0.75;55;85;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1.7;4096;0.628413;0.78;55;86;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1.6;4096;0.653115;0.81;53;84;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1.4;4096;0.670941;0.85;57;86;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1.2;4096;0.718974;0.93;56;88;NA;33.9477;NA
31;BINARY;semidishonest;yaoO;2;11.79;266;2;2.5;4096;0.622117;0.75;56;53;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;2.3;4096;0.623583;0.75;56;50;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;2.1;4096;0.633285;0.77;55;52;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;2;4096;0.650292;0.79;58;52;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1.9;4096;0.65491;0.80;56;50;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1.8;4096;0.690223;0.84;53;49;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1.7;4096;0.686805;0.85;56;48;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1.6;4096;0.700805;0.88;55;46;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1.4;4096;0.730389;0.93;56;41;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1.2;4096;0.790399;1.02;55;39;NA;0;NA
31;BINARY;semihonest;replicated-bin;3;11.79;266;2;2.5;4096;10.1032;10.23;23;56;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;4096;9.57118;9.70;22;61;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;4096;13.8113;13.94;25;59;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2;4096;12.222;12.36;24;63;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.9;4096;10.3419;10.49;24;71;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.8;4096;12.0811;12.23;22;66;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.7;4096;13.0953;13.26;24;68;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.6;4096;10.2133;10.38;24;82;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.4;4096;12.485;12.69;24;75;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.2;4096;11.6521;11.88;25;83;NA;1.32319;NA
