comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.37;225;1;0;8;1;0;4;1024;0;0;0.000155;NA;0.001944;0.005641;0.005639;0.01;4;21
0.01;3;1;0;8;1;0;4;1024;0;1;.000022;NA;.000310;.000339;.000339;0.01;4;261
1.40;225;1;0;8;1;0;4;1024;1;0;0.000024;0.001267;0.000521;0.002148;0.002147;0.01;4;35
0.01;3;1;0;8;1;0;4;1024;1;1;.000018;0.003488;.000176;.000193;.000193;0.02;4;162
1.38;224;1;0;8;1;0;4;10240;0;0;0.001234;NA;0.014384;0.018106;0.018104;0.02;6;68
0.01;3;1;0;8;1;0;4;10240;0;1;.000196;NA;.001881;.002679;.002679;0.04;8;256
1.37;225;1;0;8;1;0;4;10240;1;0;0.000028;0.012133;0.002663;0.010797;0.010796;0.04;7;55
0.01;3;1;0;8;1;0;4;10240;1;1;.000171;0.012204;.001436;.001855;.001855;0.04;8;316
1.38;225;1;0;8;1;0;4;102400;0;0;0.012118;NA;0.083649;0.104756;0.104755;0.16;34;74
0.01;3;1;0;8;1;0;4;102400;0;1;.001875;NA;.010035;.018143;.018143;0.19;47;296
1.41;225;1;0;8;1;0;4;102400;1;0;0.000034;0.078621;0.013294;0.098281;0.098280;0.24;41;51
0.01;3;1;0;8;1;0;4;102400;1;1;.001138;0.079581;.010582;.016419;.016419;0.24;47;306
1.35;225;1;0;8;1;0;5;1024;0;0;0.000129;NA;0.001777;0.003480;0.003479;0.00;4;44
0.01;3;1;0;8;1;0;5;1024;0;1;.000021;NA;.000367;.000795;.000795;0.02;4;185
1.35;226;1;0;8;1;0;5;1024;1;0;0.000019;0.001533;0.000279;0.002534;0.002533;0.01;4;33
0.01;3;1;0;8;1;0;5;1024;1;1;.000010;0.001831;.000103;.000215;.000215;0.01;3;94
