comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.83;230;1;0;1;8;1;0;1;4096;0;0;0.002388;NA;0.012613;0.015875;0.015874;0.03;5;60
0.02;3;1;0;1;8;1;0;1;4096;0;1;.000521;NA;.002004;.006354;.006354;0.06;5;196
0.01;3;1;0;1;8;1;0;1;4096;0;2;.000156;NA;.000738;.005629;.005629;0.14;5;257
2.81;230;1;0;1;8;1;0;1;40960;0;0;0.016137;NA;0.091610;0.132238;0.132236;0.16;23;72
0.01;3;1;0;1;8;1;0;1;40960;0;1;.004670;NA;.034444;.069072;.069072;0.48;23;311
0.02;3;1;0;1;8;1;0;1;40960;0;2;.001672;NA;.015689;.059712;.059712;1.31;23;447
2.83;231;1;0;1;8;1;0;1;409600;0;0;0.160795;NA;1.106359;1.448973;1.448971;1.67;202;79
0.02;3;1;0;1;8;1;0;1;409600;0;1;.037297;NA;.364556;.744250;.744250;5.06;202;294
0.02;3;1;0;1;8;1;0;1;409600;0;2;.017070;NA;.173261;.632606;.632606;13.46;202;468
2.78;231;1;0;1;8;1;0;2;4096;0;0;0.003199;NA;0.013984;0.021581;0.021580;0.03;5;63
