comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.98;243;1;1;8;1;0;1;4096;0;0;0.002383;NA;0.015862;0.018830;0.018829;0.04;9;75
2.95;244;1;1;8;1;0;2;4096;0;0;0.003225;NA;0.015979;0.020581;0.020580;0.04;9;95
2.91;243;1;1;8;1;0;3;4096;0;0;0.002110;NA;0.007718;0.016432;0.016431;0.03;8;85
2.92;242;1;1;8;1;0;4;4096;0;0;0.002103;NA;0.007728;0.015183;0.015182;0.03;8;85
2.94;242;1;1;8;1;0;5;4096;0;0;0.002107;NA;0.008058;0.014709;0.014708;0.03;8;81
2.87;241;1;1;8;1;0;6;4096;0;0;0.001099;NA;0.005217;0.006073;0.006072;0.02;8;123
3.04;243;1;1;64;1;0;1;4096;0;0;0.001920;NA;0.045896;0.062239;0.062238;0.09;23;77
3.03;243;1;1;64;1;0;2;4096;0;0;0.002192;NA;0.040937;0.079209;0.079208;0.10;23;59
2.97;242;1;1;64;1;0;3;4096;0;0;0.001983;NA;0.023112;0.075249;0.075248;0.09;17;49
2.98;242;1;1;64;1;0;4;4096;0;0;0.001990;NA;0.022837;0.065527;0.065526;0.08;17;55
2.98;243;1;1;64;1;0;5;4096;0;0;0.002045;NA;0.024076;0.075417;0.075416;0.10;19;50
2.96;242;1;1;64;1;0;6;4096;0;0;0.001012;NA;0.012163;0.024712;0.024710;0.04;15;82
