nodes;program;c.domain;adv.model;protocol;partysize;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;3;41.5201;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;3.5;54.9101;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;0;16.0322;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;0.5;21.4673;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;1;33.5292;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;1.5;55.7097;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;2;80.3812;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;2.5;104.462;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;3;149.498;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;3.5;194.455;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;0;9.11018;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;0.5;14.4323;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;1;21.9583;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;1.5;27.6001;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;2;43.6819;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;2.5;51.466;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;3;77.2273;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;3.5;100.103;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;0;1.19874;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;0.5;1.45715;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;1;4.09655;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;1.5;9.99696;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;2;16.6574;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;2.5;20.6807;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;3;33.1341;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;30;3.5;36.5749;NA;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;0;1.44581;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;0.5;3.36081;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;1;8.82305;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;1.5;20.1554;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;2;36.4258;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;2.5;44.8315;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;3;72.7235;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;30;3.5;87.3116;NA;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;0;4.37895;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;0.5;9.86456;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;1;14.4412;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;1.5;19.8883;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;2;26.8507;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;2.5;32.4883;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;3;42.4181;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;3.5;51.2139;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;0;3.17117;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;0.5;3.27036;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;1;5.12871;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;1.5;5.53489;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;2;8.36428;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;2.5;10.8461;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;3;16.838;NA;NA;148.705;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;30;3.5;18.9099;NA;NA;148.705;NA
