comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.42;225;1;64;1;0;4;512;0;0;0.000423;NA;0.002190;0.003786;0.003784;0.01;5;72
1.46;226;1;64;1;0;4;512;1;0;0.000384;0.001055;0.000749;0.002204;0.002203;0.01;5;72
1.40;224;1;64;1;0;4;1024;0;0;0.000794;NA;0.003401;0.005053;0.005052;0.01;6;75
1.43;226;1;64;1;0;4;1024;1;0;0.000734;0.002068;0.001066;0.003618;0.003617;0.01;7;84
1.42;226;1;64;1;0;4;1536;0;0;0.001167;NA;0.004162;0.007247;0.007246;0.02;8;70
1.42;226;1;64;1;0;4;1536;1;0;0.000420;0.001945;0.000708;0.004921;0.004920;0.02;9;61
1.43;225;1;64;1;0;4;2048;0;0;0.001243;NA;0.004950;0.010096;0.010095;0.02;9;62
1.44;227;1;64;1;0;4;2048;1;0;0.000786;0.003441;0.001464;0.005800;0.005799;0.02;10;57
1.43;225;1;64;1;0;4;2560;0;0;0.002160;NA;0.007516;0.010270;0.010269;0.02;11;81
1.42;226;1;64;1;0;4;2560;1;0;0.002002;0.004546;0.002090;0.007234;0.007234;0.03;12;66
1.42;226;1;64;1;0;4;3072;0;0;0.002458;NA;0.007439;0.011794;0.011793;0.02;12;80
1.46;226;1;64;1;0;4;3072;1;0;0.002421;0.006191;0.002412;0.008239;0.008238;0.03;14;75
1.41;225;1;64;1;0;4;3584;0;0;0.002866;NA;0.010341;0.013380;0.013380;0.02;14;89
1.43;227;1;64;1;0;4;3584;1;0;0.002699;0.007338;0.002791;0.009329;0.009329;0.03;15;80
1.42;226;1;64;1;0;4;4096;0;0;0.003298;NA;0.011285;0.015355;0.015354;0.03;15;87
1.44;226;1;64;1;0;4;4096;1;0;0.003074;0.007764;0.003042;0.009882;0.009882;0.03;17;78
1.42;224;1;64;1;0;4;4608;0;0;0.003716;NA;0.012256;0.016995;0.016995;0.04;17;72
1.44;225;1;64;1;0;4;4608;1;0;0.001670;0.004502;0.001829;0.011234;0.011234;0.04;19;59
1.40;226;1;64;1;0;4;5120;0;0;0.003986;NA;0.013099;0.019883;0.019882;0.04;18;74
1.45;226;1;64;1;0;4;5120;1;0;0.001458;0.004115;0.002124;0.011472;0.011471;0.04;21;57
1.43;226;1;64;1;0;4;5632;0;0;0.003045;NA;0.011110;0.018629;0.018628;0.04;20;65
1.43;228;1;64;1;0;4;5632;1;0;0.003691;0.009551;0.003872;0.013314;0.013314;0.04;23;77
1.42;225;1;64;1;0;4;6144;0;0;0.004654;NA;0.016497;0.021697;0.021696;0.04;21;86
1.45;226;1;64;1;0;4;6144;1;0;0.004117;0.011652;0.003254;0.015216;0.015215;0.05;24;70
1.42;225;1;64;1;0;4;6656;0;0;0.003797;NA;0.014415;0.019326;0.019326;0.04;23;76
1.42;226;1;64;1;0;4;6656;1;0;0.004736;0.011408;0.003890;0.016634;0.016633;0.06;26;70
1.43;225;1;64;1;0;4;7168;0;0;0.005250;NA;0.016670;0.025216;0.025216;0.05;24;80
