comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.88          231                1                  0    1        64        1         0         1         40960       0           0           0.019134     NA          0.322639          0.600632            0.600631           0.66                 142           56
0.02          3                  1                  0    1        64        1         0         1         40960       0           1           .004389      NA          .088154           .427019             .427019            2.96                 142           122
0.02          3                  1                  0    1        64        1         0         1         40960       0           2           .001712      NA          .038268           .424977             .424976            9.22                 142           151
2.88          230                1                  0    1        64        1         0         2         40960       0           0           0.022537     NA          0.267166          0.739657            0.739655           0.81                 143           40
0.02          3                  1                  0    1        64        1         0         2         40960       0           1           .005269      NA          .059149           .355009             .355009            2.39                 143           109
0.01          3                  1                  0    1        64        1         0         2         40960       0           2           .001840      NA          .026854           .362071             .362071            7.60                 143           135
2.83          230                1                  0    1        64        1         0         3         40960       0           0           0.015256     NA          0.142492          0.709886            0.709885           0.78                 83            25
0.02          3                  1                  0    1        64        1         0         3         40960       0           1           .003360      NA          .046431           .288432             .288432            2.05                 143           102
0.01          3                  1                  0    1        64        1         0         3         40960       0           2           .001147      NA          .025374           .269866             .269866            5.89                 142           161
2.83          229                1                  0    1        64        1         0         4         40960       0           0           0.014160     NA          0.129753          0.632633            0.632631           0.68                 83            25
0.02          3                  1                  0    1        64        1         0         4         40960       0           1           .003059      NA          .043133           .275899             .275898            1.85                 122           105
0.01          3                  1                  0    1        64        1         0         4         40960       0           2           .001051      NA          .023033           .258747             .258747            5.77                 122           151
2.83          230                1                  0    1        64        1         0         5         40960       0           0           0.015141     NA          0.155764          0.702054            0.702053           0.77                 103           27
0.02          3                  1                  0    1        64        1         0         5         40960       0           1           .003395      NA          .047169           .281548             .281548            2.06                 122           106
0.01          3                  1                  0    1        64        1         0         5         40960       0           2           .001093      NA          .024747           .273887             .273886            6.51                 123           143
2.80          228                1                  0    1        64        1         0         6         40960       0           0           0.007925     NA          0.090385          0.253055            0.253054           0.30                 63            45
0.02          3                  1                  0    1        64        1         0         6         40960       0           1           .000989      NA          .021813           .073422             .073422            0.53                 63            207
0.01          3                  1                  0    1        64        1         0         6         40960       0           2           .000328      NA          .011431           .072875             .072875            1.71                 67            277
2.90          233                1                  0    1        128       1         0         1         40960       0           0           0.016142     NA          0.594992          1.369132            1.369131           1.48                 321           47
0.02          3                  1                  0    1        128       1         0         1         40960       0           1           .003564      NA          .168097           .840481             .840481            5.76                 321           120
