comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.46;228;1;8;1;0;1;4096;0;0;0.002068;NA;0.015040;0.015546;0.015545;0.02;7;100
1.38;227;1;8;1;0;2;4096;0;0;0.002486;NA;0.013444;0.014819;0.014818;0.02;6;75
1.39;226;1;8;1;0;3;4096;0;0;0.000975;NA;0.007626;0.012297;0.012296;0.02;5;65
1.41;226;1;8;1;0;4;4096;0;0;0.000799;NA;0.008254;0.008845;0.008845;0.01;5;92
1.39;227;1;8;1;0;5;4096;0;0;0.000974;NA;0.009267;0.010562;0.010561;0.01;10;94
1.38;225;1;8;1;0;6;4096;0;0;0.000551;NA;0.003057;0.003303;0.003302;0.01;5;62
1.49;227;1;64;1;0;1;4096;0;0;0.003394;NA;0.019321;0.015912;0.015911;0.04;21;92
1.48;227;1;64;1;0;2;4096;0;0;0.004740;NA;0.017176;0.018966;0.018965;0.04;21;82
1.40;225;1;64;1;0;3;4096;0;0;0.003585;NA;0.011764;0.016605;0.016605;0.03;15;87
1.43;224;1;64;1;0;4;4096;0;0;0.003474;NA;0.010604;0.013745;0.013744;0.03;17;87
1.44;227;1;64;1;0;5;4096;0;0;0.003430;NA;0.013279;0.017552;0.017551;0.03;17;85
1.41;226;1;64;1;0;6;4096;0;0;0.001838;NA;0.005271;0.006258;0.006257;0.02;13;90
