comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.62          218                1                  3           128       1         0         1         4096        0           1           .000611      NA          .003451           .004467             .004467            1.62                 218           99
1.43          220                1                  3           128       1         0         1         8192        0           1           .001018      NA          .006835           .010319             .010319            1.43                 220           99
1.44          218                1                  3           128       1         0         1         12288       0           1           .001689      NA          .010672           .015665             .015665            1.44                 218           99
1.43          217                1                  3           128       1         0         1         16384       0           1           .002508      NA          .014459           .020605             .020605            1.43                 217           99
1.43          217                1                  3           128       1         0         1         20480       0           1           .003370      NA          .018587           .025841             .025840            1.43                 217           99
1.44          218                1                  3           128       1         0         1         24576       0           1           .004103      NA          .022268           .031498             .031498            1.44                 218           99
1.44          217                1                  3           128       1         0         1         28672       0           1           .004919      NA          .026835           .038920             .038919            1.44                 217           99
1.43          218                1                  3           128       1         0         1         32768       0           1           .005930      NA          .031521           .043030             .043030            1.43                 218           100
1.43          219                1                  3           128       1         0         1         36864       0           1           .006448      NA          .034583           .048100             .048100            1.43                 219           99
1.43          217                1                  3           128       1         0         1         40960       0           1           .007269      NA          .038522           .054727             .054727            1.43                 217           99
1.43          217                1                  3           128       1         0         1         45056       0           1           .008179      NA          .041926           .061776             .061775            1.43                 217           99
1.44          217                1                  3           128       1         0         1         49152       0           1           .008725      NA          .046736           .067183             .067182            1.44                 217           99
1.43          217                1                  3           128       1         0         1         53248       0           1           .009924      NA          .054344           .072696             .072696            1.43                 217           99
1.43          220                1                  3           128       1         0         1         57344       0           1           .010479      NA          .056963           .078939             .078939            1.43                 220           99
1.43          217                1                  3           128       1         0         1         61440       0           1           .011146      NA          .061034           .084312             .084312            1.43                 217           99
1.44          217                1                  3           128       1         0         1         65536       0           1           .011934      NA          .061948           .088921             .088921            1.44                 217           99
1.40          218                1                  3           128       1         0         2         4096        0           1           .000694      NA          .002845           .004947             .004946            1.40                 218           99
1.41          218                1                  3           128       1         0         2         8192        0           1           .001474      NA          .006380           .009411             .009411            1.41                 218           100
1.41          217                1                  3           128       1         0         2         12288       0           1           .002481      NA          .010074           .014800             .014800            1.41                 217           99
1.40          217                1                  3           128       1         0         2         16384       0           1           .003547      NA          .013131           .019664             .019664            1.40                 217           99
1.40          217                1                  3           128       1         0         2         20480       0           1           .004817      NA          .017325           .023739             .023739            1.40                 217           100
1.41          217                1                  3           128       1         0         2         24576       0           1           .005981      NA          .021423           .029597             .029597            1.41                 217           99
1.41          217                1                  3           128       1         0         2         28672       0           1           .006990      NA          .024776           .033145             .033144            1.41                 217           100
1.40          216                1                  3           128       1         0         2         32768       0           1           .008296      NA          .026548           .038121             .038121            1.40                 216           99
1.40          217                1                  3           128       1         0         2         36864       0           1           .009187      NA          .031488           .042781             .042781            1.40                 217           99
1.41          218                1                  3           128       1         0         2         40960       0           1           .010257      NA          .034143           .048028             .048028            1.41                 218           99
1.41          217                1                  3           128       1         0         2         45056       0           1           .011478      NA          .036503           .053653             .053653            1.41                 217           99
1.41          218                1                  3           128       1         0         2         49152       0           1           .012613      NA          .041131           .059772             .059772            1.41                 218           100
1.40          217                1                  3           128       1         0         2         53248       0           1           .013703      NA          .044325           .058053             .058053            1.40                 217           99
1.40          218                1                  3           128       1         0         2         57344       0           1           .014671      NA          .048896           .063873             .063872            1.40                 218           100
1.41          217                1                  3           128       1         0         2         61440       0           1           .015835      NA          .051456           .071688             .071688            1.41                 217           99
1.40          218                1                  3           128       1         0         2         65536       0           1           .017049      NA          .054237           .073352             .073352            1.40                 218           99
1.38          215                1                  3           128       1         0         3         4096        0           1           .000716      NA          .002495           .004186             .004185            1.38                 215           100
1.37          217                1                  3           128       1         0         3         8192        0           1           .001521      NA          .005004           .008244             .008244            1.37                 217           100
1.38          215                1                  3           128       1         0         3         12288       0           1           .002443      NA          .008065           .013036             .013036            1.38                 215           99
1.37          215                1                  3           128       1         0         3         16384       0           1           .003565      NA          .010663           .016219             .016219            1.37                 215           99
1.38          216                1                  3           128       1         0         3         20480       0           1           .004753      NA          .014036           .020707             .020707            1.38                 216           99
1.37          216                1                  3           128       1         0         3         24576       0           1           .005828      NA          .016965           .024653             .024652            1.37                 216           100
1.38          215                1                  3           128       1         0         3         28672       0           1           .006999      NA          .020012           .029607             .029606            1.38                 215           99
1.37          216                1                  3           128       1         0         3         32768       0           1           .008164      NA          .023731           .032459             .032459            1.37                 216           99
1.38          215                1                  3           128       1         0         3         36864       0           1           .009126      NA          .026167           .037720             .037720            1.38                 215           99
1.37          215                1                  3           128       1         0         3         40960       0           1           .010135      NA          .029238           .040985             .040984            1.37                 215           99
1.37          215                1                  3           128       1         0         3         45056       0           1           .011397      NA          .032954           .046981             .046981            1.37                 215           99
1.37          217                1                  3           128       1         0         3         49152       0           1           .012396      NA          .034246           .053433             .053433            1.37                 217           99
1.38          216                1                  3           128       1         0         3         53248       0           1           .013568      NA          .038510           .056997             .056997            1.38                 216           99
1.38          216                1                  3           128       1         0         3         57344       0           1           .014671      NA          .041104           .056680             .056680            1.38                 216           100
1.37          215                1                  3           128       1         0         3         61440       0           1           .015628      NA          .047323           .063591             .063591            1.37                 215           99
1.37          218                1                  3           128       1         0         3         65536       0           1           .016982      NA          .048017           .064950             .064950            1.37                 218           99
1.37          216                1                  3           128       1         0         4         4096        0           1           .000679      NA          .002097           .003710             .003710            1.37                 216           99
1.37          216                1                  3           128       1         0         4         8192        0           1           .001415      NA          .003904           .007092             .007092            1.37                 216           99
1.37          215                1                  3           128       1         0         4         12288       0           1           .002482      NA          .006469           .010388             .010388            1.37                 215           99
1.37          216                1                  3           128       1         0         4         16384       0           1           .003430      NA          .008702           .014928             .014928            1.37                 216           99
1.38          216                1                  3           128       1         0         4         20480       0           1           .004523      NA          .011835           .020295             .020295            1.38                 216           99
1.38          216                1                  3           128       1         0         4         24576       0           1           .005578      NA          .014666           .022798             .022798            1.38                 216           99
1.37          216                1                  3           128       1         0         4         28672       0           1           .006568      NA          .017073           .026999             .026999            1.37                 216           99
1.37          215                1                  3           128       1         0         4         32768       0           1           .007615      NA          .021020           .031644             .031643            1.37                 215           99
1.37          215                1                  3           128       1         0         4         36864       0           1           .008762      NA          .022327           .040665             .040665            1.37                 215           99
1.38          216                1                  3           128       1         0         4         40960       0           1           .009735      NA          .026207           .043846             .043846            1.38                 216           99
1.36          215                1                  3           128       1         0         4         45056       0           1           .010989      NA          .030545           .043469             .043468            1.36                 215           99
1.38          216                1                  3           128       1         0         4         49152       0           1           .011844      NA          .031615           .047583             .047582            1.38                 216           99
1.37          215                1                  3           128       1         0         4         53248       0           1           .012954      NA          .034415           .050741             .050740            1.37                 215           99
1.37          216                1                  3           128       1         0         4         57344       0           1           .013753      NA          .037327           .054392             .054392            1.37                 216           99
1.37          215                1                  3           128       1         0         4         61440       0           1           .015185      NA          .039437           .066136             .066136            1.37                 215           99
1.37          216                1                  3           128       1         0         4         65536       0           1           .016008      NA          .043116           .071388             .071388            1.37                 216           99
1.39          216                1                  3           128       1         0         5         4096        0           1           .000708      NA          .002249           .003990             .003990            1.39                 216           100
1.38          217                1                  3           128       1         0         5         8192        0           1           .001492      NA          .005233           .008627             .008627            1.38                 217           99
