comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.50          217                1                  0    14       512       0         1         0         1         0         0         409600      0           0           .008054      NA          .752514           .823780             .823780            1.010714             12703         1280
0.02          3                  1                  0    14       512       0         1         0         1         0         0         409600      0           1           .001083      NA          .087222           .197163             .197163            .557500              12708         3181
1.55          218                1                  0    14       512       0         1         0         1         20000     0         409600      0           0           .007951      NA          .806358           .768248             .768248            1.006428             12708         1379
0.01          3                  1                  0    14       512       0         1         0         1         20000     0         409600      0           1           .001143      NA          .091814           .192989             .192989            .559761              12708         3281
1.59          217                1                  0    14       512       0         1         0         1         40000     0         409600      0           0           .007491      NA          .837489           .789990             .789990            1.021428             12708         1420
0.02          3                  1                  0    14       512       0         1         0         1         40000     0         409600      0           1           .001200      NA          .096007           .211079             .211079            .567976              12708         3250
1.72          217                1                  0    14       512       0         1         0         1         60000     0         409600      0           0           .007544      NA          .823657           .793666             .793666            1.003571             12704         1398
0.02          3                  1                  0    14       512       0         1         0         1         60000     0         409600      0           1           .001076      NA          .084318           .181624             .181624            .542023              12704         3354
1.80          217                1                  0    14       512       0         1         0         1         80000     0         409600      0           0           .007618      NA          .810166           .772693             .772693            .982142              12705         1419
0.01          3                  1                  0    14       512       0         1         0         1         80000     0         409600      0           1           .001200      NA          .096737           .217480             .217480            .571190              12705         3193
1.74          218                1                  0    14       512       0         1         0         1         100000    0         409600      0           0           .007545      NA          .805482           .789293             .789293            1.018571             12704         1337
0.02          3                  1                  0    14       512       0         1         0         1         100000    0         409600      0           1           .001047      NA          .080154           .172233             .172233            .535595              12704         3319
1.61          217                1                  0    14       512       0         1         0         1         120000    0         409600      0           0           .007567      NA          .787830           .799460             .799460            1.019285             12704         1311
0.02          3                  1                  0    14       512       0         1         0         1         120000    0         409600      0           1           .001093      NA          .084150           .177738             .177738            .530714              12704         3354
1.79          217                1                  0    14       512       0         1         0         1         140000    0         409600      0           0           .007706      NA          .809999           .765221             .765221            .980000              12703         1397
0.02          3                  1                  0    14       512       0         1         0         1         140000    0         409600      0           1           .001065      NA          .084121           .178607             .178607            .536547              12703         3319
1.80          216                1                  0    14       512       0         1         0         1         160000    0         409600      0           0           .007590      NA          .804587           .781295             .781295            .977142              12704         1392
0.02          3                  1                  0    14       512       0         1         0         1         160000    0         409600      0           1           .001099      NA          .086664           .186545             .186545            .547023              12704         3249
2.12          217                1                  0    14       512       0         1         0         1         180000    0         409600      0           0           .007508      NA          .784155           .763056             .763056            .977857              12703         1358
0.02          3                  1                  0    14       512       0         1         0         1         180000    0         409600      0           1           .001069      NA          .086920           .189579             .189579            .548809              12703         3313
1.78          218                1                  0    14       512       0         1         0         1         200000    0         409600      0           0           .007502      NA          .797621           .766978             .766978            .996428              12704         1349
0.02          3                  1                  0    14       512       0         1         0         1         200000    0         409600      0           1           .001127      NA          .089296           .192716             .192716            .547500              12704         3245
1.73          216                1                  0    14       512       0         1         0         2         0         0         409600      0           0           .012382      NA          .656960           1.207903            1.207903           1.546428             12753         745
0.02          3                  1                  0    14       512       0         1         0         2         0         0         409600      0           1           .003491      NA          .041491           .089733             .089733            3.571428             12753         59
