nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;16;0.00177513;~3;0.000512;0.001152
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;36;0.00198532;~3;0.001152;0.002592
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;56;0.00158296;~3;0.001792;0.004032
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;76;0.00181053;~3;0.002432;0.005472
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;96;0.00209399;~3;0.003072;0.006912
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;100;0.00216948;~3;0.0032;0.0072
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;16;0.00150869;~2;0.000256;0.000768
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;36;0.00109181;~2;0.000576;0.001728
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;56;0.00124919;~2;0.000896;0.002688
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;76;0.00149922;~2;0.001216;0.003648
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;96;0.00148702;~2;0.001536;0.004608
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;100;0.0013545;~2;0.0016;0.0048
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;16;0.00139951;~2;0.000256;0.000768
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;36;0.00214689;~2;0.000576;0.001728
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;56;0.00129461;~2;0.000896;0.002688
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;76;0.00118505;~2;0.001216;0.003648
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;96;0.00171235;~2;0.001536;0.004608
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;100;0.00169356;~2;0.0016;0.0048
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;8832;112;16;0.012003;NA;0.009384;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;19872;112;36;0.0144346;NA;0.021044;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;30912;112;56;0.0170144;NA;0.032704;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;41952;112;76;0.0210039;NA;0.044364;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;52992;112;96;0.0261004;NA;0.056024;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;55200;112;100;0.0256318;NA;0.058356;NA
