comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preprocess_chrono(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.00;232;1;8;1;0;1;1024;0;1;;NA;.003682;.008264;.008263;3.00;232;100
3.01;233;1;8;1;0;1;8192;0;1;;NA;.021949;.069442;.069441;3.01;233;99
2.95;233;1;8;1;0;2;1024;0;1;;NA;.002545;.007415;.007414;2.95;233;99
2.96;233;1;8;1;0;2;8192;0;1;;NA;.019700;.062495;.062494;2.96;233;99
2.90;231;1;8;1;0;3;1024;0;1;;NA;.001878;.006467;.006466;2.90;231;99
2.89;230;1;8;1;0;3;8192;0;1;;NA;.013327;.049019;.049019;2.89;230;99
3.11;233;1;64;1;0;1;1024;0;1;;NA;.007885;.059046;.059045;3.11;233;100
3.11;234;1;64;1;0;1;8192;0;1;;NA;.074587;.476470;.476468;3.11;234;100
3.09;233;1;64;1;0;2;1024;0;1;;NA;.006197;.054783;.054782;3.09;233;99
3.08;232;1;64;1;0;2;8192;0;1;;NA;.070049;.434892;.434891;3.08;232;99
3.01;232;1;64;1;0;3;1024;0;1;;NA;.005070;.043763;.043762;3.01;232;99
2.99;232;1;64;1;0;3;8192;0;1;;NA;.050696;.340482;.340481;2.99;232;99
