9000	0.189708
8800	0.191328
8600	0.190561
8400	0.184454
8200	0.196044
8000	0.185426
7800	0.197386
7600	0.175648
7400	0.188421
7200	0.197132
7000	0.191700
6800	0.192004
6600	0.188700
6400	0.193492
6200	0.182180
6000	0.194361
5800	0.179200
5600	0.192713
5400	0.195555
5200	0.197536
5000	0.194164
4800	0.201793
4600	0.192983
4400	0.199076
4200	0.203123
4000	0.204396
3800	0.201529
3600	0.200300
3400	0.207258
3200	0.207897
3000	0.209389
2800	0.207468
2600	0.220045
2400	0.221303
2200	0.225573
2000	0.239274
1800	0.248412
1600	0.255970
1400	0.271229
1200	0.305985
1000	0.354850
800	0.418501
600	0.533121
400	0.764720
