nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;18.0246;NA;NA;71.267;NA;9.6e-05;6;15.7512;9.6e-05;6;18.0246;0.0023;83;1.46492;NA;NA;NA;71.2623;14072;14.1125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;63.6383;NA;NA;71.267;NA;9.6e-05;6;57.9438;9.6e-05;6;63.8498;0.0023;83;1.42896;NA;NA;NA;71.2623;14072;59.5706;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;6;152.159;NA;NA;71.267;NA;9.6e-05;6;137.531;9.6e-05;6;152.165;0.0023;83;10.5188;NA;NA;NA;71.2623;14072;139.465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;8;315.877;NA;NA;71.267;NA;9.6e-05;6;282.263;9.6e-05;6;316.086;0.0023;83;18.7857;NA;NA;NA;71.2623;14072;294.485;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;10;643.621;NA;NA;71.267;NA;9.6e-05;6;557.243;9.6e-05;6;643.621;0.0023;83;30.1303;NA;NA;NA;71.2623;14072;610.999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;30;0;16.2439;NA;NA;992.505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;82.5295;NA;NA;992.505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;259.877;NA;NA;992.505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;6;599.213;NA;NA;992.505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;8;1464.51;NA;NA;992.505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
