nodes;program;c.domain;adv.model;protocol;partysize;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;30;0;1.27413;NA;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;30;2;11.3055;NA;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;30;4;59.5548;NA;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;30;6;123.091;NA;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;30;8;238.795;NA;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;30;10;485.54;NA;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;30;0;2.63985;NA;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;30;2;43.984;NA;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;30;4;143.662;NA;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;30;6;343.878;NA;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;30;8;666.263;NA;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;30;10;1252.22;NA;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;0;4.12523;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;2;18.0246;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;4;63.6383;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;6;152.159;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;8;315.877;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;30;10;643.621;NA;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;0;16.2439;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;2;82.5295;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;4;259.877;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;6;599.213;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;8;1464.51;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;10;3473.66;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;0;9.13558;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;2;37.8635;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;4;107.554;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;6;269.766;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;8;609.604;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;10;1326.17;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;0;4.69324;NA;NA;303.03;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;shamir-bmr;3;30;2;29.9945;NA;NA;303.03;NA
