program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semidishonest;yao;2;118.85;2836;22;2048;2;0.319213;2.17;148;52;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;4;1.058;2.09;148;87;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;6;0.4789;2.32;148;50;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;8;1.15554;2.99;148;65;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;10;6.5075;8.55;148;82;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;12;19.3498;23.44;148;84;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;14;55.914;67.61;150;81;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;16;193.29;197.37;148;91;NA;4.12877;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;2048;18;130.066;133.17;148;96;NA;4.12877;NA
42;BINARY;semihonest;replicated-bin;3;118.85;2836;22;2048;2;0.127278;1.62;148;57;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;4;0.254438;2.16;148;43;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;6;0.573985;2.90;148;34;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;8;0.593076;5.67;148;24;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;10;2.22729;7.24;148;14;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;12;1.07778;11.41;150;12;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;14;2.50238;12.29;148;8;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;16;7.55081;18.02;148;6;NA;0.260152;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2048;18;5.65494;12.76;148;7;NA;0.260152;NA
