nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;10;0.0326805;NA;NA;0.003366;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;200;0.620816;NA;NA;0.066256;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;400;1.33481;NA;NA;0.132456;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;600;1.96436;NA;NA;0.198656;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;800;2.53456;NA;NA;0.264856;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;1000;3.12266;NA;NA;0.331088;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;1200;4.00348;NA;NA;0.397288;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;1400;4.23408;NA;NA;0.463504;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;1600;5.29941;NA;NA;0.529704;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;1800;5.25946;NA;NA;0.595904;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;240;2000;6.29944;NA;NA;0.66212;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;180;10;0.0354065;NA;NA;0.003366;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;180;200;0.665503;NA;NA;0.066256;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;180;400;1.55245;NA;NA;0.132456;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;180;600;1.84284;NA;NA;0.198656;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;180;800;2.46285;NA;NA;0.264856;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;3;180;1000;3.2776;NA;NA;0.331088;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;10;0.0359529;NA;NA;0.007164;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;200;0.689741;NA;NA;0.142064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;400;1.40473;NA;NA;0.284064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;600;2.01264;NA;NA;0.426064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;800;2.76399;NA;NA;0.568064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;1000;3.37213;NA;NA;0.710064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;1200;4.23891;NA;NA;0.852064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;1400;4.80956;NA;NA;0.994064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;1600;5.33407;NA;NA;1.13606;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;1800;6.21778;NA;NA;1.27806;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;240;2000;6.83112;NA;NA;1.42006;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;180;10;0.0352941;NA;NA;0.007164;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;180;200;0.692609;NA;NA;0.142064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;180;400;1.35599;NA;NA;0.284064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;180;600;2.10628;NA;NA;0.426064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;180;800;2.70986;NA;NA;0.568064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;3;3;180;1000;3.4663;NA;NA;0.710064;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;10;0.245464;NA;NA;3.58134;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;200;3.72983;NA;NA;66.3506;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;400;7.73139;NA;NA;132.373;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;600;11.5725;NA;NA;198.715;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;800;14.5261;NA;NA;264.738;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;1000;20.3326;NA;NA;330.76;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;1200;23.4301;NA;NA;397.103;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;1400;27.9104;NA;NA;463.445;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;1600;28.6288;NA;NA;529.467;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;1800;35.2508;NA;NA;595.49;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;240;2000;38.111;NA;NA;661.832;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;180;10;0.188965;NA;NA;3.58134;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;180;200;3.55623;NA;NA;66.3506;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;180;400;7.06474;NA;NA;132.373;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;180;600;11.4979;NA;NA;198.715;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;3;180;800;15.3333;NA;NA;264.738;NA
