nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;640;64;NA;NA;NA;2590;652;3;240;10;0.0326805;NA;NA;0.003366;NA;4.8e-05;3;0.0312341;4.8e-05;3;0.033214;NA;NA;NA;NA;NA;NA;0.003318;332;0.0304257;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;12800;64;NA;NA;NA;51800;13002;3;240;200;0.620816;NA;NA;0.066256;NA;4.8e-05;3;0.619738;4.8e-05;3;0.620814;NA;NA;NA;NA;NA;NA;0.066208;6602;0.607545;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;25600;64;NA;NA;NA;103600;26002;3;240;400;1.33481;NA;NA;0.132456;NA;4.8e-05;3;1.33378;4.8e-05;3;1.3344;NA;NA;NA;NA;NA;NA;0.132408;13202;1.30826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;38400;64;NA;NA;NA;155400;39002;3;240;600;1.96436;NA;NA;0.198656;NA;4.8e-05;3;1.96308;4.8e-05;3;1.9642;NA;NA;NA;NA;NA;NA;0.198608;19802;1.92433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;51200;64;NA;NA;NA;207200;52002;3;240;800;2.53456;NA;NA;0.264856;NA;4.8e-05;3;2.53298;4.8e-05;3;2.53456;NA;NA;NA;NA;NA;NA;0.264808;26402;2.48599;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;64000;64;NA;NA;NA;259000;65004;3;240;1000;3.12266;NA;NA;0.331088;NA;0.058576;7;3.11192;8e-05;5;3.1246;NA;NA;NA;NA;NA;NA;0.272512;33002;3.06192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;76800;64;NA;NA;NA;310800;78004;3;240;1200;4.00348;NA;NA;0.397288;NA;0.058576;7;3.9923;8e-05;5;4.00525;NA;NA;NA;NA;NA;NA;0.338712;39602;3.92043;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;89600;64;NA;NA;NA;362600;91005;3;240;1400;4.23408;NA;NA;0.463504;NA;0.08784;9;4.21792;9.6e-05;6;4.23754;NA;NA;NA;NA;NA;NA;0.375664;46202;4.15249;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;102400;64;NA;NA;NA;414400;104005;3;240;1600;5.29941;NA;NA;0.529704;NA;0.08784;9;5.2831;9.6e-05;6;5.3021;NA;NA;NA;NA;NA;NA;0.441864;52802;5.19155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;115200;64;NA;NA;NA;466200;117005;3;240;1800;5.25946;NA;NA;0.595904;NA;0.08784;9;5.24399;9.6e-05;6;5.26185;NA;NA;NA;NA;NA;NA;0.508064;59402;5.15169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;128000;64;NA;NA;NA;518000;130006;3;240;2000;6.29944;NA;NA;0.66212;NA;0.117104;11;6.27714;0.000112;7;6.30328;NA;NA;NA;NA;NA;NA;0.545016;66002;6.17347;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;640;64;NA;NA;NA;2590;652;3;180;10;0.0354065;NA;NA;0.003366;NA;4.8e-05;3;0.0344073;4.8e-05;3;0.0354483;NA;NA;NA;NA;NA;NA;0.003318;332;0.0333916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;12800;64;NA;NA;NA;51800;13002;3;180;200;0.665503;NA;NA;0.066256;NA;4.8e-05;3;0.664819;4.8e-05;3;0.665633;NA;NA;NA;NA;NA;NA;0.066208;6602;0.651255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
