nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0616708;NA;~254;1.44774;2.89742;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0681019;NA;~350;1.45082;2.90434;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.080297;NA;~404;1.45254;2.90822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.079841;NA;~462;1.4544;2.9124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0985729;NA;~524;1.45638;2.91686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0279479;NA;~243;0.007744;0.017424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0357341;NA;~339;0.010816;0.024336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.039546;NA;~393;0.012544;0.028224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0467212;NA;~451;0.0144;0.0324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0504817;NA;~513;0.016384;0.036864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0209052;NA;~484;0.003872;0.007744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0267776;NA;~676;0.005408;0.010816;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.0316802;NA;~784;0.006272;0.012544;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0363013;NA;~900;0.0072;0.0144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0414956;NA;~1024;0.008192;0.016384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0124783;NA;~122;0.001936;0.005808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0154263;NA;~170;0.002704;0.008112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.0199971;NA;~197;0.003136;0.009408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0245839;NA;~226;0.0036;0.0108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0275595;NA;~257;0.004096;0.012288;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;7744;7744;7744;NA;NA;71148;21176;4;2.2;90;11;2.17002;NA;NA;24.0554;NA;2.27867;19844;0.158573;2.27867;19844;2.86164;NA;NA;NA;3.2e-05;1;2.16499;NA;NA;NA;NA;NA;NA;0.008542;6;0.00917956;21.7682;4;3.8962;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;10816;10816;10816;NA;NA;99372;29576;4;2.2;90;13;2.83511;NA;NA;24.9594;NA;3.18261;27716;0.219844;3.18261;27716;4.06469;NA;NA;NA;3.2e-05;1;2.83041;NA;NA;NA;NA;NA;NA;0.008542;6;0.0124008;21.7682;4;5.13323;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;12544;12544;12544;NA;NA;115248;34301;4;2.2;90;14;3.00781;NA;NA;25.4678;NA;3.69107;32144;0.251553;3.69107;32144;4.42176;NA;NA;NA;3.2e-05;1;3.0027;NA;NA;NA;NA;NA;NA;0.008542;6;0.0136495;21.7682;4;5.49707;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;14400;14400;14400;NA;NA;132300;39376;4;2.2;90;15;3.39942;NA;NA;26.014;NA;4.2372;36900;0.311858;4.2372;36900;5.22955;NA;NA;NA;3.2e-05;1;3.39444;NA;NA;NA;NA;NA;NA;0.008542;6;0.0148261;21.7682;4;6.36948;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;16384;16384;16384;NA;NA;150528;44801;4;2.2;90;16;3.95375;NA;NA;26.5978;NA;4.82099;41984;0.34127;4.82099;41984;6.19226;NA;NA;NA;3.2e-05;1;3.94878;NA;NA;NA;NA;NA;NA;0.008542;6;0.0163326;21.7682;4;7.44133;NA;NA;NA;NA;NA;NA;NA;NA;NA
