comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.75          217                1                  128       1         0         1         7000             8192        0           1           .001212      NA          .012683           .081355             .081355            1.75                 217           100
2.01          218                1                  128       1         0         1         7000             65536       0           1           .016178      NA          .094593           .298131             .298131            2.01                 218           99
1.94          218                1                  128       1         0         1         6000             4096        0           1           .000598      NA          .006584           .061124             .061124            1.94                 218           99
1.78          218                1                  128       1         0         1         6000             8192        0           1           .001146      NA          .012900           .070409             .070408            1.78                 218           99
1.71          218                1                  128       1         0         1         6000             65536       0           1           .012477      NA          .094690           .281224             .281224            1.71                 218           99
1.92          217                1                  128       1         0         1         5000             4096        0           1           .000616      NA          .007625           .032934             .032933            1.92                 217           99
1.90          218                1                  128       1         0         1         5000             8192        0           1           .001073      NA          .013433           .078264             .078263            1.90                 218           99
1.96          217                1                  128       1         0         1         5000             65536       0           1           .012342      NA          .095724           .315153             .315153            1.96                 217           99
1.58          218                1                  128       1         0         1         4000             4096        0           1           .000563      NA          .005133           .069987             .069987            1.58                 218           99
1.56          218                1                  128       1         0         1         4000             8192        0           1           .002307      NA          .013217           .099937             .099937            1.56                 218           99
1.56          218                1                  128       1         0         1         4000             65536       0           1           .012482      NA          .080549           .307771             .307771            1.56                 218           99
1.60          217                1                  128       1         0         1         3000             4096        0           1           .000677      NA          .007175           .091778             .091778            1.60                 217           99
1.57          218                1                  128       1         0         1         3000             8192        0           1           .001083      NA          .009208           .087380             .087380            1.57                 218           99
1.59          218                1                  128       1         0         1         3000             65536       0           1           .011231      NA          .078929           .356516             .356515            1.59                 218           99
1.56          217                1                  128       1         0         1         2000             4096        0           1           .000651      NA          .007321           .073290             .073290            1.56                 217           99
1.93          218                1                  128       1         0         1         2000             8192        0           1           .001141      NA          .010217           .135683             .135683            1.93                 218           99
1.57          218                1                  128       1         0         1         2000             65536       0           1           .012079      NA          .104405           .420915             .420915            1.57                 218           100
1.79          217                1                  128       1         0         1         1000             4096        0           1           .000598      NA          .005715           .122159             .122158            1.79                 217           100
1.72          219                1                  128       1         0         1         1000             8192        0           1           .001006      NA          .011209           .130310             .130310            1.72                 219           99
1.55          217                1                  128       1         0         1         1000             65536       0           1           .012242      NA          .115384           .716389             .716389            1.55                 217           99
1.58          222                1                  128       1         0         2         25000            4096        0           1           .000824      NA          .003426           .007396             .007395            1.58                 222           99
1.75          217                1                  128       1         0         2         25000            8192        0           1           .001634      NA          .007572           .026799             .026799            1.75                 217           100
1.83          216                1                  128       1         0         2         25000            65536       0           1           .018281      NA          .066545           .158163             .158162            1.83                 216           99
1.70          218                1                  128       1         0         2         24000            4096        0           1           .000799      NA          .003916           .012942             .012941            1.70                 218           99
1.73          218                1                  128       1         0         2         24000            8192        0           1           .001699      NA          .008990           .028043             .028042            1.73                 218           99
1.69          217                1                  128       1         0         2         24000            65536       0           1           .016641      NA          .068508           .175418             .175417            1.69                 217           99
1.55          216                1                  128       1         0         2         23000            4096        0           1           .000913      NA          .005357           .025641             .025641            1.55                 216           99
1.58          216                1                  128       1         0         2         23000            8192        0           1           .001914      NA          .009646           .023859             .023859            1.58                 216           100
1.56          218                1                  128       1         0         2         23000            65536       0           1           .019525      NA          .079830           .169831             .169831            1.56                 218           100
1.76          217                1                  128       1         0         2         22000            4096        0           1           .000908      NA          .004923           .021124             .021124            1.76                 217           100
1.55          216                1                  128       1         0         2         22000            8192        0           1           .001665      NA          .007778           .026777             .026777            1.55                 216           99
1.73          217                1                  128       1         0         2         22000            65536       0           1           .017600      NA          .066222           .159367             .159366            1.73                 217           99
1.44          218                1                  128       1         0         2         21000            4096        0           1           .000851      NA          .004391           .020904             .020904            1.44                 218           99
1.69          218                1                  128       1         0         2         21000            8192        0           1           .001609      NA          .007544           .026788             .026788            1.69                 218           100
1.52          216                1                  128       1         0         2         21000            65536       0           1           .017599      NA          .064624           .133639             .133639            1.52                 216           99
1.56          217                1                  128       1         0         2         20000            4096        0           1           .000778      NA          .003365           .011039             .011039            1.56                 217           99
1.73          216                1                  128       1         0         2         20000            8192        0           1           .001660      NA          .007877           .041881             .041880            1.73                 216           99
1.53          217                1                  128       1         0         2         20000            65536       0           1           .017472      NA          .065251           .150173             .150173            1.53                 217           100
1.61          218                1                  128       1         0         2         19000            4096        0           1           .000807      NA          .003605           .025906             .025906            1.61                 218           99
1.51          216                1                  128       1         0         2         19000            8192        0           1           .002217      NA          .009627           .028783             .028783            1.51                 216           99
1.75          218                1                  128       1         0         2         19000            65536       0           1           .021105      NA          .067109           .157753             .157753            1.75                 218           99
1.45          217                1                  128       1         0         2         18000            4096        0           1           .000834      NA          .003483           .023486             .023485            1.45                 217           100
1.70          216                1                  128       1         0         2         18000            8192        0           1           .001855      NA          .007945           .035090             .035090            1.70                 216           99
1.57          218                1                  128       1         0         2         18000            65536       0           1           .017125      NA          .065205           .159559             .159559            1.57                 218           100
1.59          216                1                  128       1         0         2         17000            4096        0           1           .000742      NA          .004035           .026014             .026014            1.59                 216           99
1.68          216                1                  128       1         0         2         17000            8192        0           1           .003986      NA          .008877           .030168             .030168            1.68                 216           99
1.57          216                1                  128       1         0         2         17000            65536       0           1           .017930      NA          .065037           .170356             .170356            1.57                 216           99
1.59          216                1                  128       1         0         2         16000            4096        0           1           .000836      NA          .005799           .026174             .026173            1.59                 216           99
1.71          216                1                  128       1         0         2         16000            8192        0           1           .001640      NA          .008260           .026448             .026448            1.71                 216           99
1.70          216                1                  128       1         0         2         16000            65536       0           1           .017440      NA          .068757           .167291             .167291            1.70                 216           100
1.52          217                1                  128       1         0         2         15000            4096        0           1           .000803      NA          .004537           .020093             .020093            1.52                 217           99
1.75          218                1                  128       1         0         2         15000            8192        0           1           .001671      NA          .008697           .037439             .037439            1.75                 218           99
1.53          217                1                  128       1         0         2         15000            65536       0           1           .017596      NA          .065142           .178435             .178435            1.53                 217           99
1.53          217                1                  128       1         0         2         14000            4096        0           1           .000872      NA          .003824           .022397             .022397            1.53                 217           100
1.73          216                1                  128       1         0         2         14000            8192        0           1           .002176      NA          .009102           .030574             .030573            1.73                 216           99
1.57          217                1                  128       1         0         2         14000            65536       0           1           .017526      NA          .063031           .168021             .168021            1.57                 217           99
1.86          216                1                  128       1         0         2         13000            4096        0           1           .000750      NA          .004306           .017590             .017590            1.86                 216           100
1.74          218                1                  128       1         0         2         13000            8192        0           1           .001635      NA          .007441           .032455             .032454            1.74                 218           100
1.53          218                1                  128       1         0         2         13000            65536       0           1           .018033      NA          .065823           .207172             .207172            1.53                 218           99
1.44          216                1                  128       1         0         2         12000            4096        0           1           .000781      NA          .004303           .026923             .026923            1.44                 216           99
1.70          217                1                  128       1         0         2         12000            8192        0           1           .001670      NA          .009033           .042159             .042159            1.70                 217           99
1.53          217                1                  128       1         0         2         12000            65536       0           1           .017905      NA          .076386           .191804             .191804            1.53                 217           99
1.56          218                1                  128       1         0         2         11000            4096        0           1           .000866      NA          .003947           .032577             .032577            1.56                 218           99
1.53          217                1                  128       1         0         2         11000            8192        0           1           .001540      NA          .010822           .038605             .038604            1.53                 217           99
1.52          217                1                  128       1         0         2         11000            65536       0           1           .017812      NA          .074975           .189264             .189264            1.52                 217           100
1.55          218                1                  128       1         0         2         10000            4096        0           1           .000839      NA          .004127           .026581             .026581            1.55                 218           99
1.55          218                1                  128       1         0         2         10000            8192        0           1           .001645      NA          .009701           .043198             .043198            1.55                 218           99
1.55          217                1                  128       1         0         2         10000            65536       0           1           .017263      NA          .069063           .197801             .197801            1.55                 217           99
1.54          217                1                  128       1         0         2         9000             4096        0           1           .000901      NA          .004819           .030114             .030114            1.54                 217           100
1.72          218                1                  128       1         0         2         9000             8192        0           1           .001431      NA          .008914           .044995             .044995            1.72                 218           99
1.69          217                1                  128       1         0         2         9000             65536       0           1           .017010      NA          .063553           .222385             .222385            1.69                 217           99
1.69          217                1                  128       1         0         2         8000             4096        0           1           .002043      NA          .005197           .035987             .035987            1.69                 217           99
1.58          218                1                  128       1         0         2         8000             8192        0           1           .001530      NA          .008794           .040813             .040813            1.58                 218           99
1.74          218                1                  128       1         0         2         8000             65536       0           1           .017151      NA          .064414           .221296             .221296            1.74                 218           99
1.63          217                1                  128       1         0         2         7000             4096        0           1           .000777      NA          .004277           .030901             .030901            1.63                 217           99
1.70          217                1                  128       1         0         2         7000             8192        0           1           .001652      NA          .009760           .033148             .033148            1.70                 217           100
1.53          216                1                  128       1         0         2         7000             65536       0           1           .018937      NA          .066442           .217387             .217387            1.53                 216           99
1.71          216                1                  128       1         0         2         6000             4096        0           1           .000870      NA          .006024           .021559             .021559            1.71                 216           99
1.71          217                1                  128       1         0         2         6000             8192        0           1           .001718      NA          .007986           .034639             .034639            1.71                 217           100
1.69          218                1                  128       1         0         2         6000             65536       0           1           .018055      NA          .070335           .211217             .211217            1.69                 218           99
1.71          218                1                  128       1         0         2         5000             4096        0           1           .000816      NA          .003959           .029707             .029707            1.71                 218           99
1.58          217                1                  128       1         0         2         5000             8192        0           1           .001565      NA          .009608           .049188             .049187            1.58                 217           99
1.53          218                1                  128       1         0         2         5000             65536       0           1           .018199      NA          .068702           .233395             .233395            1.53                 218           100
1.71          218                1                  128       1         0         2         4000             4096        0           1           .000870      NA          .004148           .029412             .029412            1.71                 218           100
1.73          218                1                  128       1         0         2         4000             8192        0           1           .001928      NA          .009045           .050596             .050596            1.73                 218           99
1.75          217                1                  128       1         0         2         4000             65536       0           1           .017855      NA          .071094           .227471             .227471            1.75                 217           99
1.53          218                1                  128       1         0         2         3000             4096        0           1           .000853      NA          .004992           .027724             .027724            1.53                 218           100
1.52          217                1                  128       1         0         2         3000             8192        0           1           .001767      NA          .008311           .050239             .050239            1.52                 217           99
1.53          217                1                  128       1         0         2         3000             65536       0           1           .017223      NA          .063744           .252404             .252404            1.53                 217           99
1.71          217                1                  128       1         0         2         2000             4096        0           1           .000797      NA          .007559           .053189             .053189            1.71                 217           99
1.44          217                1                  128       1         0         2         2000             8192        0           1           .001675      NA          .008682           .072280             .072280            1.44                 217           100
1.46          218                1                  128       1         0         2         2000             65536       0           1           .017552      NA          .086112           .364268             .364268            1.46                 218           99
1.72          217                1                  128       1         0         2         1000             4096        0           1           .000836      NA          .004691           .051107             .051107            1.72                 217           99
1.62          216                1                  128       1         0         2         1000             8192        0           1           .001728      NA          .008408           .072245             .072245            1.62                 216           100
1.54          218                1                  128       1         0         2         1000             65536       0           1           .017160      NA          .092119           .528540             .528539            1.54                 218           99
1.58          215                1                  128       1         0         3         25000            4096        0           1           .000833      NA          .002636           .005753             .005752            1.58                 215           99
1.70          215                1                  128       1         0         3         25000            8192        0           1           .001725      NA          .008437           .021496             .021496            1.70                 215           99
1.65          215                1                  128       1         0         3         25000            65536       0           1           .018738      NA          .061506           .127612             .127612            1.65                 215           99
1.68          216                1                  128       1         0         3         24000            4096        0           1           .000822      NA          .002678           .011391             .011391            1.68                 216           99
1.60          215                1                  128       1         0         3         24000            8192        0           1           .001797      NA          .005485           .023969             .023969            1.60                 215           99
1.66          215                1                  128       1         0         3         24000            65536       0           1           .017317      NA          .055744           .144529             .144529            1.66                 215           100
1.71          215                1                  128       1         0         3         23000            4096        0           1           .000808      NA          .004640           .006141             .006140            1.71                 215           99
1.51          216                1                  128       1         0         3         23000            8192        0           1           .002860      NA          .007705           .024757             .024756            1.51                 216           99
1.49          215                1                  128       1         0         3         23000            65536       0           1           .017150      NA          .063559           .163441             .163441            1.49                 215           99
1.53          215                1                  128       1         0         3         22000            4096        0           1           .000887      NA          .003593           .012429             .012429            1.53                 215           100
1.46          215                1                  128       1         0         3         22000            8192        0           1           .001667      NA          .005947           .018230             .018230            1.46                 215           100
1.68          216                1                  128       1         0         3         22000            65536       0           1           .017700      NA          .059635           .125655             .125654            1.68                 216           100
1.52          216                1                  128       1         0         3         21000            4096        0           1           .000857      NA          .004957           .007700             .007700            1.52                 216           100
1.66          216                1                  128       1         0         3         21000            8192        0           1           .001520      NA          .006852           .017575             .017575            1.66                 216           100
1.48          216                1                  128       1         0         3         21000            65536       0           1           .016419      NA          .058301           .154191             .154190            1.48                 216           99
1.67          215                1                  128       1         0         3         20000            4096        0           1           .000807      NA          .004738           .006285             .006285            1.67                 215           100
1.70          216                1                  128       1         0         3         20000            8192        0           1           .001741      NA          .005952           .012335             .012335            1.70                 216           99
1.49          215                1                  128       1         0         3         20000            65536       0           1           .018714      NA          .063691           .137860             .137859            1.49                 215           99
1.51          215                1                  128       1         0         3         19000            4096        0           1           .000833      NA          .004443           .008177             .008177            1.51                 215           99
