program  c.domain  adv.model   protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir    3          0.18          30                 1                  4           0.0156151            0.09                 15            56         ~38           0.648352        1.62459
31       FIELD     semihonest  shamir    3          0.10          18                 1                  6           0.0167513            0.10                 16            52         ~54           0.652512        1.63685
31       FIELD     semihonest  shamir    3          0.11          18                 1                  8           0.0183356            0.10                 15            52         ~70           0.656672        1.6491
31       FIELD     semihonest  shamir    3          0.11          18                 1                  10          0.0195755            0.10                 15            57         ~86           0.660832        1.66136
31       FIELD     semihonest  shamir    3          0.10          18                 1                  12          0.0492454            0.12                 15            48         ~102          0.664992        1.67362
31       FIELD     semihonest  shamir    3          0.11          18                 1                  14          0.11399              0.22                 15            27         ~118          0.669152        1.68587
