program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       FIELD     semihonest     atlas     3          1.33          45                 +
1        20        0.00968932     0.10      17         54            ~16                0.017577                     0.047739
42       FIELD     semihonest     atlas     3          2.27          73                 +
1        40        0.00766579     0.11      16         64            ~16                0.021817                     0.055339
42       FIELD     semihonest     atlas     3          3.43          97                 +
1        60        0.00963309     0.11      17         59            ~16                0.026057                     0.062939
42       FIELD     semihonest     atlas     3          4.61          127                +
1        80        0.0164933      0.15      18         62            ~16                0.030297                     0.070539
42       FIELD     semihonest     atlas     3          5.79          154                +
2        100       0.0148324      0.15      18         62            ~16                0.034537                     0.078139
42       BINARY    semidishonest  yao       2          1.16          44                 +
1        20        0.0174207      0.04      11         67            NA                 0.040321                     NA
42       BINARY    semidishonest  yao       2          2.28          73                 +
1        40        0.0176898      0.06      12         79            NA                 0.080641                     NA
42       BINARY    semidishonest  yao       2          3.43          97                 +
1        60        0.0194247      0.07      13         72            NA                 0.120961                     NA
42       BINARY    semidishonest  yao       2          4.55          127                +
1        80        0.0210649      0.08      12         80            NA                 0.161281                     NA
42       BINARY    semidishonest  yao       2          5.79          154                +
2        100       0.0219025      0.09      15         73            NA                 0.201601                     NA
42       BINARY    semidishonest  yaoO      2          1.16          44                 +
1        20        0.00237622     0.04      11         76            NA                 0                            NA
42       BINARY    semidishonest  yaoO      2          2.28          73                 +
1        40        0.00330709     0.05      11         84            NA                 0                            NA
42       BINARY    semidishonest  yaoO      2          3.43          97                 +
1        60        0.00385763     0.06      12         85            NA                 0                            NA
42       BINARY    semidishonest  yaoO      2          4.55          127                +
1        80        0.00515866     0.08      14         88            NA                 0                            NA
42       BINARY    semidishonest  yaoO      2          5.79          154                +
2        100       0.00602791     0.09      15         89            NA                 0                            NA
