nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;901;5;30;9.70885;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;10;30;18.8235;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;15;30;27.9328;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;20;30;37.0872;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;25;30;46.2517;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;30;30;55.3838;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;35;30;64.5826;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;atlas;NA;NA;NA;40;30;73.7197;~1812;1.4976;3.0096
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;901;5;30;9.57523;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;10;30;18.5519;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;15;30;27.6052;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;20;30;36.6238;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;25;30;45.6384;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;30;30;54.6545;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;35;30;63.6702;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;shamir;NA;NA;NA;40;30;72.7076;~1801;0.0576;0.1296
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;901;5;30;4.84656;~901;0.0288;0.0864
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;NA;10;30;9.37857;~901;0.0288;0.0864
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;NA;15;30;13.8763;~901;0.0288;0.0864
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;NA;20;30;18.4125;~901;0.0288;0.0864
rapla,tapa,valga;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;NA;25;30;22.9381;~901;0.0288;0.0864
