comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    1        128       2         1         0         5         40960       0           1           .000051      NA          .001010           .001405             .001405            0.02                 6             231
2.71          228                1                  0    1        128       2         1         0         6         4096        0           0           0.000018     NA          0.000479          0.000177            0.000176           0.01                 3             33
0.02          3                  1                  0    1        128       2         1         0         6         4096        0           1           .000003      NA          .000063           .000024             .000024            0.01                 3             226
2.72          229                1                  0    1        128       2         1         0         6         8192        0           0           0.000018     NA          0.000861          0.000384            0.000383           0.00                 3             77
0.02          3                  1                  0    1        128       2         1         0         6         8192        0           1           .000004      NA          .000100           .000044             .000043            0.01                 3             218
2.71          229                1                  0    1        128       2         1         0         6         12288       0           0           0.000029     NA          0.001001          0.000473            0.000472           0.01                 3             66
0.02          3                  1                  0    1        128       2         1         0         6         12288       0           1           .000003      NA          .000115           .000054             .000054            0.01                 3             218
2.74          229                1                  0    1        128       2         1         0         6         16384       0           0           0.000016     NA          0.000799          0.000353            0.000352           0.00                 3             66
0.02          3                  1                  0    1        128       2         1         0         6         16384       0           1           .000003      NA          .000130           .000076             .000075            0.01                 4             250
2.71          228                1                  0    1        128       2         1         0         6         20480       0           0           0.000018     NA          0.001421          0.000706            0.000705           0.01                 3             43
0.02          3                  1                  0    1        128       2         1         0         6         20480       0           1           .000003      NA          .000152           .000101             .000101            0.01                 4             217
2.72          229                1                  0    1        128       2         1         0         6         24576       0           0           0.000019     NA          0.001750          0.000916            0.000914           0.00                 4             77
0.02          3                  1                  0    1        128       2         1         0         6         24576       0           1           .000002      NA          .000167           .000115             .000115            0.01                 4             253
2.73          228                1                  0    1        128       2         1         0         6         28672       0           0           0.000018     NA          0.001274          0.000828            0.000827           0.02                 4             31
0.02          3                  1                  0    1        128       2         1         0         6         28672       0           1           .000003      NA          .000184           .000126             .000126            0.01                 4             183
2.71          228                1                  0    1        128       2         1         0         6         32768       0           0           0.000019     NA          0.001315          0.000943            0.000942           0.01                 4             58
0.02          3                  1                  0    1        128       2         1         0         6         32768       0           1           .000003      NA          .000204           .000147             .000147            0.01                 7             278
2.71          228                1                  0    1        128       2         1         0         6         36864       0           0           0.000017     NA          0.001543          0.000916            0.000915           0.01                 4             63
0.02          3                  1                  0    1        128       2         1         0         6         36864       0           1           .000002      NA          .000211           .000155             .000155            0.02                 4             185
2.73          228                1                  0    1        128       2         1         0         6         40960       0           0           0.000018     NA          0.001588          0.001146            0.001145           0.02                 4             28
0.02          3                  1                  0    1        128       2         1         0         6         40960       0           1           .000003      NA          .000220           .000163             .000163            0.01                 4             238
