comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.55;217;1;128;1;0;1;4096;0;0;0.004425;NA;0.035390;0.029514;0.029513;0.05;35;109
1.77;217;1;128;1;0;1;4096;0;1;.000594;NA;.004222;.006682;.006681;1.77;217;99
1.66;217;1;128;1;0;1;8192;0;0;0.009098;NA;0.064587;0.056001;0.056000;0.09;67;109
1.75;221;1;128;1;0;1;8192;0;1;.001221;NA;.009932;.009377;.009377;1.75;221;100
1.75;217;1;128;1;0;1;12288;0;0;0.011183;NA;0.080977;0.077909;0.077908;0.13;99;100
1.70;219;1;128;1;0;1;12288;0;1;.001768;NA;.013699;.016832;.016832;1.70;219;99
1.55;218;1;128;1;0;1;16384;0;0;0.011968;NA;0.102099;0.087016;0.087015;0.16;130;96
1.57;217;1;128;1;0;1;16384;0;1;.002183;NA;.019184;.023045;.023044;1.57;217;99
1.76;217;1;128;1;0;1;20480;0;0;0.019127;NA;0.172997;0.133142;0.133141;0.23;162;112
1.55;218;1;128;1;0;1;20480;0;1;.003411;NA;.024744;.030471;.030470;1.55;218;99
1.75;217;1;128;1;0;1;24576;0;0;0.028431;NA;0.196582;0.158361;0.158360;0.27;194;113
1.76;217;1;128;1;0;1;24576;0;1;.004185;NA;.032349;.039295;.039295;1.76;217;99
1.56;217;1;128;1;0;1;28672;0;0;0.022251;NA;0.193144;0.174379;0.174379;0.29;226;104
1.57;218;1;128;1;0;1;28672;0;1;.004590;NA;.036070;.040045;.040044;1.57;218;99
1.66;217;1;128;1;0;1;32768;0;0;0.034353;NA;0.290915;0.221265;0.221264;0.38;257;113
1.59;218;1;128;1;0;1;32768;0;1;.005897;NA;.043187;.046773;.046773;1.59;218;99
1.66;218;1;128;1;0;1;36864;0;0;0.046410;NA;0.320079;0.245525;0.245524;0.42;289;117
1.82;217;1;128;1;0;1;36864;0;1;.006826;NA;.046419;.054571;.054571;1.82;217;99
1.57;218;1;128;1;0;1;40960;0;0;0.048892;NA;0.364850;0.288385;0.288384;0.48;321;115
1.55;217;1;128;1;0;1;40960;0;1;.007929;NA;.051283;.055539;.055539;1.55;217;99
