comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.33          213                1                  3           512       1         0         3         8              40960       0           0           0.095474     NA          0.236771          2.841664            2.841663           3.37                 961           21
1.33          214                1                  3           512       1         0         3         8              40960       0           1           .018549      NA          .063951           .474174             .474174            1.33                 214           100
1.32          213                1                  3           512       1         0         3         10             40960       0           0           0.095731     NA          0.240107          3.439376            3.439375           3.97                 961           18
1.33          214                1                  3           512       1         0         3         10             40960       0           1           .018536      NA          .063761           .579753             .579753            1.33                 214           99
1.33          214                1                  3           512       1         0         3         12             40960       0           0           0.095104     NA          0.240073          4.087922            4.087921           4.62                 961           16
1.33          218                1                  3           512       1         0         3         12             40960       0           1           .018610      NA          .064368           .682309             .682309            1.33                 218           99
1.32          213                1                  3           512       1         0         3         14             40960       0           0           0.094473     NA          0.244746          4.704762            4.704761           5.25                 962           14
1.33          214                1                  3           512       1         0         3         14             40960       0           1           .018370      NA          .063640           .784770             .784770            1.33                 214           99
1.33          213                1                  3           512       1         0         3         16             40960       0           0           0.095985     NA          0.246920          5.333468            5.333467           5.89                 963           12
1.34          213                1                  3           512       1         0         3         16             40960       0           1           .018463      NA          .064105           .882727             .882727            1.34                 213           99
1.32          213                1                  3           512       1         0         3         18             40960       0           0           0.095790     NA          0.246793          5.891056            5.891055           6.44                 961           11
1.32          213                1                  3           512       1         0         3         18             40960       0           1           .018383      NA          .063947           .993134             .993134            1.32                 213           99
1.33          214                1                  3           512       1         0         3         20             40960       0           0           0.095596     NA          0.245211          6.485231            6.485230           7.04                 961           10
1.33          214                1                  3           512       1         0         3         20             40960       0           1           .018378      NA          .063917           1.090514            1.090514           1.33                 214           99
1.32          212                1                  3           512       1         0         4         1              40960       0           0           0.088911     NA          0.254072          0.704601            0.704600           1.21                 958           62
1.33          214                1                  3           512       1         0         4         1              40960       0           1           .017998      NA          .055225           .128023             .128023            1.33                 214           99
1.32          214                1                  3           512       1         0         4         2              40960       0           0           0.089619     NA          0.256425          0.806162            0.806161           1.31                 958           57
1.32          213                1                  3           512       1         0         4         2              40960       0           1           .017992      NA          .054980           .140949             .140949            1.32                 213           99
1.32          214                1                  3           512       1         0         4         4              40960       0           0           0.090461     NA          0.258666          1.279559            1.279559           1.79                 958           42
1.33          213                1                  3           512       1         0         4         4              40960       0           1           .017842      NA          .053130           .221302             .221302            1.33                 213           100
1.32          212                1                  3           512       1         0         4         6              40960       0           0           0.090604     NA          0.255242          1.780305            1.780304           2.30                 958           32
1.32          214                1                  3           512       1         0         4         6              40960       0           1           .017941      NA          .051489           .305510             .305510            1.32                 214           99
1.32          213                1                  3           512       1         0         4         8              40960       0           0           0.089332     NA          0.254644          2.308622            2.308621           2.83                 958           26
1.32          213                1                  3           512       1         0         4         8              40960       0           1           .017893      NA          .051655           .389973             .389973            1.32                 213           100
1.33          212                1                  3           512       1         0         4         10             40960       0           0           0.089372     NA          0.252688          2.862991            2.862990           3.39                 958           22
1.31          213                1                  3           512       1         0         4         10             40960       0           1           .017890      NA          .051517           .473042             .473042            1.31                 213           99
1.33          212                1                  3           512       1         0         4         12             40960       0           0           0.091190     NA          0.265031          3.389328            3.389328           3.92                 958           19
1.31          213                1                  3           512       1         0         4         12             40960       0           1           .017851      NA          .051582           .559376             .559376            1.31                 213           99
1.32          213                1                  3           512       1         0         4         14             40960       0           0           0.089734     NA          0.259376          3.849826            3.849825           4.39                 958           17
1.33          214                1                  3           512       1         0         4         14             40960       0           1           .017932      NA          .051504           .645456             .645456            1.33                 214           99
