comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.33          213                1                  2.8         512       1         0         5         1              40960       0           0           0.095084     NA          0.336197          0.811713            0.811713           1.32                 1123          63
1.33          215                1                  2.8         512       1         0         5         1              40960       0           1           .018442      NA          .067420           .141838             .141838            1.33                 215           99
1.33          213                1                  2.8         512       1         0         5         2              40960       0           0           0.094246     NA          0.326365          0.926933            0.926932           1.44                 1121          57
1.34          214                1                  2.8         512       1         0         5         2              40960       0           1           .018395      NA          .067008           .165610             .165609            1.34                 214           99
1.33          214                1                  2.8         512       1         0         5         4              40960       0           0           0.094112     NA          0.322153          1.524450            1.524449           2.04                 1121          40
1.34          213                1                  2.8         512       1         0         5         4              40960       0           1           .018399      NA          .064467           .261687             .261687            1.34                 213           99
1.34          213                1                  2.8         512       1         0         5         6              40960       0           0           0.095315     NA          0.323548          2.137298            2.137297           2.66                 1121          30
1.33          214                1                  2.8         512       1         0         5         6              40960       0           1           .018447      NA          .064269           .364892             .364891            1.33                 214           100
1.34          215                1                  2.8         512       1         0         5         8              40960       0           0           0.095711     NA          0.325522          2.770302            2.770301           3.29                 1121          25
1.33          214                1                  2.8         512       1         0         5         8              40960       0           1           .018362      NA          .063467           .465244             .465244            1.33                 214           99
1.34          213                1                  2.8         512       1         0         5         10             40960       0           0           0.095852     NA          0.323046          3.419084            3.419083           3.96                 1121          20
1.33          215                1                  2.8         512       1         0         5         10             40960       0           1           .018374      NA          .063262           .570089             .570089            1.33                 215           99
1.34          213                1                  2.8         512       1         0         5         12             40960       0           0           0.095909     NA          0.332990          4.076032            4.076031           4.62                 1123          18
1.33          214                1                  2.8         512       1         0         5         12             40960       0           1           .018305      NA          .062670           .677076             .677076            1.33                 214           99
1.33          214                1                  2.8         512       1         0         5         14             40960       0           0           0.095380     NA          0.330711          4.657109            4.657108           5.20                 1121          16
1.34          214                1                  2.8         512       1         0         5         14             40960       0           1           .018286      NA          .063355           .780977             .780977            1.34                 214           100
1.34          213                1                  2.8         512       1         0         5         16             40960       0           0           0.094886     NA          0.335279          5.277117            5.277116           5.83                 1121          14
1.33          214                1                  2.8         512       1         0         5         16             40960       0           1           .018384      NA          .064108           .877809             .877809            1.33                 214           99
1.33          214                1                  2.8         512       1         0         5         18             40960       0           0           0.095539     NA          0.327104          5.862748            5.862747           6.42                 1121          12
1.34          213                1                  2.8         512       1         0         5         18             40960       0           1           .018298      NA          .063069           .979624             .979624            1.34                 213           99
1.33          214                1                  2.8         512       1         0         5         20             40960       0           0           0.094994     NA          0.335082          6.499677            6.499676           7.06                 1121          11
1.33          214                1                  2.8         512       1         0         5         20             40960       0           1           .018251      NA          .063518           1.080726            1.080725           1.33                 214           99
1.32          212                1                  2.8         512       1         0         6         1              40960       0           0           0.050329     NA          0.147040          0.358547            0.358547           0.82                 805           73
1.32          213                1                  2.8         512       1         0         6         1              40960       0           1           .010649      NA          .024141           .065463             .065463            1.32                 213           99
1.31          214                1                  2.8         512       1         0         6         2              40960       0           0           0.051037     NA          0.145935          0.424165            0.424165           0.89                 803           67
1.32          214                1                  2.8         512       1         0         6         2              40960       0           1           .010514      NA          .023989           .073783             .073783            1.32                 214           99
1.33          214                1                  2.8         512       1         0         6         4              40960       0           0           0.051003     NA          0.143387          0.661159            0.661158           1.13                 803           52
1.32          213                1                  2.8         512       1         0         6         4              40960       0           1           .010453      NA          .023895           .113472             .113472            1.32                 213           99
1.31          214                1                  2.8         512       1         0         6         6              40960       0           0           0.049854     NA          0.142423          0.895623            0.895622           1.37                 803           43
1.32          214                1                  2.8         512       1         0         6         6              40960       0           1           .010459      NA          .023947           .152261             .152261            1.32                 214           100
1.33          213                1                  2.8         512       1         0         6         8              40960       0           0           0.049802     NA          0.146092          1.138778            1.138777           1.61                 803           37
1.32          213                1                  2.8         512       1         0         6         8              40960       0           1           .010575      NA          .023767           .194369             .194369            1.32                 213           99
1.32          214                1                  2.8         512       1         0         6         10             40960       0           0           0.049544     NA          0.141077          1.415354            1.415353           1.90                 803           31
1.31          213                1                  2.8         512       1         0         6         10             40960       0           1           .010609      NA          .023503           .236674             .236674            1.31                 213           99
1.32          214                1                  2.8         512       1         0         6         12             40960       0           0           0.051070     NA          0.146768          1.617491            1.617490           2.10                 803           28
1.32          213                1                  2.8         512       1         0         6         12             40960       0           1           .010354      NA          .023712           .277006             .277005            1.32                 213           100
1.31          212                1                  2.8         512       1         0         6         14             40960       0           0           0.049590     NA          0.146158          1.915146            1.915145           2.41                 803           24
1.32          213                1                  2.8         512       1         0         6         14             40960       0           1           .010444      NA          .023901           .316586             .316586            1.32                 213           100
1.31          215                1                  2.8         512       1         0         6         16             40960       0           0           0.049895     NA          0.146717          2.192242            2.192241           2.69                 803           22
1.32          213                1                  2.8         512       1         0         6         16             40960       0           1           .010587      NA          .023820           .357587             .357587            1.32                 213           99
1.32          214                1                  2.8         512       1         0         6         18             40960       0           0           0.050435     NA          0.148447          2.411326            2.411325           2.92                 803           20
1.32          213                1                  2.8         512       1         0         6         18             40960       0           1           .010609      NA          .023950           .398930             .398930            1.32                 213           99
1.30          213                1                  2.8         512       1         0         6         20             40960       0           0           0.050341     NA          0.144704          2.617497            2.617496           3.13                 804           19
1.31          214                1                  2.8         512       1         0         6         20             40960       0           1           .010499      NA          .023753           .441934             .441934            1.31                 214           99
1.39          215                1                  2.6         512       1         0         1         1              40960       0           0           0.056277     NA          0.430483          0.510990            0.510989           0.97                 1273          91
1.38          215                1                  2.6         512       1         0         1         1              40960       0           1           .012113      NA          .095022           .118418             .118417            1.38                 215           99
1.38          217                1                  2.6         512       1         0         1         2              40960       0           0           0.056103     NA          0.428114          0.547216            0.547216           1.01                 1274          87
1.38          216                1                  2.6         512       1         0         1         2              40960       0           1           .012126      NA          .094987           .115801             .115801            1.38                 216           99
1.38          217                1                  2.6         512       1         0         1         4              40960       0           0           0.056775     NA          0.430789          0.807661            0.807660           1.28                 1273          69
1.37          215                1                  2.6         512       1         0         1         4              40960       0           1           .011761      NA          .091372           .146520             .146520            1.37                 215           99
1.38          216                1                  2.6         512       1         0         1         6              40960       0           0           0.056936     NA          0.430688          1.046266            1.046266           1.53                 1275          58
1.38          215                1                  2.6         512       1         0         1         6              40960       0           1           .011914      NA          .088875           .187594             .187594            1.38                 215           99
1.39          217                1                  2.6         512       1         0         1         8              40960       0           0           0.056088     NA          0.426808          1.341342            1.341341           1.82                 1274          48
1.39          215                1                  2.6         512       1         0         1         8              40960       0           1           .011743      NA          .085914           .232656             .232655            1.39                 215           99
1.38          216                1                  2.6         512       1         0         1         10             40960       0           0           0.055891     NA          0.426853          1.593044            1.593043           2.08                 1273          42
1.38          216                1                  2.6         512       1         0         1         10             40960       0           1           .011847      NA          .085331           .274987             .274987            1.38                 216           99
1.38          216                1                  2.6         512       1         0         1         12             40960       0           0           0.055905     NA          0.436497          1.847212            1.847212           2.34                 1273          38
1.38          216                1                  2.6         512       1         0         1         12             40960       0           1           .011728      NA          .084581           .318097             .318096            1.38                 216           99
1.38          215                1                  2.6         512       1         0         1         14             40960       0           0           0.056430     NA          0.434143          2.066361            2.066360           2.57                 1273          34
1.38          215                1                  2.6         512       1         0         1         14             40960       0           1           .011709      NA          .086332           .359792             .359791            1.38                 215           100
1.39          215                1                  2.6         512       1         0         1         16             40960       0           0           0.055918     NA          0.434627          2.364059            2.364058           2.87                 1274          31
1.38          215                1                  2.6         512       1         0         1         16             40960       0           1           .011804      NA          .084486           .405273             .405273            1.38                 215           100
1.37          216                1                  2.6         512       1         0         1         18             40960       0           0           0.056281     NA          0.434902          2.652309            2.652308           3.16                 1274          28
1.38          217                1                  2.6         512       1         0         1         18             40960       0           1           .011893      NA          .082808           .444090             .444090            1.38                 217           99
1.38          215                1                  2.6         512       1         0         1         20             40960       0           0           0.056509     NA          0.435058          2.915615            2.915614           3.43                 1273          26
1.39          216                1                  2.6         512       1         0         1         20             40960       0           1           .011833      NA          .083716           .490197             .490197            1.39                 216           100
1.35          215                1                  2.6         512       1         0         2         1              40960       0           0           0.101590     NA          0.432391          0.808709            0.808708           1.32                 1438          71
1.35          214                1                  2.6         512       1         0         2         1              40960       0           1           .017165      NA          .084327           .146608             .146608            1.35                 214           100
1.36          216                1                  2.6         512       1         0         2         2              40960       0           0           0.101112     NA          0.430145          0.878348            0.878347           1.39                 1438          67
1.35          214                1                  2.6         512       1         0         2         2              40960       0           1           .016996      NA          .085451           .159979             .159979            1.35                 214           100
1.36          215                1                  2.6         512       1         0         2         4              40960       0           0           0.101345     NA          0.426348          1.364874            1.364874           1.88                 1438          49
1.36          214                1                  2.6         512       1         0         2         4              40960       0           1           .016972      NA          .081763           .238988             .238988            1.36                 214           99
1.35          215                1                  2.6         512       1         0         2         6              40960       0           0           0.101488     NA          0.433054          1.862730            1.862730           2.39                 1438          39
1.35          214                1                  2.6         512       1         0         2         6              40960       0           1           .016951      NA          .079734           .320624             .320624            1.35                 214           99
1.36          214                1                  2.6         512       1         0         2         8              40960       0           0           0.100698     NA          0.422420          2.356967            2.356966           2.89                 1438          32
1.35          215                1                  2.6         512       1         0         2         8              40960       0           1           .016989      NA          .079060           .401309             .401309            1.35                 215           100
1.35          214                1                  2.6         512       1         0         2         10             40960       0           0           0.101082     NA          0.429530          2.862077            2.862076           3.39                 1438          27
1.35          215                1                  2.6         512       1         0         2         10             40960       0           1           .016851      NA          .078403           .481083             .481083            1.35                 215           99
1.35          214                1                  2.6         512       1         0         2         12             40960       0           0           0.101067     NA          0.442410          3.396340            3.396339           3.94                 1438          24
1.35          215                1                  2.6         512       1         0         2         12             40960       0           1           .016858      NA          .078638           .566383             .566383            1.35                 215           99
1.36          215                1                  2.6         512       1         0         2         14             40960       0           0           0.100494     NA          0.428512          3.854788            3.854787           4.41                 1438          21
1.35          214                1                  2.6         512       1         0         2         14             40960       0           1           .017031      NA          .078614           .650260             .650260            1.35                 214           99
1.35          219                1                  2.6         512       1         0         2         16             40960       0           0           0.100035     NA          0.430955          4.354321            4.354320           4.92                 1438          19
1.35          215                1                  2.6         512       1         0         2         16             40960       0           1           .016852      NA          .078071           .734416             .734416            1.35                 215           99
1.36          215                1                  2.6         512       1         0         2         18             40960       0           0           0.100006     NA          0.434461          4.904406            4.904405           5.48                 1438          17
1.35          215                1                  2.6         512       1         0         2         18             40960       0           1           .016927      NA          .078007           .819573             .819573            1.35                 215           99
1.35          215                1                  2.6         512       1         0         2         20             40960       0           0           0.100242     NA          0.433721          5.385695            5.385694           5.97                 1438          15
1.34          215                1                  2.6         512       1         0         2         20             40960       0           1           .016894      NA          .079546           .894320             .894320            1.34                 215           99
1.32          214                1                  2.6         512       1         0         3         1              40960       0           0           0.095834     NA          0.242842          0.863955            0.863955           1.37                 961           54
1.32          214                1                  2.6         512       1         0         3         1              40960       0           1           .018417      NA          .067676           .152189             .152189            1.32                 214           100
1.34          214                1                  2.6         512       1         0         3         2              40960       0           0           0.095123     NA          0.238279          0.980854            0.980853           1.49                 961           49
1.32          213                1                  2.6         512       1         0         3         2              40960       0           1           .018510      NA          .066329           .172204             .172204            1.32                 213           100
1.32          214                1                  2.6         512       1         0         3         4              40960       0           0           0.094838     NA          0.236099          1.593699            1.593698           2.11                 961           34
1.32          214                1                  2.6         512       1         0         3         4              40960       0           1           .018256      NA          .065102           .271145             .271145            1.32                 214           100
1.33          213                1                  2.6         512       1         0         3         6              40960       0           0           0.094514     NA          0.236436          2.198742            2.198742           2.72                 961           27
1.34          213                1                  2.6         512       1         0         3         6              40960       0           1           .018313      NA          .064402           .373077             .373077            1.34                 213           99
1.33          213                1                  2.6         512       1         0         3         8              40960       0           0           0.095656     NA          0.233199          2.823175            2.823174           3.35                 961           21
1.33          213                1                  2.6         512       1         0         3         8              40960       0           1           .018304      NA          .064369           .477791             .477790            1.33                 213           99
1.33          214                1                  2.6         512       1         0         3         10             40960       0           0           0.094306     NA          0.236382          3.435341            3.435340           3.97                 961           18
1.32          217                1                  2.6         512       1         0         3         10             40960       0           1           .018350      NA          .063741           .577558             .577558            1.32                 217           99
1.33          213                1                  2.6         512       1         0         3         12             40960       0           0           0.095810     NA          0.238030          4.113434            4.113433           4.65                 961           15
1.32          214                1                  2.6         512       1         0         3         12             40960       0           1           .018277      NA          .063685           .685888             .685887            1.32                 214           99
1.32          214                1                  2.6         512       1         0         3         14             40960       0           0           0.095933     NA          0.241946          4.721165            4.721164           5.27                 961           14
1.32          213                1                  2.6         512       1         0         3         14             40960       0           1           .018469      NA          .063653           .784997             .784997            1.32                 213           99
1.32          213                1                  2.6         512       1         0         3         16             40960       0           0           0.095261     NA          0.246099          5.319407            5.319407           5.87                 961           12
1.33          214                1                  2.6         512       1         0         3         16             40960       0           1           .018377      NA          .064187           .888613             .888613            1.33                 214           100
1.32          214                1                  2.6         512       1         0         3         18             40960       0           0           0.095980     NA          0.241186          5.952165            5.952164           6.51                 961           11
1.32          213                1                  2.6         512       1         0         3         18             40960       0           1           .018367      NA          .063816           .987917             .987917            1.32                 213           100
1.32          214                1                  2.6         512       1         0         3         20             40960       0           0           0.096017     NA          0.240606          6.493691            6.493690           7.05                 961           10
1.32          213                1                  2.6         512       1         0         3         20             40960       0           1           .018327      NA          .064139           1.088181            1.088181           1.32                 213           99
1.32          214                1                  2.6         512       1         0         4         1              40960       0           0           0.090632     NA          0.256270          0.728397            0.728397           1.23                 958           61
1.33          213                1                  2.6         512       1         0         4         1              40960       0           1           .017827      NA          .054623           .128084             .128084            1.33                 213           99
1.33          212                1                  2.6         512       1         0         4         2              40960       0           0           0.089368     NA          0.253614          0.796467            0.796466           1.30                 958           57
1.33          214                1                  2.6         512       1         0         4         2              40960       0           1           .017685      NA          .054839           .140731             .140731            1.33                 214           99
1.31          214                1                  2.6         512       1         0         4         4              40960       0           0           0.089608     NA          0.254787          1.284148            1.284148           1.80                 958           41
1.32          213                1                  2.6         512       1         0         4         4              40960       0           1           .017778      NA          .052924           .221138             .221138            1.32                 213           99
1.33          213                1                  2.6         512       1         0         4         6              40960       0           0           0.090054     NA          0.258794          1.787106            1.787105           2.30                 958           32
1.32          213                1                  2.6         512       1         0         4         6              40960       0           1           .017767      NA          .051944           .302524             .302524            1.32                 213           100
1.32          213                1                  2.6         512       1         0         4         8              40960       0           0           0.090298     NA          0.258533          2.291254            2.291253           2.81                 958           26
1.31          214                1                  2.6         512       1         0         4         8              40960       0           1           .017789      NA          .051682           .387759             .387759            1.31                 214           99
1.32          213                1                  2.6         512       1         0         4         10             40960       0           0           0.090962     NA          0.258433          2.830617            2.830616           3.36                 959           22
1.31          213                1                  2.6         512       1         0         4         10             40960       0           1           .017825      NA          .051305           .473947             .473946            1.31                 213           100
1.33          213                1                  2.6         512       1         0         4         12             40960       0           0           0.089302     NA          0.254554          3.371249            3.371248           3.90                 958           19
1.31          212                1                  2.6         512       1         0         4         12             40960       0           1           .017784      NA          .051420           .560785             .560785            1.31                 212           100
1.32          214                1                  2.6         512       1         0         4         14             40960       0           0           0.089965     NA          0.262804          3.878912            3.878911           4.42                 958           17
1.31          214                1                  2.6         512       1         0         4         14             40960       0           1           .017787      NA          .051362           .649358             .649357            1.31                 214           99
1.33          214                1                  2.6         512       1         0         4         16             40960       0           0           0.090158     NA          0.256974          4.409984            4.409984           4.96                 958           15
1.32          212                1                  2.6         512       1         0         4         16             40960       0           1           .017727      NA          .051131           .728062             .728062            1.32                 212           99
1.32          213                1                  2.6         512       1         0         4         18             40960       0           0           0.089579     NA          0.257327          4.759409            4.759408           5.31                 958           14
1.31          214                1                  2.6         512       1         0         4         18             40960       0           1           .017725      NA          .050966           .817498             .817498            1.31                 214           100
1.32          213                1                  2.6         512       1         0         4         20             40960       0           0           0.089944     NA          0.256791          5.369861            5.369861           5.93                 958           12
1.31          214                1                  2.6         512       1         0         4         20             40960       0           1           .017688      NA          .051648           .894986             .894986            1.31                 214           99
1.33          214                1                  2.6         512       1         0         5         1              40960       0           0           0.094383     NA          0.327938          0.807053            0.807052           1.31                 1121          63
1.33          214                1                  2.6         512       1         0         5         1              40960       0           1           .018288      NA          .067147           .141323             .141322            1.33                 214           99
1.34          214                1                  2.6         512       1         0         5         2              40960       0           0           0.094235     NA          0.324527          0.925851            0.925851           1.43                 1121          57
1.33          213                1                  2.6         512       1         0         5         2              40960       0           1           .018365      NA          .066774           .164689             .164689            1.33                 213           99
1.34          213                1                  2.6         512       1         0         5         4              40960       0           0           0.094080     NA          0.324022          1.508238            1.508237           2.02                 1121          40
1.34          214                1                  2.6         512       1         0         5         4              40960       0           1           .018340      NA          .064678           .261635             .261635            1.34                 214           99
1.33          215                1                  2.6         512       1         0         5         6              40960       0           0           0.095790     NA          0.327194          2.135644            2.135643           2.66                 1121          31
1.33          213                1                  2.6         512       1         0         5         6              40960       0           1           .018297      NA          .063655           .364139             .364139            1.33                 213           99
1.33          214                1                  2.6         512       1         0         5         8              40960       0           0           0.096471     NA          0.330480          2.751716            2.751715           3.28                 1121          25
1.33          214                1                  2.6         512       1         0         5         8              40960       0           1           .018306      NA          .063597           .466162             .466161            1.33                 214           99
1.34          213                1                  2.6         512       1         0         5         10             40960       0           0           0.094299     NA          0.322464          3.368285            3.368285           3.90                 1121          21
1.33          214                1                  2.6         512       1         0         5         10             40960       0           1           .018245      NA          .063865           .569157             .569157            1.33                 214           100
1.34          214                1                  2.6         512       1         0         5         12             40960       0           0           0.094522     NA          0.328149          4.069959            4.069958           4.61                 1121          18
1.34          215                1                  2.6         512       1         0         5         12             40960       0           1           .018335      NA          .063357           .671059             .671059            1.34                 215           99
1.33          216                1                  2.6         512       1         0         5         14             40960       0           0           0.096201     NA          0.331626          4.718778            4.718778           5.26                 1121          15
1.34          213                1                  2.6         512       1         0         5         14             40960       0           1           .018251      NA          .065846           .779085             .779085            1.34                 213           99
1.33          214                1                  2.6         512       1         0         5         16             40960       0           0           0.094752     NA          0.325066          5.274426            5.274425           5.82                 1121          14
1.33          213                1                  2.6         512       1         0         5         16             40960       0           1           .018280      NA          .063115           .877891             .877890            1.33                 213           99
1.33          213                1                  2.6         512       1         0         5         18             40960       0           0           0.095317     NA          0.326672          5.891216            5.891216           6.45                 1121          12
1.33          213                1                  2.6         512       1         0         5         18             40960       0           1           .018386      NA          .063483           .978398             .978398            1.33                 213           99
1.34          214                1                  2.6         512       1         0         5         20             40960       0           0           0.095247     NA          0.335405          6.471142            6.471142           7.03                 1121          11
1.34          214                1                  2.6         512       1         0         5         20             40960       0           1           .018272      NA          .063171           1.083276            1.083276           1.34                 214           99
1.31          214                1                  2.6         512       1         0         6         1              40960       0           0           0.049511     NA          0.142406          0.383044            0.383043           0.83                 803           71
1.33          212                1                  2.6         512       1         0         6         1              40960       0           1           .010450      NA          .023891           .066037             .066037            1.33                 212           99
1.32          214                1                  2.6         512       1         0         6         2              40960       0           0           0.049811     NA          0.142139          0.417239            0.417238           0.87                 803           67
1.31          213                1                  2.6         512       1         0         6         2              40960       0           1           .010536      NA          .023813           .073817             .073816            1.31                 213           99
1.32          214                1                  2.6         512       1         0         6         4              40960       0           0           0.050527     NA          0.145444          0.658342            0.658341           1.12                 803           53
1.32          214                1                  2.6         512       1         0         6         4              40960       0           1           .010649      NA          .023753           .113988             .113988            1.32                 214           99
1.32          213                1                  2.6         512       1         0         6         6              40960       0           0           0.050456     NA          0.141734          0.907012            0.907011           1.38                 803           43
1.33          213                1                  2.6         512       1         0         6         6              40960       0           1           .010621      NA          .023518           .153773             .153773            1.33                 213           99
1.32          212                1                  2.6         512       1         0         6         8              40960       0           0           0.049094     NA          0.140222          1.159025            1.159024           1.63                 803           36
1.31          214                1                  2.6         512       1         0         6         8              40960       0           1           .010550      NA          .023562           .195632             .195632            1.31                 214           99
