program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;FIELD;semihonest;replicated-field;3;0.78;32;NA;NA;NA;640;64;NA;NA;NA;630;19;10;0.00257602;0.08;14;46;~10;0.001294;0.002666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;23.18;559;NA;NA;NA;25600;64;NA;NA;NA;25200;409;400;0.0247978;0.27;31;82;~10;0.050824;0.101336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;46.67;1117;NA;NA;NA;51200;64;NA;NA;NA;50400;809;800;0.045517;0.44;48;87;~10;0.101624;0.202536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;70.02;1682;NA;NA;NA;76800;64;NA;NA;NA;75600;1209;1200;0.0703738;0.62;80;90;~10;0.152424;0.303736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;93.45;2205;NA;NA;NA;102400;64;NA;NA;NA;100800;1609;1600;0.0888395;0.77;84;91;~10;0.203224;0.404936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;117.22;2793;NA;NA;NA;128000;64;NA;NA;NA;126000;2009;2000;0.110278;0.90;95;92;~10;0.254024;0.506136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;138.90;3332;NA;NA;NA;153600;64;NA;NA;NA;151200;2409;2400;0.124705;1.10;152;92;~10;0.304824;0.607336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;163.84;3897;NA;NA;NA;179200;64;NA;NA;NA;176400;2809;2800;0.136978;1.24;153;93;~10;0.355624;0.708536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;187.35;4377;NA;NA;NA;204800;64;NA;NA;NA;201600;3209;3200;0.17192;1.43;153;93;~10;0.406424;0.809736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;FIELD;semihonest;replicated-field;3;205.16;4840;NA;NA;NA;230400;64;NA;NA;NA;226800;3609;3600;0.189149;1.60;163;91;~10;0.457224;0.910936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
