nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;190320;117120;14671;0;100;30;4.00701;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;90;30;4.07529;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;80;30;4.22666;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;70;30;4.4392;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;60;30;4.56554;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;50;30;4.91446;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;40;30;5.40982;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;30;30;6.27773;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;20;30;8.01229;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;0;10;30;14.2427;~14873;17.3375;52.1725
