program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;243.19;5594;56;1;4096;0.231233;2.78;294;96;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;4096;0.492079;3.16;294;89;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;4096;0.768407;3.66;296;81;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;4096;1.03215;4.05;294;76;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;40;4096;1.2922;4.48;294;71;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;50;4096;1.55365;4.97;294;67;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;4096;2.85546;7.07;294;55;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;150;4096;4.1571;9.22;294;49;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;4096;5.45931;11.38;294;45;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;250;4096;6.75884;13.53;294;42;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;4096;8.06005;15.69;294;40;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;350;4096;9.35293;17.83;294;38;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;4096;10.6572;19.97;294;37;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;450;4096;11.958;22.12;294;36;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;4096;13.2581;24.29;294;35;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;550;4096;14.56;26.43;294;35;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;600;4096;15.8584;28.57;294;34;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;650;4096;17.158;30.72;294;34;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;700;4096;18.4526;32.89;294;33;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;750;4096;19.7658;35.03;296;33;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;800;4096;21.0583;37.17;296;33;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;850;4096;22.3588;39.34;294;32;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;900;4096;23.6528;41.49;294;32;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;950;4096;24.9539;43.67;294;32;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1000;4096;26.2572;45.82;294;32;NA;0.520248;1.03652
