nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;640;640;640;NA;NA;30590;2781;2.3;10;0.110924;NA;NA;1.31998;NA;4.8e-05;3;0.109563;4.8e-05;3;0.110325;0.000116;5;0.000772108;NA;NA;NA;1.3197;1884;0.0886881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;1280;1280;1280;NA;NA;111980;9161;2.3;20;0.348496;NA;NA;2.62294;NA;4.8e-05;3;0.346493;4.8e-05;3;0.348699;0.000116;5;0.000728242;NA;NA;NA;2.62266;6564;0.312141;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;2.3;30;0.71589;NA;NA;4.7387;NA;4.8e-05;3;0.714183;4.8e-05;3;0.715408;0.000116;5;0.00102866;NA;NA;NA;4.73842;14044;0.656441;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;2560;2560;2560;NA;NA;427160;32721;2.3;40;1.17706;NA;NA;7.66726;NA;4.8e-05;3;1.17536;4.8e-05;3;1.17637;0.000116;5;0.000857945;NA;NA;NA;7.66698;24324;1.083;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;3200;3200;3200;NA;NA;660950;49901;2.3;50;1.79694;NA;NA;11.4086;NA;4.8e-05;3;1.79414;4.8e-05;3;1.79741;0.000116;5;0.00111746;NA;NA;NA;11.4083;37404;1.66311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;3840;3840;3840;NA;NA;945540;70681;2.3;60;2.60285;NA;NA;16.7925;NA;6.4e-05;4;0.764653;6.4e-05;4;2.6029;0.0002;8;0.00199151;NA;NA;NA;16.792;53287;2.4085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;4480;4480;4480;NA;NA;1280930;95061;2.3;70;3.55921;NA;NA;22.1595;NA;6.4e-05;4;1.70909;6.4e-05;4;3.5599;0.0002;8;0.00329159;NA;NA;NA;22.159;71967;3.29209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;5120;5120;5120;NA;NA;1667120;123041;2.3;80;4.48955;NA;NA;29.1689;NA;8e-05;5;0.925582;8e-05;5;4.48932;0.000284;11;0.00225947;NA;NA;NA;29.1683;93450;4.15388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;5760;5760;5760;NA;NA;2104110;154621;2.3;90;5.78596;NA;NA;36.9912;NA;9.6e-05;6;0.321319;9.6e-05;6;5.78554;0.000368;14;0.00306304;NA;NA;NA;36.9904;117733;5.36108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;6400;6400;6400;NA;NA;2591900;189801;2.3;100;7.05337;NA;NA;44.7966;NA;9.6e-05;6;1.61165;9.6e-05;6;7.05389;0.000368;14;0.00294987;NA;NA;NA;44.7957;144813;6.54151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
