nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;90;6.22713;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;100;7.77395;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;110;9.35488;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;120;10.8659;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;130;12.9961;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;140;14.8652;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;150;17.187;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;160;19.4317;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;170;22.1512;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;180;24.9076;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;190;27.5926;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;200;30.2828;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;10;0.121236;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;20;0.378193;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;30;0.76693;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;40;1.33863;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;50;2.05747;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;60;2.96211;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;70;3.88675;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;80;5.07331;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;90;6.35431;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;100;7.95464;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;110;9.61824;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;120;11.28;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;130;13.2425;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;140;15.4043;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;150;17.5001;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;160;19.8049;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;170;22.7862;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;180;25.2429;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;190;28.2412;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2;200;31.7819;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;10;0.134975;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;20;0.387288;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;30;0.766853;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;40;1.42382;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;50;2.10588;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;60;3.03122;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;70;3.94353;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;80;5.2689;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;90;6.64628;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;100;8.14486;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.9;110;10.2549;NA;NA;54.2445;NA
