nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;10;1.72837;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;100;7.22504;NA;~3428;853.872;2518.96
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;200;13.1255;NA;~6724;1576.47;4685.19
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;300;19.3474;NA;~10054;2344.23;6986.81
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;400;25.3648;NA;~13376;3111.93;9288.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;500;31.4771;NA;~16672;3834.53;11454.5
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;600;37.7078;NA;~20002;4602.29;13756.1
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;700;43.7902;NA;~23324;5369.99;16057.6
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;800;50.155;NA;~26654;6137.75;18359.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;900;55.9373;NA;~29950;6860.35;20525.5
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;800;1000;62.2246;NA;~33246;7582.95;22691.7
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;10;1.72376;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;100;7.24008;NA;~3428;853.872;2518.96
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;200;13.1194;NA;~6724;1576.47;4685.19
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;300;19.3407;NA;~10054;2344.23;6986.81
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;400;25.5704;NA;~13376;3111.93;9288.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;500;31.4725;NA;~16672;3834.53;11454.5
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;600;37.7509;NA;~20002;4602.29;13756.1
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;700;42.8355;NA;~23324;5369.99;16057.6
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;800;50.1424;NA;~26654;6137.75;18359.3
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;900;55.8361;NA;~29950;6860.35;20525.5
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;400;1000;61.9774;NA;~33246;7582.95;22691.7
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;320;10;1.71512;NA;~446;176.474;488.193
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;320;100;7.22673;NA;~3428;853.872;2518.96
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;320;200;13.1138;NA;~6724;1576.47;4685.19
valga,tapa,rapla;35_set_intersection;FIELD;maldishonest;mascot;3;8;2.6;320;300;19.3575;NA;~10054;2344.23;6986.81
