comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.56;216;1;128;1;0;4;4096;0;0;0.004250;NA;0.011863;0.031125;0.031125;0.06;27;58
1.54;215;1;128;1;0;4;4096;0;1;.000794;NA;.003699;.004902;.004901;1.54;215;99
1.54;216;1;128;1;0;4;4096;1;0;0.004786;0.011496;0.006577;0.017881;0.017880;0.06;31;75
1.58;217;1;128;1;0;4;4096;1;1;.000816;0.019884;.001751;.002600;.002600;1.58;217;99
1.72;216;1;128;1;0;4;8192;0;0;0.012474;NA;0.033854;0.055890;0.055889;0.10;51;78
1.51;216;1;128;1;0;4;8192;0;1;.001681;NA;.004704;.007122;.007122;1.51;216;99
1.74;217;1;128;1;0;4;8192;1;0;0.010045;0.023210;0.009901;0.039940;0.039939;0.12;59;67
1.54;216;1;128;1;0;4;8192;1;1;.001454;0.029365;.004799;.005401;.005401;1.54;216;100
1.65;215;1;128;1;0;4;12288;0;0;0.015627;NA;0.043181;0.082393;0.082392;0.15;75;70
1.70;215;1;128;1;0;4;12288;0;1;.002537;NA;.011371;.013538;.013538;1.70;215;100
1.59;217;1;128;1;0;4;12288;1;0;0.016994;0.036012;0.013989;0.039519;0.039518;0.16;87;78
1.53;217;1;128;1;0;4;12288;1;1;.002611;0.041140;.006637;.008280;.008280;1.53;217;99
1.48;215;1;128;1;0;4;16384;0;0;0.023856;NA;0.055198;0.100087;0.100086;0.18;99;75
1.72;215;1;128;1;0;4;16384;0;1;.003182;NA;.014728;.016325;.016325;1.72;215;99
1.74;215;1;128;1;0;4;16384;1;0;0.022667;0.047213;0.017783;0.048239;0.048238;0.20;115;81
1.67;216;1;128;1;0;4;16384;1;1;.003928;0.060663;.007619;.010104;.010104;1.67;216;99
1.56;216;1;128;1;0;4;20480;0;0;0.021592;NA;0.067729;0.119756;0.119755;0.22;123;66
1.65;215;1;128;1;0;4;20480;0;1;.004430;NA;.015432;.019689;.019689;1.65;215;99
1.44;216;1;128;1;0;4;20480;1;0;0.023535;0.052219;0.023119;0.085074;0.085073;0.28;143;68
1.55;216;1;128;1;0;4;20480;1;1;.004583;0.091702;.009299;.012478;.012478;1.55;216;100
1.60;215;1;128;1;0;4;24576;0;0;0.037549;NA;0.085388;0.157001;0.156999;0.28;147;74
1.71;215;1;128;1;0;4;24576;0;1;.005967;NA;.016593;.024888;.024888;1.71;215;99
1.56;216;1;128;1;0;4;24576;1;0;0.030547;0.067758;0.025024;0.088388;0.088387;0.31;171;74
1.73;216;1;128;1;0;4;24576;1;1;.005479;0.065858;.010823;.015125;.015125;1.73;216;99
1.53;215;1;128;1;0;4;28672;0;0;0.024892;NA;0.077707;0.160834;0.160833;0.31;171;59
1.65;215;1;128;1;0;4;28672;0;1;.006571;NA;.023896;.029602;.029601;1.65;215;100
1.76;217;1;128;1;0;4;28672;1;0;0.039394;0.079005;0.028321;0.096481;0.096479;0.37;198;75
1.71;220;1;128;1;0;4;28672;1;1;.007052;0.129402;.013276;.017033;.017033;1.71;220;100
1.69;215;1;128;1;0;4;32768;0;0;0.047405;NA;0.125363;0.189684;0.189683;0.35;194;81
1.41;215;1;128;1;0;4;32768;0;1;.008224;NA;.024330;.032605;.032605;1.41;215;99
1.60;216;1;128;1;0;4;32768;1;0;0.042758;0.100291;0.033809;0.132529;0.132527;0.46;226;70
