comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.93;231;1;1;1;512;0;0;0.000363;0.002830;0.003391;0.003390;0.00;5;100
2.95;230;1;1;1;1024;0;0;0.000550;0.003457;0.004860;0.004859;0.00;4;87
2.94;232;1;1;1;1536;0;0;0.000764;0.004197;0.007093;0.007093;0.01;4;62
2.94;232;1;1;1;2048;0;0;0.001029;0.005139;0.008401;0.008400;0.02;4;60
2.95;232;1;1;1;2560;0;0;0.002013;0.009629;0.011316;0.011315;0.01;6;88
2.93;232;1;1;1;3072;0;0;0.001586;0.007525;0.011174;0.011173;0.01;5;68
2.93;230;1;1;1;3584;0;0;0.001807;0.009112;0.013460;0.013459;0.02;5;70
2.94;232;1;1;1;4096;0;0;0.003191;0.013393;0.016834;0.016833;0.02;5;88
2.94;232;1;1;2;512;0;0;0.000530;0.003572;0.004911;0.004910;0.01;5;72
2.93;230;1;1;2;1024;0;0;0.000866;0.004192;0.007394;0.007393;0.01;4;63
2.94;230;1;1;2;1536;0;0;0.001856;0.007774;0.010052;0.010051;0.02;4;66
2.91;231;1;1;2;2048;0;0;0.001646;0.007376;0.011989;0.011988;0.02;4;61
2.91;231;1;1;2;2560;0;0;0.002091;0.009203;0.015363;0.015361;0.02;5;75
2.93;231;1;1;2;3072;0;0;0.003597;0.014499;0.020040;0.020038;0.03;5;75
2.91;231;1;1;2;3584;0;0;0.002933;0.012270;0.019460;0.019459;0.02;5;71
2.90;230;1;1;2;4096;0;0;0.004838;0.013792;0.023241;0.023240;0.04;7;67
2.85;230;1;1;3;512;0;0;0.000415;0.001687;0.003456;0.003455;0.00;5;87
2.85;229;1;1;3;1024;0;0;0.001007;0.002649;0.005571;0.005570;0.01;5;81
2.83;229;1;1;3;1536;0;0;0.001432;0.004114;0.007882;0.007881;0.01;4;64
2.82;229;1;1;3;2048;0;0;0.001873;0.004939;0.010460;0.010459;0.01;4;66
2.84;229;1;1;3;2560;0;0;0.002353;0.005996;0.011586;0.011585;0.02;4;65
2.82;229;1;1;3;3072;0;0;0.001883;0.004928;0.012692;0.012691;0.02;4;50
2.82;229;1;1;3;3584;0;0;0.002211;0.006298;0.014038;0.014037;0.02;4;57
2.84;229;1;1;3;4096;0;0;0.003815;0.009510;0.016313;0.016312;0.02;6;73
2.80;227;1;1;4;512;0;0;0.000231;0.001245;0.003182;0.003181;0.01;4;63
2.80;227;1;1;4;1024;0;0;0.000664;0.002514;0.005430;0.005429;0.01;7;83
2.80;228;1;1;4;1536;0;0;0.000956;0.002996;0.007611;0.007611;0.01;4;64
2.80;227;1;1;4;2048;0;0;0.001292;0.003927;0.009184;0.009183;0.01;4;62
2.81;227;1;1;4;2560;0;0;0.001647;0.004735;0.010509;0.010508;0.02;4;61
2.81;227;1;1;4;3072;0;0;0.001824;0.005253;0.011585;0.011584;0.02;4;62
2.80;228;1;1;4;3584;0;0;0.002314;0.006479;0.013750;0.013749;0.02;4;64
2.81;227;1;1;4;4096;0;0;0.002643;0.007199;0.015215;0.015213;0.03;5;60
2.84;229;1;1;5;512;0;0;0.000564;0.002185;0.003831;0.003830;0.00;3;88
2.83;228;1;1;5;1024;0;0;0.000605;0.002514;0.006103;0.006103;0.01;4;52
2.84;229;1;1;5;1536;0;0;0.001408;0.005395;0.008480;0.008479;0.02;4;61
2.84;228;1;1;5;2048;0;0;0.001921;0.007159;0.010832;0.010831;0.01;4;76
2.84;230;1;1;5;2560;0;0;0.001572;0.006711;0.012379;0.012378;0.01;4;70
2.84;230;1;1;5;3072;0;0;0.002816;0.010593;0.016338;0.016337;0.02;6;76
2.84;230;1;1;5;3584;0;0;0.003123;0.012035;0.018670;0.018669;0.03;5;67
2.84;230;1;1;5;4096;0;0;0.003750;0.013660;0.020820;0.020819;0.04;5;68
2.81;228;1;1;6;512;0;0;0.000195;0.001178;0.000816;0.000815;0.00;7;100
2.81;227;1;1;6;1024;0;0;0.000492;0.000965;0.001533;0.001532;0.00;4;85
2.83;231;1;1;6;1536;0;0;0.000753;0.001598;0.002337;0.002336;0.00;4;85
2.83;227;1;1;6;2048;0;0;0.000999;0.001588;0.002482;0.002481;0.01;4;70
2.82;227;1;1;6;2560;0;0;0.001147;0.002096;0.003767;0.003766;0.01;4;90
2.81;228;1;1;6;3072;0;0;0.000989;0.001830;0.003941;0.003940;0.00;4;87
2.81;228;1;1;6;3584;0;0;0.001134;0.001843;0.004458;0.004458;0.01;4;66
2.82;227;1;1;6;4096;0;0;0.001854;0.003077;0.005289;0.005288;0.01;6;85
2.99;232;1;8;1;512;0;0;0.000405;0.002543;0.003251;0.003250;0.00;5;100
2.99;234;1;8;1;1024;0;0;0.000838;0.004417;0.005127;0.005126;0.01;6;100
3.00;234;1;8;1;1536;0;0;0.001030;0.004624;0.006911;0.006910;0.01;6;75
2.99;233;1;8;1;2048;0;0;0.001624;0.007818;0.009460;0.009460;0.01;6;88
2.99;233;1;8;1;2560;0;0;0.001657;0.006742;0.010420;0.010419;0.02;5;71
2.99;234;1;8;1;3072;0;0;0.002341;0.010422;0.013032;0.013031;0.02;5;75
2.99;233;1;8;1;3584;0;0;0.002810;0.012899;0.015837;0.015836;0.02;5;87
3.01;233;1;8;1;4096;0;0;0.002514;0.009695;0.016034;0.016033;0.03;5;62
2.95;233;1;8;2;512;0;0;0.000519;0.002578;0.003950;0.003949;0.00;4;77
2.93;232;1;8;2;1024;0;0;0.001323;0.004676;0.006473;0.006472;0.01;8;83
2.92;233;1;8;2;1536;0;0;0.001821;0.006027;0.009520;0.009519;0.01;4;73
2.95;232;1;8;2;2048;0;0;0.002533;0.007899;0.011183;0.011182;0.01;5;77
2.94;233;1;8;2;2560;0;0;0.003083;0.009446;0.014177;0.014176;0.02;6;75
2.94;232;1;8;2;3072;0;0;0.002798;0.008209;0.014196;0.014195;0.03;5;60
2.95;231;1;8;2;3584;0;0;0.004204;0.012676;0.018750;0.018749;0.03;7;80
2.95;232;1;8;2;4096;0;0;0.004856;0.013810;0.021431;0.021430;0.03;6;74
2.87;231;1;8;3;512;0;0;0.000357;0.001348;0.003500;0.003499;0.00;4;83
2.87;230;1;8;3;1024;0;0;0.000973;0.002368;0.005928;0.005927;0.01;4;72
2.88;232;1;8;3;1536;0;0;0.001481;0.003353;0.007900;0.007900;0.01;5;71
2.88;231;1;8;3;2048;0;0;0.001948;0.004128;0.009221;0.009220;0.01;6;75
2.89;232;1;8;3;2560;0;0;0.002259;0.005297;0.012284;0.012283;0.02;6;59
2.89;230;1;8;3;3072;0;0;0.002401;0.005070;0.013812;0.013811;0.01;4;52
2.89;230;1;8;3;3584;0;0;0.003267;0.007449;0.015965;0.015964;0.02;5;68
2.88;231;1;8;3;4096;0;0;0.003776;0.007495;0.018151;0.018150;0.02;5;62
2.87;230;1;8;4;512;0;0;0.000249;0.001467;0.003240;0.003239;0.00;3;75
2.86;231;1;8;4;1024;0;0;0.000670;0.002492;0.005471;0.005470;0.01;5;57
2.87;231;1;8;4;1536;0;0;0.001014;0.003290;0.006781;0.006780;0.01;4;55
2.88;230;1;8;4;2048;0;0;0.001136;0.003070;0.008548;0.008547;0.01;4;61
2.86;230;1;8;4;2560;0;0;0.001633;0.005195;0.009484;0.009483;0.02;4;66
2.88;230;1;8;4;3072;0;0;0.001982;0.006173;0.011640;0.011639;0.02;6;75
2.88;231;1;8;4;3584;0;0;0.001925;0.005332;0.012206;0.012205;0.01;5;61
2.86;230;1;8;4;4096;0;0;0.002623;0.008159;0.014332;0.014331;0.02;5;72
2.89;230;1;8;5;512;0;0;0.000371;0.001678;0.003337;0.003336;0.00;4;87
2.92;232;1;8;5;1024;0;0;0.000947;0.002799;0.004846;0.004845;0.01;4;80
2.90;232;1;8;5;1536;0;0;0.001401;0.003963;0.006876;0.006875;0.01;4;63
2.89;230;1;8;5;2048;0;0;0.001812;0.005539;0.009511;0.009510;0.01;4;76
2.89;232;1;8;5;2560;0;0;0.002485;0.006199;0.011593;0.011592;0.02;5;65
2.89;232;1;8;5;3072;0;0;0.002301;0.005557;0.012098;0.012097;0.01;5;66
2.90;232;1;8;5;3584;0;0;0.003189;0.008516;0.015383;0.015381;0.03;5;70
2.89;230;1;8;5;4096;0;0;0.003901;0.009979;0.017172;0.017171;0.02;5;71
2.87;231;1;8;6;512;0;0;0.000211;0.000941;0.000972;0.000971;0.00;9;116
2.88;230;1;8;6;1024;0;0;0.000475;0.001424;0.001873;0.001872;0.00;4;100
2.89;231;1;8;6;1536;0;0;0.000590;0.001152;0.002639;0.002638;0.01;4;57
2.86;230;1;8;6;2048;0;0;0.000907;0.001789;0.003377;0.003376;0.01;4;81
2.86;229;1;8;6;2560;0;0;0.001296;0.002733;0.003791;0.003790;0.00;4;88
2.86;230;1;8;6;3072;0;0;0.001420;0.003134;0.004831;0.004830;0.01;4;68
2.88;230;1;8;6;3584;0;0;0.001388;0.002338;0.005233;0.005232;0.02;5;61
2.88;231;1;8;6;4096;0;0;0.001973;0.003678;0.005486;0.005485;0.01;5;72
3.11;234;1;64;1;512;0;0;0.000541;0.003961;0.008101;0.008100;0.01;5;68
3.09;232;1;64;1;1024;0;0;0.001157;0.007834;0.017444;0.017443;0.02;7;59
3.10;234;1;64;1;1536;0;0;0.001651;0.011603;0.022361;0.022360;0.03;11;72
3.09;233;1;64;1;2048;0;0;0.002119;0.014467;0.029644;0.029643;0.04;13;65
3.10;233;1;64;1;2560;0;0;0.002467;0.018384;0.038225;0.038224;0.05;13;61
3.10;234;1;64;1;3072;0;0;0.003095;0.022072;0.046226;0.046225;0.06;15;62
3.09;234;1;64;1;3584;0;0;0.002885;0.020691;0.045726;0.045725;0.06;17;58
3.09;233;1;64;1;4096;0;0;0.003275;0.026934;0.060205;0.060204;0.08;19;54
3.08;232;1;64;2;512;0;0;0.000853;0.003891;0.011017;0.011016;0.01;7;52
3.09;233;1;64;2;1024;0;0;0.002004;0.006632;0.019429;0.019428;0.03;8;53
3.07;233;1;64;2;1536;0;0;0.003007;0.009443;0.029072;0.029071;0.04;10;52
3.10;233;1;64;2;2048;0;0;0.003931;0.014452;0.038479;0.038478;0.05;16;56
3.08;232;1;64;2;2560;0;0;0.004099;0.014712;0.047753;0.047752;0.06;15;45
3.05;234;1;64;2;3072;0;0;0.004814;0.021735;0.056025;0.056024;0.07;18;50
3.08;232;1;64;2;3584;0;0;0.006256;0.024106;0.065129;0.065128;0.09;19;53
3.09;232;1;64;2;4096;0;0;0.007190;0.027395;0.079089;0.079088;0.10;21;50
2.98;231;1;64;3;512;0;0;0.000732;0.002142;0.010295;0.010294;0.01;5;46
2.99;231;1;64;3;1024;0;0;0.001396;0.003075;0.018707;0.018706;0.03;6;41
2.99;231;1;64;3;1536;0;0;0.002460;0.005835;0.027537;0.027536;0.04;8;43
3.00;231;1;64;3;2048;0;0;0.002887;0.006351;0.035209;0.035208;0.04;9;34
3.00;231;1;64;3;2560;0;0;0.004030;0.008894;0.044833;0.044832;0.06;11;41
2.99;230;1;64;3;3072;0;0;0.003859;0.008553;0.053285;0.053284;0.08;12;38
2.99;232;1;64;3;3584;0;0;0.005511;0.011739;0.061123;0.061122;0.08;14;39
2.99;232;1;64;3;4096;0;0;0.006158;0.013814;0.072171;0.072170;0.09;17;39
2.97;231;1;64;4;512;0;0;0.000559;0.001993;0.008999;0.008997;0.02;5;45
2.99;231;1;64;4;1024;0;0;0.001449;0.003394;0.016504;0.016503;0.02;6;48
2.96;230;1;64;4;1536;0;0;0.002212;0.005901;0.023429;0.023428;0.03;8;50
2.98;230;1;64;4;2048;0;0;0.002814;0.008306;0.031877;0.031876;0.05;9;49
2.97;231;1;64;4;2560;0;0;0.003376;0.009070;0.038978;0.038977;0.05;11;44
2.97;230;1;64;4;3072;0;0;0.003904;0.011189;0.046743;0.046742;0.06;14;46
2.96;231;1;64;4;3584;0;0;0.003979;0.010761;0.053538;0.053537;0.07;14;37
2.97;232;1;64;4;4096;0;0;0.005083;0.013821;0.060294;0.060293;0.08;17;43
2.99;231;1;64;5;512;0;0;0.000747;0.002763;0.010656;0.010655;0.01;5;47
3.00;232;1;64;5;1024;0;0;0.001693;0.004792;0.018648;0.018647;0.02;9;50
2.98;232;1;64;5;1536;0;0;0.002626;0.007488;0.026877;0.026876;0.04;10;52
3.00;232;1;64;5;2048;0;0;0.003286;0.008488;0.038305;0.038304;0.05;10;43
3.00;231;1;64;5;2560;0;0;0.004137;0.011809;0.044781;0.044779;0.06;12;46
3.00;232;1;64;5;3072;0;0;0.004567;0.012268;0.053418;0.053417;0.08;14;42
