program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       RING      semidishonest  semi2k              3          0.13          17                 1200        2.30146              2.41                 72            59         ~39522        30.331          88.2721
31       RING      semidishonest  semi2k              3          0.14          17                 1600        2.87688              2.97                 73            56         ~52322        31.1502         89.9105
31       RING      semidishonest  semi2k              3          0.14          17                 2000        3.43144              3.54                 73            57         ~65122        31.9694         91.5489
31       RING      semidishonest  semi2k              3          0.14          17                 2400        4.46841              4.57                 73            55         ~78479        45.6331         131.589
31       RING      semidishonest  semi2k              3          0.13          17                 2800        4.84462              4.95                 74            56         ~91279        46.4523         133.228
31       RING      semidishonest  semi2k              3          0.14          17                 3200        5.60094              5.71                 72            56         ~104636       60.1161         173.268
31       RING      semidishonest  semi2k              3          0.14          17                 3600        6.31065              6.41                 73            54         ~117436       60.9353         174.907
31       RING      semidishonest  semi2k              3          0.14          17                 4000        6.68673              6.79                 72            57         ~130236       61.7545         176.545
31       RING      semidishonest  semi2k              3          0.14          17                 4400        7.57683              7.68                 72            56         ~143593       75.4183         216.586
31       RING      semidishonest  semi2k              3          0.13          17                 4800        8.77788              8.88                 74            51         ~156393       76.2375         218.224
31       RING      semidishonest  semi2k              3          0.14          17                 5200        8.67744              8.78                 73            57         ~169750       89.9013         258.265
31       RING      semidishonest  semi2k              3          0.14          17                 5600        10.3642              10.47                73            50         ~182550       90.7205         259.903
31       RING      semidishonest  semi2k              3          0.14          17                 6000        10.3557              10.46                75            56         ~195350       91.5397         261.541
31       RING      semidishonest  semi2k              3          0.14          17                 6400        10.9599              11.07                73            57         ~208707       105.203         301.582
31       RING      semidishonest  semi2k              3          0.13          17                 6800        11.5159              11.61                73            58         ~221507       106.023         303.22
31       RING      semidishonest  semi2k              3          0.13          17                 7200        12.4614              12.57                72            57         ~234864       119.686         343.261
31       RING      semidishonest  semi2k              3          0.13          17                 7600        12.6685              12.78                72            57         ~247664       120.506         344.899
31       RING      semidishonest  semi2k              3          0.13          17                 8000        13.1083              13.23                72            55         ~260464       121.325         346.538
31       RING      semidishonest  semi2k              3          0.13          17                 8400        13.7995              13.90                73            57         ~273825       137.173         393.131
31       RING      semidishonest  semi2k              3          0.14          17                 8800        14.7087              14.81                72            55         ~286625       137.992         394.769
31       RING      semidishonest  semi2k              3          0.14          17                 9200        16.1439              16.25                72            55         ~299445       147.22          421.569
31       RING      semidishonest  semi2k              3          0.14          17                 9600        15.82                15.93                75            58         ~312782       152.475         436.448
31       RING      semidishonest  semi2k              3          0.13          17                 10000       16.4884              16.60                74            55         ~325582       153.294         438.087
31       RING      semidishonest  semi2k              3          0.13          17                 10400       17.5351              17.65                73            56         ~338939       166.958         478.127
31       RING      semidishonest  semi2k              3          0.14          17                 10800       17.651               17.75                73            56         ~351739       167.777         479.766
31       RING      semidishonest  semi2k              3          0.14          17                 11200       18.5946              18.70                74            57         ~364559       177.005         506.566
31       RING      semidishonest  semi2k              3          0.13          17                 11600       19.4705              19.58                73            55         ~377896       182.26          521.445
31       RING      semidishonest  semi2k              3          0.14          17                 12000       20.4145              20.52                73            53         ~390696       183.079         523.083
31       RING      semidishonest  semi2k              3          0.13          17                 12400       20.6389              20.75                72            58         ~404053       196.743         563.123
31       RING      semidishonest  semi2k              3          0.14          17                 12800       21.1108              21.23                73            58         ~416853       197.562         564.762
31       RING      semidishonest  semi2k              3          0.14          17                 13200       21.6057              21.72                72            58         ~429669       204.606         585.009
31       RING      semidishonest  semi2k              3          0.13          17                 13600       22.7589              22.87                73            56         ~443010       212.045         606.441
31       RING      semidishonest  semi2k              3          0.14          17                 14000       23.0377              23.15                72            57         ~455810       212.864         608.079
31       RING      semidishonest  semi2k              3          0.13          17                 14400       24.7198              24.84                73            56         ~469167       226.528         648.12
31       RING      semidishonest  semi2k              3          0.14          17                 14800       25.1126              25.23                73            53         ~481967       227.347         649.758
31       RING      semidishonest  semi2k              3          0.14          17                 15200       26.3157              26.42                76            54         ~494783       234.391         670.006
31       RING      semidishonest  semi2k              3          0.13          17                 15600       27.0854              27.20                75            56         ~508124       241.83          691.437
31       RING      semidishonest  semi2k              3          0.14          17                 16000       27.2548              27.37                75            55         ~520924       242.65          693.075
31       RING      semidishonest  semi2k              3          0.13          17                 16400       28.638               28.74                73            56         ~534281       256.313         733.116
31       RING      semidishonest  semi2k              3          0.14          17                 16800       28.8074              28.92                72            56         ~547081       257.133         734.754
31       RING      semidishonest  semi2k              3          0.13          17                 17200       28.6302              28.74                75            56         ~559897       264.176         755.002
31       RING      semidishonest  semi2k              3          0.13          17                 17600       30.0632              30.16                73            56         ~573242       273.8           782.986
31       RING      semidishonest  semi2k              3          0.14          17                 18000       30.3925              30.50                73            55         ~586042       274.619         784.624
31       RING      semidishonest  semi2k              3          0.14          17                 18400       30.9464              31.05                70            55         ~598862       283.847         811.424
31       RING      semidishonest  semi2k              3          0.13          17                 18800       31.2074              31.32                73            58         ~612199       289.102         826.303
31       RING      semidishonest  semi2k              3          0.14          17                 19200       31.3169              31.42                73            56         ~625015       296.146         846.551
31       RING      semidishonest  semi2k              3          0.14          17                 19600       33.5845              33.68                73            52         ~638356       303.585         867.982
31       RING      semidishonest  semi2k              3          0.13          17                 20000       32.7769              32.88                73            55         ~651156       304.404         869.621
31       RING      malhonest      sy-rep-ring         3          0.14          17                 10          0.238711             0.33                 55            78         ~326          3.64514         10.8052
31       RING      malhonest      sy-rep-ring         3          0.14          17                 400         0.603485             0.69                 55            93         ~3446         4.05464         12.0235
31       RING      malhonest      sy-rep-ring         3          0.14          17                 800         1.02272              1.12                 55            96         ~6646         4.47464         13.2731
31       RING      malhonest      sy-rep-ring         3          0.13          17                 1200        1.32283              1.42                 60            104        ~9846         4.89464         14.5227
