program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)        Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       FIELD     semihonest     replicated-field    3          0.17          18                 5600          1             NA            NA            NA            NA           582400        352800           NA               39203          5600        7.57445              7.66                 16            99         ~39321        21.504          64.4929          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 6000          1             NA            NA            NA            NA           624000        378000           NA               42003          6000        7.66486              7.75                 16            105        ~42129        23.04           68.9281          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 6400          1             NA            NA            NA            NA           665600        403200           NA               44803          6400        8.23881              8.32                 18            106        ~44937        24.576          73.3633          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 6800          1             NA            NA            NA            NA           707200        428400           NA               47603          6800        8.7094               8.81                 16            103        ~47745        25.952          77.7985          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 7200          1             NA            NA            NA            NA           748800        453600           NA               50403          7200        9.27847              9.37                 16            106        ~50553        27.488          82.2337          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 7600          1             NA            NA            NA            NA           790400        478800           NA               53203          7600        9.4342               9.52                 14            102        ~53363        29.184          87.4689          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 8000          1             NA            NA            NA            NA           832000        504000           NA               56003          8000        12.0647              12.15                18            88         ~56171        30.72           91.9041          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 8400          1             NA            NA            NA            NA           873600        529200           NA               58803          8400        10.9394              11.03                16            105        ~58979        32.256          96.3393          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 8800          1             NA            NA            NA            NA           915200        554400           NA               61603          8800        10.8996              10.99                16            108        ~61787        33.632          100.774          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.18          18                 9200          1             NA            NA            NA            NA           956800        579600           NA               64403          9200        12.0509              12.13                16            105        ~64595        35.168          105.21           NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
