comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.95;230;1;1;1;4096;0;0;0.003299;0.013515;0.016898;0.016897;0.02;5;85
2.93;231;1;1;2;4096;0;0;0.004824;0.017591;0.024587;0.024586;0.04;5;68
2.84;229;1;1;3;4096;0;0;0.004011;0.009406;0.016440;0.016439;0.02;5;76
2.82;228;1;1;4;4096;0;0;0.002863;0.007816;0.014058;0.014057;0.02;5;73
2.86;230;1;1;5;4096;0;0;0.003763;0.013472;0.019435;0.019434;0.02;5;79
2.83;228;1;1;6;4096;0;0;0.001338;0.002396;0.005636;0.005635;0.01;4;66
2.99;233;1;8;1;4096;0;0;0.003161;0.013466;0.017143;0.017142;0.03;5;78
2.96;232;1;8;2;4096;0;0;0.004979;0.013919;0.021243;0.021242;0.03;6;75
2.89;231;1;8;3;4096;0;0;0.002831;0.005473;0.017174;0.017173;0.03;5;46
2.89;230;1;8;4;4096;0;0;0.002639;0.007796;0.013568;0.013567;0.02;6;73
2.91;231;1;8;5;4096;0;0;0.003665;0.009827;0.015951;0.015950;0.02;5;76
2.87;230;1;8;6;4096;0;0;0.001932;0.004022;0.006185;0.006184;0.01;5;81
