comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;freqs(GHz);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.00;3;1;1;1.8;128;1;0;5;40960;0;1;.000775;NA;.046456;.054366;.054366;0.43;285;518
1.39;239;1;1;1.8;128;1;0;6;8192;0;0;0.000337;NA;0.027310;0.020797;0.020796;0.05;39;111
0.00;3;1;1;1.8;128;1;0;6;8192;0;1;.000038;NA;.002600;.003180;.003180;0.05;39;538
1.40;239;1;1;1.8;128;1;0;6;40960;0;0;0.001620;NA;0.121493;0.090354;0.090353;0.18;167;116
0.00;3;1;1;1.8;128;1;0;6;40960;0;1;.000181;NA;.012554;.015995;.015995;0.20;167;502
1.46;244;1;1;1.8;256;1;0;1;8192;0;0;0.002783;NA;0.129641;0.091768;0.091767;0.13;134;129
0.01;3;1;1;1.8;256;1;0;1;8192;0;1;.000443;NA;.025187;.016746;.016746;0.15;134;797
1.44;244;1;1;1.8;256;1;0;1;40960;0;0;0.013157;NA;0.615664;0.433267;0.433267;0.58;642;131
0.00;3;1;1;1.8;256;1;0;1;40960;0;1;.002206;NA;.111952;.077570;.077570;0.64;642;775
1.46;244;1;1;1.8;256;1;0;2;8192;0;0;0.002352;NA;0.108628;0.086791;0.086791;0.12;134;119
0.00;3;1;1;1.8;256;1;0;2;8192;0;1;.000605;NA;.016911;.015846;.015846;0.14;135;606
1.44;244;1;1;1.8;256;1;0;2;40960;0;0;0.012503;NA;0.502100;0.395217;0.395216;0.55;644;118
0.00;3;1;1;1.8;256;1;0;2;40960;0;1;.002657;NA;.080924;.074078;.074078;0.62;645;616
1.45;243;1;1;1.8;256;1;0;3;8192;0;0;0.000660;NA;0.074428;0.097324;0.097323;0.14;87;83
0.00;3;1;1;1.8;256;1;0;3;8192;0;1;.000147;NA;.014495;.017204;.017204;0.16;134;479
1.43;244;1;1;1.8;256;1;0;3;40960;0;0;0.003179;NA;0.331112;0.453146;0.453145;0.59;406;79
0.00;3;1;1;1.8;256;1;0;3;40960;0;1;.000729;NA;.069109;.077582;.077582;0.63;643;534
1.45;243;1;1;1.8;256;1;0;4;8192;0;0;0.000653;NA;0.069660;0.088169;0.088168;0.13;86;82
0.01;3;1;1;1.8;256;1;0;4;8192;0;1;.000135;NA;.013741;.016167;.016167;0.15;118;495
1.44;245;1;1;1.8;256;1;0;4;40960;0;0;0.003385;NA;0.325074;0.403783;0.403782;0.54;404;85
0.00;3;1;1;1.8;256;1;0;4;40960;0;1;.000658;NA;.061576;.070136;.070136;0.58;562;534
1.44;245;1;1;1.8;256;1;0;5;8192;0;0;0.000655;NA;0.074683;0.092567;0.092566;0.14;103;83
0.00;3;1;1;1.8;256;1;0;5;8192;0;1;.000148;NA;.015273;.016225;.016225;0.14;118;550
1.45;244;1;1;1.8;256;1;0;5;40960;0;0;0.003182;NA;0.350426;0.435158;0.435157;0.57;486;85
0.00;3;1;1;1.8;256;1;0;5;40960;0;1;.000723;NA;.067107;.074006;.074006;0.61;563;540
1.42;243;1;1;1.8;256;1;0;6;8192;0;0;0.000345;NA;0.048596;0.035941;0.035940;0.08;71;108
0.00;3;1;1;1.8;256;1;0;6;8192;0;1;.000038;NA;.004421;.005467;.005467;0.08;71;510
1.40;243;1;1;1.8;256;1;0;6;40960;0;0;0.001619;NA;0.231808;0.165127;0.165126;0.31;327;119
0.00;3;1;1;1.8;256;1;0;6;40960;0;1;.000181;NA;.022513;.027475;.027475;0.33;327;511
1.42;242;1;1;1.6;128;1;0;1;8192;0;0;0.002638;NA;0.082569;0.069797;0.069796;0.11;70;105
0.01;3;1;1;1.6;128;1;0;1;8192;0;1;.000439;NA;.015575;.011828;.011828;0.11;71;673
1.43;242;1;1;1.6;128;1;0;1;40960;0;0;0.014241;NA;0.375987;0.312500;0.312499;0.42;324;115
0.00;3;1;1;1.6;128;1;0;1;40960;0;1;.002226;NA;.073604;.056719;.056719;0.45;325;724
1.42;241;1;1;1.6;128;1;0;2;8192;0;0;0.002580;NA;0.077314;0.063762;0.063761;0.10;71;108
0.00;3;1;1;1.6;128;1;0;2;8192;0;1;.000482;NA;.011247;.011063;.011063;0.11;71;553
1.43;242;1;1;1.6;128;1;0;2;40960;0;0;0.012606;NA;0.356527;0.295134;0.295133;0.40;326;115
0.00;3;1;1;1.6;128;1;0;2;40960;0;1;.002190;NA;.053563;.051506;.051506;0.42;326;607
1.39;240;1;1;1.6;128;1;0;3;8192;0;0;0.000831;NA;0.057954;0.070489;0.070488;0.10;47;88
0.00;3;1;1;1.6;128;1;0;3;8192;0;1;.000156;NA;.009878;.011668;.011667;0.10;71;528
1.42;240;1;1;1.6;128;1;0;3;40960;0;0;0.004085;NA;0.273176;0.329785;0.329784;0.42;206;86
0.00;3;1;1;1.6;128;1;0;3;40960;0;1;.000775;NA;.045902;.055220;.055219;0.44;325;508
1.42;239;1;1;1.6;128;1;0;4;8192;0;0;0.000601;NA;0.056177;0.068655;0.068654;0.10;47;87
0.00;3;1;1;1.6;128;1;0;4;8192;0;1;.000151;NA;.009575;.011520;.011519;0.11;63;490
1.41;239;1;1;1.6;128;1;0;4;40960;0;0;0.002893;NA;0.254146;0.305839;0.305838;0.39;206;86
0.00;3;1;1;1.6;128;1;0;4;40960;0;1;.000744;NA;.044892;.053903;.053903;0.43;285;506
1.40;240;1;1;1.6;128;1;0;5;8192;0;0;0.000833;NA;0.058286;0.069111;0.069110;0.10;55;83
0.00;2;1;1;1.6;128;1;0;5;8192;0;1;.000157;NA;.009758;.011572;.011572;0.10;63;519
1.40;241;1;1;1.6;128;1;0;5;40960;0;0;0.004081;NA;0.270822;0.323119;0.323118;0.43;250;85
0.00;3;1;1;1.6;128;1;0;5;40960;0;1;.001065;NA;.045872;.055371;.055371;0.44;285;503
1.37;240;1;1;1.6;128;1;0;6;8192;0;0;0.000339;NA;0.024414;0.018097;0.018096;0.04;39;112
0.01;3;1;1;1.6;128;1;0;6;8192;0;1;.000038;NA;.002598;.003540;.003539;0.06;39;465
1.39;240;1;1;1.6;128;1;0;6;40960;0;0;0.001627;NA;0.127637;0.095481;0.095480;0.18;167;118
0.01;3;1;1;1.6;128;1;0;6;40960;0;1;.000182;NA;.011873;.015208;.015208;0.20;167;485
1.46;245;1;1;1.6;256;1;0;1;8192;0;0;0.002666;NA;0.138121;0.093947;0.093946;0.14;134;132
0.00;3;1;1;1.6;256;1;0;1;8192;0;1;.000486;NA;.024117;.016177;.016177;0.15;134;778
1.46;245;1;1;1.6;256;1;0;1;40960;0;0;0.013115;NA;0.618573;0.424681;0.424681;0.58;642;132
0.00;3;1;1;1.6;256;1;0;1;40960;0;1;.002211;NA;.109592;.078147;.078147;0.64;642;770
1.45;245;1;1;1.6;256;1;0;2;8192;0;0;0.002524;NA;0.106991;0.085393;0.085392;0.13;134;116
0.00;3;1;1;1.6;256;1;0;2;8192;0;1;.000581;NA;.017200;.015896;.015896;0.16;135;557
1.44;244;1;1;1.6;256;1;0;2;40960;0;0;0.012205;NA;0.543477;0.413526;0.413525;0.57;645;122
0.01;3;1;1;1.6;256;1;0;2;40960;0;1;.002688;NA;.080761;.074580;.074580;0.62;645;619
1.43;244;1;1;1.6;256;1;0;3;8192;0;0;0.000658;NA;0.073331;0.098093;0.098093;0.14;87;82
0.00;3;1;1;1.6;256;1;0;3;8192;0;1;.000162;NA;.015015;.016705;.016704;0.15;134;525
1.45;244;1;1;1.6;256;1;0;3;40960;0;0;0.003183;NA;0.338823;0.459805;0.459803;0.61;405;78
0.00;3;1;1;1.6;256;1;0;3;40960;0;1;.000725;NA;.068755;.077357;.077357;0.63;643;536
1.44;244;1;1;1.6;256;1;0;4;8192;0;0;0.000749;NA;0.068736;0.087566;0.087565;0.13;86;84
0.00;3;1;1;1.6;256;1;0;4;8192;0;1;.000134;NA;.013987;.015333;.015333;0.14;118;525
1.43;243;1;1;1.6;256;1;0;4;40960;0;0;0.003371;NA;0.315699;0.414429;0.414429;0.55;404;82
0.01;3;1;1;1.6;256;1;0;4;40960;0;1;.000663;NA;.062753;.071296;.071296;0.60;562;521
1.45;243;1;1;1.6;256;1;0;5;8192;0;0;0.000660;NA;0.074792;0.094585;0.094584;0.13;103;85
0.01;3;1;1;1.6;256;1;0;5;8192;0;1;.000148;NA;.014122;.016398;.016398;0.15;118;500
1.44;243;1;1;1.6;256;1;0;5;40960;0;0;0.003184;NA;0.346353;0.434940;0.434939;0.57;486;85
0.00;3;1;1;1.6;256;1;0;5;40960;0;1;.000724;NA;.068125;.074347;.074347;0.60;563;549
1.41;243;1;1;1.6;256;1;0;6;8192;0;0;0.000342;NA;0.039791;0.031479;0.031477;0.07;71;109
0.00;3;1;1;1.6;256;1;0;6;8192;0;1;.000038;NA;.004205;.006304;.006304;0.09;71;418
1.41;243;1;1;1.6;256;1;0;6;40960;0;0;0.001620;NA;0.220949;0.156932;0.156931;0.29;327;121
0.01;3;1;1;1.6;256;1;0;6;40960;0;1;.000180;NA;.022702;.026682;.026681;0.31;327;542
