program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;semidishonest;semi;3;NA;NA;NA;80;30;0.162527;0.27;13;58;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;85;30;0.163505;0.27;12;51;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;90;30;0.178613;0.28;13;54;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;95;30;0.15108;0.25;14;63;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;100;30;0.160704;0.26;14;49;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;0.72;30;1;10;30;0.274974;5.82;29;81;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;15;30;0.184536;4.14;30;96;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;20;30;0.154329;3.25;29;96;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;25;30;0.144304;2.58;29;95;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;30;30;0.146839;2.19;27;92;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;35;30;0.169441;1.94;26;94;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;40;30;0.166964;1.73;29;92;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;45;30;0.181947;1.59;31;91;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;50;30;0.165808;1.45;29;91;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;55;30;0.144473;1.32;26;92;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;60;30;0.186453;1.28;27;89;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;65;30;0.163155;1.17;28;90;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;70;30;0.171984;1.13;27;89;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;75;30;0.172066;1.08;30;90;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;80;30;0.177796;1.05;29;86;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;85;30;0.160869;0.98;28;86;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;90;30;0.159335;0.93;29;83;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;95;30;0.150035;0.88;30;89;~3600;0.0288;0.0576
32;FIELD;semidishonest;temi;3;NA;NA;NA;100;30;0.174718;0.88;29;88;~3600;0.0288;0.0576
