comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;2.28;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.00632476;0.07;14;71;NA;0.010161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.01016;7;0.00174566;NA;NA;NA;1e-06;1;0.000304645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.0167354;0.04;11;64;NA;0.040321;NA;0.040321;4;0.000237252;8e-06;1;0.00141689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.0174289;0.05;14;63;NA;0.060481;NA;0.060481;4;0.000351539;8e-06;1;0.00177467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;2.28;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.0187575;0.06;12;77;NA;0.080641;NA;0.080641;4;0.000310877;8e-06;1;0.00202716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.730294;0.80;82;109;NA;26.2869;NA;0.941068;26;0.00418507;0.941132;28;0.712229;0.000488;21;0.011187;6.4e-05;2;0.683952;NA;NA;NA;NA;NA;NA;0.008542;6;0.00556941;25.0102;64;0.799305;0.161792;1;0.696;0.323584;2;1.37406;0.00128;1;0.679633
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.731075;0.81;82;108;NA;26.2907;NA;0.943588;26;0.00445508;0.943652;28;0.713176;0.000488;21;0.0169656;6.4e-05;2;0.685795;NA;NA;NA;NA;NA;NA;0.008542;6;0.00647458;25.0102;64;0.808082;0.161792;1;0.697297;0.323584;2;1.37776;0.00192;1;0.680854
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;2.28;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.766748;0.85;83;108;NA;26.2945;NA;0.946108;26;0.00436154;0.946172;28;0.750657;0.000488;21;0.026205;6.4e-05;2;0.721536;NA;NA;NA;NA;NA;NA;0.008542;6;0.00141084;25.0102;64;0.863519;0.161792;1;0.732889;0.323584;2;1.44945;0.00256;1;0.716138
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.43419;0.50;198;152;NA;21.8171;NA;0.040336;14;0.000786161;0.040336;14;0.00476105;NA;NA;NA;3.2e-05;1;0.428102;NA;NA;NA;NA;NA;NA;0.008542;6;0.00128586;21.7682;4;0.494168;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.481156;0.55;201;145;NA;21.8373;NA;0.060496;14;0.000771297;0.060496;14;0.00543574;NA;NA;NA;3.2e-05;1;0.473836;NA;NA;NA;NA;NA;NA;0.008542;6;0.0018151;21.7682;4;0.581977;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;2.28;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.427308;0.51;198;151;NA;21.8574;NA;0.080656;14;0.000667901;0.080656;14;0.00660685;NA;NA;NA;3.2e-05;1;0.419302;NA;NA;NA;NA;NA;NA;0.008542;6;0.00283841;21.7682;4;0.475031;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.0357187;0.08;19;64;NA;0.851264;NA;4.8e-05;3;0.0328699;4.8e-05;3;0.0357285;0.000116;5;0.00359683;NA;NA;NA;0.850984;11;0.0159983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.0402582;0.10;17;71;NA;0.861984;NA;4.8e-05;3;0.0369879;4.8e-05;3;0.0398701;0.000116;5;0.00314471;NA;NA;NA;0.861704;11;0.0118225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;2.28;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.0396846;0.11;17;69;NA;0.872704;NA;4.8e-05;3;0.0364391;4.8e-05;3;0.0397393;0.000116;5;0.0051012;NA;NA;NA;0.872424;11;0.0125571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
