nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;512;10;0.821204;81;NA;26.2911;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;2552;50;1.69662;83;NA;52.2592;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;5102;100;2.63558;88;NA;78.239;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;7652;150;3.53749;90;NA;104.219;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;10202;200;4.49497;91;NA;130.522;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;12752;250;5.44117;93;NA;156.502;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;15302;300;6.32566;94;NA;182.482;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;17852;350;7.60452;93;NA;208.786;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;20402;400;8.3136;94;NA;234.765;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;22952;450;9.56764;96;NA;260.745;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;25502;500;10.2031;96;NA;287.049;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;NA;NA;512;10;0.064067;18;NA;0.871904;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;NA;NA;2552;50;0.195481;17;NA;1.04022;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;NA;NA;5102;100;0.833561;20;NA;1.25062;NA
ether,ethercash,ethergold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;NA;NA;7652;150;0.591257;22;NA;1.46102;NA
