program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          30.87         726                7                  512         0.0307762            0.36                 42            97         NA            0.06508         0.129768
42       BINARY    semihonest  replicated-bin  3          61.48         1433               14                 1024        0.0780115            0.72                 78            95         NA            0.130104        0.259304
42       BINARY    semihonest  replicated-bin  3          90.85         2081               21                 1536        0.0857368            1.00                 80            97         NA            0.195128        0.38884
42       BINARY    semihonest  replicated-bin  3          122.09        2797               28                 2048        0.0905194            1.34                 150           98         NA            0.260152        0.518376
42       BINARY    semihonest  replicated-bin  3          151.11        3517               35                 2560        0.127471             1.65                 151           98         NA            0.325176        0.647912
42       BINARY    semihonest  replicated-bin  3          183.89        4174               42                 3072        0.234542             2.06                 153           94         NA            0.3902          0.777448
42       BINARY    semihonest  replicated-bin  3          212.40        4779               49                 3584        0.160565             2.26                 166           98         NA            0.455224        0.906984
42       BINARY    semihonest  replicated-bin  3          241.21        5589               56                 4096        0.175218             2.66                 294           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          275.70        6199               62                 4608        0.24006              3.01                 298           97         NA            0.585272        1.16606
42       BINARY    semihonest  replicated-bin  3          304.93        7003               69                 5120        0.256825             3.30                 297           97         NA            0.650296        1.29559
42       BINARY    semihonest  replicated-bin  3          334.90        7649               76                 5632        0.280788             3.60                 302           97         NA            0.71532         1.42513
42       BINARY    semihonest  replicated-bin  3          367.16        8236               83                 6144        0.286072             3.91                 300           98         NA            0.780344        1.55466
42       BINARY    semihonest  replicated-bin  3          394.80        8843               90                 6656        0.304797             4.19                 306           98         NA            0.845368        1.6842
42       BINARY    semihonest  replicated-bin  3          412.38        9483               97                 7168        0.30699              4.48                 327           98         NA            0.910392        1.81374
42       BINARY    semihonest  replicated-bin  3          458.55        10091              104                7680        0.330603             5.11                 583           98         NA            0.975416        1.94327
42       BINARY    semihonest  replicated-bin  3          485.68        11134              111                8192        0.335885             5.29                 582           98         NA            1.04044         2.07281
