nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;NA;NA;30;3;41.5201;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;NA;NA;30;3.5;54.9101;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;244170;19141;30;0;16.0322;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;0.5;21.4673;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;1;33.5292;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;1.5;55.7097;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;2;80.3812;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;2.5;104.462;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;3;149.498;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;NA;NA;30;3.5;194.455;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;244170;19141;30;0;9.11018;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;0.5;14.4323;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;1;21.9583;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;1.5;27.6001;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;2;43.6819;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;2.5;51.466;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;3;77.2273;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;NA;NA;30;3.5;100.103;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;244170;19141;30;0;1.19874;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;0.5;1.45715;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;1;4.09655;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;1.5;9.99696;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;2;16.6574;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;2.5;20.6807;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;3;33.1341;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;30;3.5;36.5749;NA;0.246378;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;244170;19141;30;0;1.44581;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;0.5;3.36081;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;1;8.82305;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;1.5;20.1554;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;2;36.4258;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;2.5;44.8315;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;3;72.7235;NA;0.4941;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;NA;NA;NA;30;3.5;87.3116;NA;0.4941;NA
