nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;2484;847;8;3;3;0.0202021;11;NA;0.079767;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;9936;3385;8;3;6;0.0321603;12;NA;0.319068;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;22356;7615;8;3;9;0.0555217;13;NA;0.717903;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;39744;13537;8;3;12;0.0787889;15;NA;1.27627;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;62100;21151;8;3;15;0.123598;17;NA;1.99417;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;89424;30457;8;3;18;0.155462;19;NA;2.87161;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;121716;41455;8;3;21;0.226187;21;NA;3.90858;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;158976;54145;8;3;24;0.31313;29;NA;5.10509;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;201204;68527;8;3;27;0.3509;31;NA;6.46113;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;248400;84601;8;3;30;0.448934;37;NA;7.9767;NA
bitcoin,bitcoincash,bitcoingold;33_matrix_add_float;BINARY;semidishonest;yao;NA;300564;102367;8;3;33;0.539005;41;NA;9.65181;NA
