nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;2;0.00238648;NA;~9;0.000256;0.000576
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;9;0.0196617;NA;~163;0.005184;0.011664
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;16;0.0522845;NA;~513;0.016384;0.036864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;23;0.111711;NA;~1059;0.033856;0.076176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;30;0.159587;NA;~1801;0.0576;0.1296
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;37;0.331865;NA;~2739;0.087616;0.197136
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;44;0.480122;NA;~3873;0.123904;0.278784
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;51;0.591307;NA;~5203;0.166464;0.374544
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;58;0.750979;NA;~6729;0.215296;0.484416
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;65;0.821452;NA;~8451;0.2704;0.6084
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;72;1.06119;NA;~10369;0.331776;0.746496
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;79;1.58251;NA;~12483;0.399424;0.898704
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;86;1.25801;NA;~14793;0.473344;1.06502
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;3;92;1.74144;NA;~16929;0.541696;1.21882
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;2;0.0025682;NA;~9;0.000256;0.000576
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;9;0.0175521;NA;~163;0.005184;0.011664
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;16;0.0563714;NA;~513;0.016384;0.036864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;23;0.107754;NA;~1059;0.033856;0.076176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;30;0.174094;NA;~1801;0.0576;0.1296
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;37;0.297088;NA;~2739;0.087616;0.197136
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;44;0.337851;NA;~3873;0.123904;0.278784
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;51;0.592295;NA;~5203;0.166464;0.374544
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;58;0.66533;NA;~6729;0.215296;0.484416
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;8;2.2;65;0.968176;NA;~8451;0.2704;0.6084
