nodes;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;4;40;20;1.90721;20;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;4;80;10;0.23226;17;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;432;577;4;80;12;0.327009;18;~1166;1.67181;3.56851
todd,ned,rod;FIELD;semihonest;atlas;NA;588;785;4;80;14;0.413896;18;~1582;1.67846;3.58598
todd,ned,rod;FIELD;semihonest;atlas;NA;768;1025;4;80;16;0.540305;20;~2062;1.68614;3.60614
todd,ned,rod;FIELD;semihonest;atlas;NA;972;1297;4;80;18;0.762184;17;~2606;1.69485;3.62899
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;4;80;20;0.958684;19;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;6;40;10;0.696027;18;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;432;577;6;40;12;0.863268;17;~1166;1.67181;3.56851
todd,ned,rod;FIELD;semihonest;atlas;NA;588;785;6;40;14;0.910781;15;~1582;1.67846;3.58598
todd,ned,rod;FIELD;semihonest;atlas;NA;768;1025;6;40;16;1.36317;18;~2062;1.68614;3.60614
todd,ned,rod;FIELD;semihonest;atlas;NA;972;1297;6;40;18;1.71227;17;~2606;1.69485;3.62899
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;6;40;20;2.01414;20;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;6;80;10;0.287085;17;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;432;577;6;80;12;0.310846;18;~1166;1.67181;3.56851
todd,ned,rod;FIELD;semihonest;atlas;NA;588;785;6;80;14;0.479057;20;~1582;1.67846;3.58598
todd,ned,rod;FIELD;semihonest;atlas;NA;768;1025;6;80;16;0.660043;16;~2062;1.68614;3.60614
todd,ned,rod;FIELD;semihonest;atlas;NA;972;1297;6;80;18;0.678574;18;~2606;1.69485;3.62899
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;6;80;20;0.980176;17;~3214;1.70458;3.65453
